,date,incidence,gr
0,29/12/2014,482.0,60
1,14/12/2015,524.0,41
2,21/12/2015,662.0,42
3,28/12/2015,945.0,61
4,04/01/2016,1446.0,57
5,11/01/2016,2168.0,71
6,18/01/2016,2268.0,49
7,25/01/2016,2244.0,44
8,01/02/2016,2112.0,64
9,08/02/2016,2216.0,53
10,15/02/2016,2104.0,43
11,22/02/2016,2164.0,66
12,29/02/2016,2404.0,60
13,07/03/2016,2092.0,64
14,14/03/2016,2376.0,62
15,21/03/2016,1952.0,72
16,28/03/2016,1996.0,63
17,04/04/2016,2292.0,54
18,11/04/2016,2540.0,54
19,18/04/2016,2424.0,64
20,25/04/2016,2224.0,53
21,02/05/2016,1976.0,66
22,09/05/2016,2740.0,65
23,16/05/2016,1911.0,61
24,23/05/2016,1158.0,57
25,30/05/2016,442.0,59
26,12/09/2016,653.0,51
27,19/09/2016,1340.0,56
28,26/09/2016,1986.0,60
29,03/10/2016,2832.0,61
30,10/10/2016,2444.0,80
31,17/10/2016,2408.0,61
32,24/10/2016,2317.0,57
33,31/10/2016,2412.0,66
34,07/11/2016,2496.0,58
35,14/11/2016,2244.0,58
36,21/11/2016,2324.0,63
37,28/11/2016,2244.0,54
38,05/12/2016,2056.0,42
39,12/12/2016,1888.0,57
40,19/12/2016,1952.0,54
41,26/12/2016,1224.0,48
42,02/01/2017,1992.0,36
43,09/01/2017,2364.0,56
44,16/01/2017,2696.0,61
45,23/01/2017,2528.0,48
46,30/01/2017,2536.0,67
47,06/02/2017,1908.0,46
48,13/02/2017,1932.0,60
49,20/02/2017,2380.0,70
50,27/02/2017,2484.0,56
51,06/03/2017,2568.0,69
52,13/03/2017,1896.0,58
53,20/03/2017,1160.0,59
54,27/03/2017,1206.0,69
55,03/04/2017,1368.0,68
56,10/04/2017,1638.0,73
57,17/04/2017,2212.0,68
58,24/04/2017,2940.0,69
59,01/05/2017,2208.0,85
60,08/05/2017,2620.0,74
61,15/05/2017,2516.0,58
62,22/05/2017,3108.0,70
63,29/05/2017,2268.0,56
64,05/06/2017,2519.0,79
65,12/06/2017,1326.0,74
66,19/06/2017,1854.0,61
67,26/06/2017,1881.0,71
68,03/07/2017,1839.0,73
69,10/07/2017,1408.0,59
70,17/07/2017,3365.0,62
71,24/07/2017,3095.0,54
72,31/07/2017,3065.0,59
73,07/08/2017,3090.0,73
74,14/08/2017,2640.0,79
75,21/08/2017,2552.0,51
76,28/08/2017,2208.0,89
77,04/09/2017,2388.0,49
78,11/09/2017,2524.0,62
79,18/09/2017,2524.0,61
80,25/09/2017,2564.0,77
81,02/10/2017,2544.0,77
82,09/10/2017,2768.0,54
83,16/10/2017,2139.0,66
84,23/10/2017,1827.0,51
85,30/10/2017,1776.0,69
86,06/11/2017,1288.0,55
87,13/11/2017,1324.0,58
88,20/11/2017,629.0,63
89,04/12/2017,660.0,44
90,11/12/2017,1134.0,53
91,18/12/2017,1716.0,77
92,25/12/2017,1308.0,58
93,01/01/2018,1984.0,61
94,08/01/2018,2596.0,60
95,15/01/2018,2760.0,55
96,22/01/2018,2752.0,56
97,29/01/2018,2740.0,72
98,05/02/2018,2776.0,57
