,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.008196396724081288,0.00010148554649311038,0.010074003498764052,0.35440061373367454,1.0
1,0-52,53-104,0,SARIMAX,0.019538743164085,0.0004841071462148397,0.022002435006490524,0.774039483993846,2.3838210645269915
2,0-52,53-104,0,RF,0.008628358873189463,0.00010457143999884024,0.010226017797698194,0.35974843407592116,1.052701469151567
3,0-52,53-104,0,XGB,0.008956137402416452,0.0001120551428466974,0.010585610178289082,0.3723987930311269,1.0926920333300876
4,0-52,53-104,0,ENet,0.008158339326196527,8.684878636153298e-05,0.00931926962597032,0.3278492880609658,0.9953568135894463
5,0-52,53-104,1,SNaive,0.00872732552682217,0.00011192013928073244,0.010579231507095988,0.36841067170517383,1.0
6,0-52,53-104,1,SARIMAX,0.009325309050939264,0.00012644575076198826,0.011244809947793172,0.39158874472921723,1.0685185309381755
7,0-52,53-104,1,RF,0.008164480880027703,0.00010204043748340879,0.01010150669372687,0.35177440476409266,0.9355077743961028
8,0-52,53-104,1,XGB,0.008235151041024461,0.00010527629883309976,0.010260423910984369,0.357308530632884,0.9436053480204122
9,0-52,53-104,1,ENet,0.007826381614990545,8.500444952070258e-05,0.00921978576327577,0.3210693956123298,0.8967674679874488
10,0-52,53-104,2,SNaive,0.009788694247586865,0.00013449583527511144,0.01159723394931358,0.3996498668346407,1.0
11,0-52,53-104,2,SARIMAX,0.010605913148922647,0.00015540315165821797,0.012466080043791551,0.4295909913713645,1.0834859972807145
12,0-52,53-104,2,RF,0.008033195876869615,8.91468530429212e-05,0.009441761119776395,0.3253705660069456,0.8206606186366461
13,0-52,53-104,2,XGB,0.007777003052010598,8.471156734153569e-05,0.009203888707580926,0.3171732942891339,0.7944883000026082
14,0-52,53-104,2,ENet,0.007905916183980639,8.123849663423134e-05,0.009013240074148216,0.3106033913884428,0.8076578943028715
15,0-52,53-104,3,SNaive,0.010267312385600977,0.0001540868562664328,0.012413172691396539,0.4221632430466006,1.0
16,0-52,53-104,3,SARIMAX,0.01106277055300577,0.0001703494294063657,0.013051797937692941,0.44388243698440694,1.0774748188747383
17,0-52,53-104,3,RF,0.007820385391265124,8.256096183384108e-05,0.009086306281093604,0.3090188642585956,0.7616779442916864
18,0-52,53-104,3,XGB,0.007594196971152297,7.601862301388673e-05,0.008718865924756885,0.29652247704851353,0.7396479902376891
19,0-52,53-104,3,ENet,0.007904827723667159,8.130926440146135e-05,0.009017164986926953,0.30666741763817895,0.7699023295281247
20,0-52,53-104,4,SNaive,0.010105491544249933,0.00015721067375601644,0.012538368065901417,0.4247895388774504,1.0
21,0-52,53-104,4,SARIMAX,0.009462449691907375,0.00012595501331150733,0.011222968115053493,0.3802248765846196,0.9363670881790553
22,0-52,53-104,4,RF,0.007707144039072806,8.649771021042299e-05,0.009300414518204174,0.3150903509764744,0.7626688919905339
23,0-52,53-104,4,XGB,0.00728931463892794,8.087623010923733e-05,0.00899312126623662,0.30467950977948927,0.7213221254017664
24,0-52,53-104,4,ENet,0.008119692550157077,8.848004550092496e-05,0.00940638323166375,0.3186804833357524,0.8034930824099513
