,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.5133173076923078,0.34808593749999994,0.589988082506757,2.920455049057722,1.0
1,0-52,53-104,0,SARIMAX,0.4910670951395191,0.29929950599046473,0.5470827231694168,2.7080724992679364,0.9566540768850798
2,0-52,53-104,0,RF,0.5001778701159951,0.3205173492258236,0.5661425167091971,2.802418930878463,0.9744028939227027
3,0-52,53-104,0,XGB,0.49964233013299797,0.3221686556636031,0.5675990271869774,2.8096286924057905,0.973359601645252
4,0-52,53-104,0,ENet,0.4670878312646933,0.27625949768435815,0.5256039361385701,2.6017519923089623,0.9099397668170477
5,0-52,53-104,1,SNaive,0.515048076923077,0.3549051682692307,0.5957391780546506,3.0626235550016645,1.0
6,0-52,53-104,1,SARIMAX,0.3705130281686747,0.19585304458275846,0.4425528720760475,2.275111156495746,0.7193756170921715
7,0-52,53-104,1,RF,0.49579303876678876,0.3211120247152674,0.5666674727874077,2.9131694102763426,0.9626150664005606
8,0-52,53-104,1,XGB,0.4882240572342506,0.3176043882791501,0.5635640054857568,2.897214857662813,0.9479193867705042
9,0-52,53-104,1,ENet,0.4830460812772134,0.28771483307432166,0.5363905602024719,2.75751943949862,0.9378660030398616
10,0-52,53-104,2,SNaive,0.5351442307692308,0.368069110576923,0.6066869955561294,3.255699047360034,1.0
11,0-52,53-104,2,SARIMAX,0.5388068497976323,0.3756709531371867,0.6129200218113181,3.289147691866723,1.0068441717537284
12,0-52,53-104,2,RF,0.5373895875305251,0.34821801951457937,0.5901000080618364,3.166687349764241,1.004195797379833
13,0-52,53-104,2,XGB,0.5376352150967487,0.3433243330226316,0.5859388475110962,3.1443570764269353,1.0046547905859646
14,0-52,53-104,2,ENet,0.49292716005941245,0.29795381979182284,0.5458514631214455,2.929233857824063,0.9211108552004114
15,0-52,53-104,3,SNaive,0.5441826923076923,0.37914314903846136,0.6157460101685283,3.4391828709735206,1.0
16,0-52,53-104,3,SARIMAX,0.5509980801325837,0.37785679618543266,0.614700574414432,3.4333437024221776,1.0125240804627387
17,0-52,53-104,3,RF,0.5477804221472973,0.36079781869578575,0.6006644809673581,3.354946617647973,1.0066112537029581
18,0-52,53-104,3,XGB,0.5485054030785194,0.3658070527736919,0.604819851504307,3.378155991216323,1.0079434918308332
19,0-52,53-104,3,ENet,0.504833091436865,0.3087622493461951,0.5556637916458073,3.1036001251967757,0.9276904586877631
20,0-52,53-104,4,SNaive,0.5628365384615385,0.39011718749999996,0.6245936178828598,3.6289238133976216,1.0
21,0-52,53-104,4,SARIMAX,0.5194552470585054,0.3465626516710526,0.5886957207854093,3.4203550257923223,0.9229238181273522
22,0-52,53-104,4,RF,0.5259852228327229,0.3368019790767515,0.5803464302265945,3.3718451812047947,0.9345257226377924
23,0-52,53-104,4,XGB,0.5464638233643312,0.36329737050397604,0.602741545360842,3.5019620512585234,0.9709103549994096
24,0-52,53-104,4,ENet,0.5139114658925981,0.3178923004182984,0.5638193863448635,3.275822132953397,0.9130741001593952
25,0-52,53-104,5,SNaive,0.5780288461538462,0.4000258413461537,0.6324759610816475,3.962499997138033,1.0
26,0-52,53-104,5,SARIMAX,0.5480936537163293,0.37523915890108755,0.6125676769966626,3.83777339805138,0.9482115942193836
27,0-52,53-104,5,RF,0.5276297138278389,0.33702950927405406,0.5805424267648783,3.6371332761173103,0.9128086207784286
28,0-52,53-104,5,XGB,0.5408815841720654,0.3562878477339945,0.59689852381623,3.7396052094510797,0.9357345879380321
29,0-52,53-104,5,ENet,0.529245283018868,0.32969743313045985,0.5741928536044836,3.59735281776303,0.9156035836972847
30,0-52,53-104,6,SNaive,0.5889903846153846,0.4100383413461538,0.640342362604688,4.463512447110427,1.0
31,0-52,53-104,6,SARIMAX,0.594651738527856,0.4277281844095659,0.6540093152314926,4.558778068637751,1.0096119632176481
32,0-52,53-104,6,RF,0.5006965506715507,0.30857740092019487,0.5554974355658133,3.8721000870539273,0.850092911106706
33,0-52,53-104,6,XGB,0.5058712315788636,0.32066056402383586,0.5662689855747318,3.947183277464619,0.8588785908775091
34,0-52,53-104,6,ENet,0.5383526850507981,0.3372342296909658,0.5807187182199018,4.04790527445508,0.914026271247784
35,0-52,53-104,7,SNaive,0.5948557692307692,0.4188662259615384,0.6471987530593197,4.927428280978716,1.0
36,0-52,53-104,7,SARIMAX,0.5812109992019991,0.4086254606110206,0.6392381876976849,4.866820755531423,0.9770620531319472
37,0-52,53-104,7,RF,0.5397613476800978,0.34203010281889973,0.584833397489319,4.452611518220291,0.9073818824655325
38,0-52,53-104,7,XGB,0.5489225377027804,0.3535803108972258,0.5946261942575569,4.527168682487988,0.9227825736860772
39,0-52,53-104,7,ENet,0.5516364296081279,0.347128930104472,0.589176484683895,4.485677482219992,0.9273448424673935
40,0-52,53-104,8,SNaive,0.5993750000000001,0.42197536057692303,0.6495963058522755,5.667618775892336,1.0
41,0-52,53-104,8,SARIMAX,0.6345306441771874,0.46382135377373135,0.6810443111675858,5.94199734575746,1.058653838043274
42,0-52,53-104,8,RF,0.5399194764957266,0.34002177860253785,0.5831138641830923,5.087570627100805,0.9008041317968325
43,0-52,53-104,8,XGB,0.55793111289923,0.3696583655378844,0.6079953663786299,5.304657559008181,0.9308548286118539
44,0-52,53-104,8,ENet,0.5546562202390468,0.3500118126152791,0.5916179617077891,5.161767451141785,0.9253909826720279
45,0-104,105-156,0,SNaive,0.20201923076923076,0.11907668269230769,0.34507489432340294,inf,1.0
46,0-104,105-156,0,SARIMAX,0.03901092667394068,0.0021222634248325486,0.046068030398884526,inf,0.19310501542550362
47,0-104,105-156,0,RF,0.4159580635531511,0.19501370266984816,0.4416035582622135,inf,2.059002313637683
48,0-104,105-156,0,XGB,0.4270631948915812,0.21053670761514512,0.45884279183086785,inf,2.113972978044952
49,0-104,105-156,0,ENet,0.42699999999999994,0.18232899999999988,0.4269999999999999,inf,2.113660161827701
50,0-104,105-156,1,SNaive,0.20201923076923076,0.11907668269230769,0.34507489432340294,inf,1.0
51,0-104,105-156,1,SARIMAX,0.06678894631648682,0.005157567965273197,0.07181620962758475,inf,0.33060687372273345
