,date,incidence,gr
0,29/12/2014,0.0,62
1,14/12/2015,0.0,62
2,21/12/2015,0.0,63
3,28/12/2015,0.0,70
4,04/01/2016,0.0,60
5,11/01/2016,0.0,60
6,18/01/2016,0.0,71
7,25/01/2016,0.0,64
8,01/02/2016,0.0,63
9,08/02/2016,0.0,61
10,15/02/2016,0.0,41
11,22/02/2016,0.0,38
12,29/02/2016,0.0,44
13,07/03/2016,0.0,54
14,14/03/2016,0.0,52
15,21/03/2016,0.0,57
16,28/03/2016,0.0,61
17,04/04/2016,0.0,66
18,11/04/2016,0.0,60
19,18/04/2016,0.0,69
20,25/04/2016,0.0,64
21,02/05/2016,0.0,57
22,09/05/2016,0.0,61
23,16/05/2016,0.0,62
24,23/05/2016,0.0,58
25,30/05/2016,0.0,50
26,12/09/2016,0.0,58
27,19/09/2016,0.0,55
28,26/09/2016,0.0,60
29,03/10/2016,0.0,58
30,10/10/2016,0.0,57
31,17/10/2016,0.0,56
32,24/10/2016,0.0,53
33,31/10/2016,0.0,59
34,07/11/2016,0.0,53
35,14/11/2016,0.0,59
36,21/11/2016,0.0,53
37,28/11/2016,0.0,54
38,05/12/2016,0.0,56
39,12/12/2016,0.0,62
40,19/12/2016,0.0,53
41,26/12/2016,0.0,57
42,02/01/2017,0.0,57
43,09/01/2017,0.0,48
44,16/01/2017,0.0,60
45,23/01/2017,0.0,55
46,30/01/2017,0.0,54
47,06/02/2017,0.0,57
48,13/02/2017,0.0,58
49,20/02/2017,0.0,52
50,27/02/2017,0.0,48
51,06/03/2017,0.0,52
52,13/03/2017,0.0,53
53,20/03/2017,0.0,64
54,27/03/2017,0.0,53
55,03/04/2017,0.0,51
56,10/04/2017,0.0,58
57,17/04/2017,0.0,52
58,24/04/2017,0.0,62
59,01/05/2017,0.0,60
60,08/05/2017,0.0,67
61,15/05/2017,0.0,55
62,22/05/2017,0.0,67
63,29/05/2017,0.0,70
64,05/06/2017,0.0,64
65,12/06/2017,0.0,61
66,19/06/2017,0.0,70
67,26/06/2017,0.0,63
68,03/07/2017,0.0,64
69,10/07/2017,0.0,68
70,17/07/2017,132.0,69
71,24/07/2017,198.0,65
72,31/07/2017,240.0,57
73,07/08/2017,340.0,64
74,14/08/2017,268.0,66
75,21/08/2017,292.0,57
76,28/08/2017,264.0,78
77,04/09/2017,264.0,57
78,11/09/2017,376.0,51
79,18/09/2017,360.0,58
80,25/09/2017,340.0,60
81,02/10/2017,320.0,56
82,09/10/2017,272.0,60
83,16/10/2017,261.0,55
84,23/10/2017,219.0,59
85,30/10/2017,225.0,59
86,06/11/2017,166.0,57
87,13/11/2017,162.0,56
88,20/11/2017,69.0,53
89,04/12/2017,80.0,52
90,11/12/2017,120.0,53
91,18/12/2017,213.0,49
92,25/12/2017,144.0,66
93,01/01/2018,264.0,59
94,08/01/2018,296.0,54
95,15/01/2018,336.0,60
96,22/01/2018,360.0,65
97,29/01/2018,320.0,61
98,05/02/2018,300.0,51
99,12/02/2018,292.0,55
100,19/02/2018,320.0,54
101,26/02/2018,308.0,51
102,05/03/2018,312.0,41
103,12/03/2018,360.0,50
104,19/03/2018,308.0,59
105,26/03/2018,268.0,67
106,02/04/2018,292.0,65
107,09/04/2018,396.0,69
108,16/04/2018,186.0,60
109,23/04/2018,264.0,72
110,30/04/2018,258.0,68
111,07/05/2018,138.0,65
112,14/05/2018,324.0,69
113,21/05/2018,332.0,100
114,28/05/2018,312.0,66
115,04/06/2018,324.0,68
116,11/06/2018,316.0,71
117,18/06/2018,240.0,69
118,25/06/2018,292.0,69
119,02/07/2018,284.0,65
120,09/07/2018,348.0,74
121,16/07/2018,300.0,76
122,23/07/2018,216.0,79
123,30/07/2018,268.0,74
124,06/08/2018,356.0,59
125,13/08/2018,340.0,60
126,20/08/2018,300.0,69
127,27/08/2018,312.0,62
128,03/09/2018,344.0,69
129,10/09/2018,364.0,60
130,17/09/2018,380.0,61
131,24/09/2018,400.0,64
132,01/10/2018,348.0,57
133,08/10/2018,327.0,59
134,15/10/2018,258.0,58
135,22/10/2018,291.0,59
136,29/10/2018,252.0,66
137,05/11/2018,396.0,55
138,12/11/2018,408.0,62
139,19/11/2018,328.0,55
140,26/11/2018,436.0,58
141,03/12/2018,364.0,57
142,10/12/2018,440.0,64
143,17/12/2018,376.0,65
144,24/12/2018,192.0,62
145,31/12/2018,308.0,65
146,07/01/2019,544.0,62
147,14/01/2019,448.0,64
148,21/01/2019,492.0,63
149,28/01/2019,348.0,64
150,04/02/2019,416.0,60
151,11/02/2019,432.0,61
152,18/02/2019,432.0,64
153,25/02/2019,452.0,53
154,04/03/2019,544.0,54
155,11/03/2019,404.0,52
156,18/03/2019,342.0,66
157,25/03/2019,202.0,58
158,01/04/2019,110.0,63
159,22/07/2019,106.0,65
160,29/07/2019,210.0,68
161,05/08/2019,357.0,73
162,12/08/2019,516.0,72
163,19/08/2019,496.0,69
164,26/08/2019,372.0,79
165,02/09/2019,500.0,70
166,09/09/2019,567.0,78
167,16/09/2019,612.0,70
168,23/09/2019,763.0,73
169,30/09/2019,788.0,68
170,07/10/2019,920.0,69
171,14/10/2019,748.0,85
172,21/10/2019,732.0,82
173,28/10/2019,560.0,68
174,04/11/2019,399.0,79
175,11/11/2019,492.0,77
176,18/11/2019,429.0,82
177,25/11/2019,402.0,69
178,02/12/2019,524.0,68
179,09/12/2019,452.0,67
