,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.016998759787221325,0.0004712986848039296,0.021709414658252064,1.277117562104262,1.0
1,0-52,53-104,0,SARIMAX,0.016998759787221325,0.0004712986848039296,0.021709414658252064,1.277117562104262,1.0
2,0-52,53-104,0,RF,0.016998759787221325,0.0004712986848039296,0.021709414658252064,1.277117562104262,1.0
3,0-52,53-104,0,XGB,0.016998759787221325,0.0004712986848039296,0.021709414658252064,1.277117562104262,1.0
4,0-52,53-104,0,ENet,0.016998759787221325,0.0004712986848039296,0.021709414658252064,1.277117562104262,1.0
5,0-52,53-104,1,SNaive,0.01749932759548144,0.0004843282275985791,0.02200745845386466,1.2576173760840548,1.0
6,0-52,53-104,1,SARIMAX,0.01749932759548144,0.0004843282275985791,0.02200745845386466,1.2576173760840548,1.0
7,0-52,53-104,1,RF,0.01749932759548144,0.0004843282275985791,0.02200745845386466,1.2576173760840548,1.0
8,0-52,53-104,1,XGB,0.01749932759548144,0.0004843282275985791,0.02200745845386466,1.2576173760840548,1.0
9,0-52,53-104,1,ENet,0.01749932759548144,0.0004843282275985791,0.02200745845386466,1.2576173760840548,1.0
10,0-52,53-104,2,SNaive,0.01804472237164545,0.0004997959116156623,0.022356115754210575,1.2389282192193674,1.0
11,0-52,53-104,2,SARIMAX,0.01804472237164545,0.0004997959116156623,0.022356115754210575,1.2389282192193674,1.0
12,0-52,53-104,2,RF,0.01804472237164545,0.0004997959116156623,0.022356115754210575,1.2389282192193674,1.0
13,0-52,53-104,2,XGB,0.01804472237164545,0.0004997959116156623,0.022356115754210575,1.2389282192193674,1.0
14,0-52,53-104,2,ENet,0.01804472237164545,0.0004997959116156623,0.022356115754210575,1.2389282192193674,1.0
15,0-52,53-104,3,SNaive,0.018784367342059648,0.0005282437950931317,0.022983554883723528,1.2235469241629222,1.0
16,0-52,53-104,3,SARIMAX,0.018784367342059648,0.0005282437950931317,0.022983554883723528,1.2235469241629222,1.0
17,0-52,53-104,3,RF,0.018784367342059648,0.0005282437950931317,0.022983554883723528,1.2235469241629222,1.0
18,0-52,53-104,3,XGB,0.018784367342059648,0.0005282437950931317,0.022983554883723528,1.2235469241629222,1.0
19,0-52,53-104,3,ENet,0.018784367342059648,0.0005282437950931317,0.022983554883723528,1.2235469241629222,1.0
20,0-52,53-104,4,SNaive,0.019131776343314807,0.0005345198318290931,0.023119684942254148,1.2084442410039375,1.0
21,0-52,53-104,4,SARIMAX,0.019131776343314807,0.0005345198318290931,0.023119684942254148,1.2084442410039375,1.0
22,0-52,53-104,4,RF,0.019131776343314807,0.0005345198318290931,0.023119684942254148,1.2084442410039375,1.0
23,0-52,53-104,4,XGB,0.019131776343314807,0.0005345198318290931,0.023119684942254148,1.2084442410039375,1.0
24,0-52,53-104,4,ENet,0.019131776343314807,0.0005345198318290931,0.023119684942254148,1.2084442410039375,1.0
25,0-52,53-104,5,SNaive,0.019624872990257607,0.0005471633355968572,0.023391522729332034,1.1919324390503983,1.0
26,0-52,53-104,5,SARIMAX,0.019624872990257607,0.0005471633355968572,0.023391522729332034,1.1919324390503983,1.0
27,0-52,53-104,5,RF,0.019624872990257607,0.0005471633355968572,0.023391522729332034,1.1919324390503983,1.0
28,0-52,53-104,5,XGB,0.019624872990257607,0.0005471633355968572,0.023391522729332034,1.1919324390503983,1.0
29,0-52,53-104,5,ENet,0.019624872990257607,0.0005471633355968572,0.023391522729332034,1.1919324390503983,1.0
30,0-52,53-104,6,SNaive,0.020106762895224433,0.0005592386653833219,0.02364822753153652,1.176133008319963,1.0
31,0-52,53-104,6,SARIMAX,0.020106762895224433,0.0005592386653833219,0.02364822753153652,1.176133008319963,1.0
32,0-52,53-104,6,RF,0.020106762895224433,0.0005592386653833219,0.02364822753153652,1.176133008319963,1.0
33,0-52,53-104,6,XGB,0.020106762895224433,0.0005592386653833219,0.02364822753153652,1.176133008319963,1.0
34,0-52,53-104,6,ENet,0.020106762895224433,0.0005592386653833219,0.02364822753153652,1.176133008319963,1.0
35,0-52,53-104,7,SNaive,0.020364517960671808,0.0005626934244190384,0.023721159845569068,1.1648279567127318,1.0
36,0-52,53-104,7,SARIMAX,0.020364517960671808,0.0005626934244190384,0.023721159845569068,1.1648279567127318,1.0
37,0-52,53-104,7,RF,0.020364517960671808,0.0005626934244190384,0.023721159845569068,1.1648279567127318,1.0
38,0-52,53-104,7,XGB,0.020364517960671808,0.0005626934244190384,0.023721159845569068,1.1648279567127318,1.0
39,0-52,53-104,7,ENet,0.020364517960671808,0.0005626934244190384,0.023721159845569068,1.1648279567127318,1.0
40,0-52,53-104,8,SNaive,0.020969682027374335,0.0005817370488956915,0.024119225710948756,1.1501951092755212,1.0
41,0-52,53-104,8,SARIMAX,0.020969682027374335,0.0005817370488956915,0.024119225710948756,1.1501951092755212,1.0
42,0-52,53-104,8,RF,0.020969682027374335,0.0005817370488956915,0.024119225710948756,1.1501951092755212,1.0
43,0-52,53-104,8,XGB,0.020969682027374335,0.0005817370488956915,0.024119225710948756,1.1501951092755212,1.0
44,0-52,53-104,8,ENet,0.020969682027374335,0.0005817370488956915,0.024119225710948756,1.1501951092755212,1.0
45,0-104,105-156,0,SNaive,0.016173196461658,0.0003959035213237742,0.01989732447651629,0.6007708293554596,1.0
46,0-104,105-156,0,SARIMAX,0.023382326347691364,0.000705030094043559,0.02655240279228151,0.8017112585024353,1.4457455211852608
47,0-104,105-156,0,RF,0.02493450460673171,0.0007540674672122497,0.027460288913488323,0.8291235620330668,1.541717783855792
48,0-104,105-156,0,XGB,0.024981029622930726,0.0007545646389998473,0.027469339981147114,0.8293968458823774,1.5445944580067128
49,0-104,105-156,0,ENet,0.024701224701224704,0.0006758311962874138,0.02599675357207922,0.7849342368860048,1.5272939248456052
50,0-104,105-156,1,SNaive,0.017092149303687767,0.00040997979587835247,0.02024795781994699,0.6136417204311705,1.0
51,0-104,105-156,1,SARIMAX,0.024483235450740423,0.0007437017634242956,0.0272708959043207,0.8264813483531116,1.4324257889239225
52,0-104,105-156,1,RF,0.023477593477909578,0.0006801809599502362,0.0260802791386564,0.790398098528446,1.373589304701668
53,0-104,105-156,1,XGB,0.02352463305820794,0.0006783276364991844,0.026044723774676214,0.7893205451812209,1.376341420861115
54,0-104,105-156,1,ENet,0.024330050291588752,0.0006601551243848049,0.025693484084195452,0.7786757517720804,1.4234634778400486
55,0-104,105-156,2,SNaive,0.01780938079015002,0.0004313868209387753,0.020769853657134307,0.636010837863215,1.0
56,0-104,105-156,2,SARIMAX,0.020984763546891175,0.0005820876065653023,0.024126491799789342,0.7387972259021286,1.178298324582817
57,0-104,105-156,2,RF,0.022429944145349594,0.0006579015204212992,0.02564959103809063,0.7854373052542564,1.2594454804265347
58,0-104,105-156,2,XGB,0.022492000032386123,0.0006600666457621524,0.02569176221597406,0.7867286637116669,1.2629299298730225
59,0-104,105-156,2,ENet,0.023720012181550645,0.0006398880050486634,0.02529600768992339,0.7746099376071531,1.3318830374310187
60,0-104,105-156,3,SNaive,0.0182165590819437,0.0004265577049163656,0.020653273467331167,0.6431079090509112,1.0
61,0-104,105-156,3,SARIMAX,0.017125704990157923,0.0004405984846598303,0.020990437933969607,0.6536066387311769,0.9401174455132401
62,0-104,105-156,3,RF,0.021270734208075008,0.0005906133365993897,0.024302537657606656,0.7567398070013576,1.167659277056259
63,0-104,105-156,3,XGB,0.021138238624430206,0.0005899331510336233,0.024288539499805733,0.7563039281074788,1.1603859175239348
64,0-104,105-156,3,ENet,0.022812052619744932,0.0006063131374723274,0.024623426598918505,0.7667317444252749,1.2522701195724881
65,0-104,105-156,4,SNaive,0.018653622019006635,0.00044874479004051364,0.02118359719312359,0.6587018508781985,1.0
66,0-104,105-156,4,SARIMAX,0.023695591138719677,0.0006811071306053005,0.026098029247537072,0.8115156275349847,1.270294375782658
67,0-104,105-156,4,RF,0.020872490542585817,0.0006114465806277028,0.024727445897781333,0.768897474393364,1.118951082064294
68,0-104,105-156,4,XGB,0.021171959928377056,0.0006254097991012687,0.025008194638983215,0.7776273286185678,1.135005303892425
69,0-104,105-156,4,ENet,0.022684829415598646,0.0005993677660089951,0.02448198860405329,0.7612650042224008,1.2161085601758477
70,0-104,105-156,5,SNaive,0.018588249357480126,0.00045391441135120535,0.021305267220835446,0.6589260948470643,1.0
71,0-104,105-156,5,SARIMAX,0.019950120938367535,0.0005256010385570204,0.022925990459673067,0.7090515790067172,1.0732651878451036
72,0-104,105-156,5,RF,0.020931206564628765,0.0005642009625556279,0.023752914822303975,0.7346265711133365,1.1260450708450285
73,0-104,105-156,5,XGB,0.02103472550757635,0.0005753912229497708,0.023987313791872796,0.7418760271306313,1.1316141236889385
74,0-104,105-156,5,ENet,0.022614333672025977,0.0005954485875210628,0.024401815250531318,0.7546956657970344,1.216592979635584
