,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.04279164544065206,0.0025756768301583135,0.050751126393000515,0.4177095845669142,1.0
1,0-52,53-104,0,SARIMAX,0.06654252404896296,0.007809455680310069,0.08837112469755078,0.7273427883999818,1.555035413191837
2,0-52,53-104,0,RF,0.040730964284341094,0.002466362669163542,0.04966248754506304,0.4087494902156274,0.9518438439304949
3,0-52,53-104,0,XGB,0.040222392304205136,0.002418744618181167,0.04918073421758938,0.40478439630373136,0.9399590011089843
4,0-52,53-104,0,ENet,0.03895772992713203,0.0023236351772994226,0.048204099175271624,0.39674615465681684,0.910405045797145
5,0-52,53-104,1,SNaive,0.044767433633327684,0.002781370958867743,0.05273870456190352,0.4280547308009617,1.0
6,0-52,53-104,1,SARIMAX,0.13768858136680795,0.022660484880519288,0.1505339990849884,1.2218121584515307,3.075641603549593
7,0-52,53-104,1,RF,0.03729868142292259,0.0021491566421149707,0.04635899742353118,0.37627371258312664,0.8331655043802895
8,0-52,53-104,1,XGB,0.039815156618152686,0.0024122225211134474,0.0491143820190527,0.39863784573896976,0.8893776879028372
9,0-52,53-104,1,ENet,0.039115590067186345,0.002328014656088324,0.048249504205621886,0.3916180479893056,0.8737510036328339
10,0-52,53-104,2,SNaive,0.04706868738325692,0.003137455396864934,0.056012993107536525,0.4483418576307279,1.0
11,0-52,53-104,2,SARIMAX,0.11825838386533125,0.01703335122159595,0.13051188153419577,1.044649395856866,2.512464027356702
12,0-52,53-104,2,RF,0.03259848253725875,0.0017058065980896466,0.041301411575025454,0.33058671856310223,0.6925725859279974
13,0-52,53-104,2,XGB,0.03581745700001136,0.0019818668041600117,0.044518162632346044,0.35633439003293255,0.7609614584823159
14,0-52,53-104,2,ENet,0.0388813074339608,0.0022736828269343404,0.04768315034615834,0.38166773489212935,0.8260546362249206
15,0-52,53-104,3,SNaive,0.04710052640516216,0.003204453096687584,0.056607888996919715,0.44761534336750164,1.0
16,0-52,53-104,3,SARIMAX,0.08374389690374724,0.009850376145167148,0.09924906118028094,0.7847917204884819,1.777982186088031
17,0-52,53-104,3,RF,0.028883914227086464,0.0012446864533444198,0.035280114134515206,0.2789703110678616,0.6132397327924731
18,0-52,53-104,3,XGB,0.03205063416453204,0.0014983500097824427,0.038708526318918975,0.306079781573125,0.6804729503197088
19,0-52,53-104,3,ENet,0.03574898293680474,0.0019089906383181346,0.04369199741735476,0.34548556345998765,0.75899327810669
20,0-52,53-104,4,SNaive,0.046938678043810494,0.003096034821745523,0.055642023882543336,0.4385151509005727,1.0
21,0-52,53-104,4,SARIMAX,0.0388196856104447,0.002179749340712909,0.046687785776505925,0.3679467423438066,0.8270298020368643
22,0-52,53-104,4,RF,0.02825824502662942,0.0012411312931127959,0.03522969334400735,0.2776454416097371,0.6020247310811442
23,0-52,53-104,4,XGB,0.028569395730393497,0.0012192202062734439,0.03491733389411975,0.2751837347603992,0.6086536076650493
24,0-52,53-104,4,ENet,0.03314326963837935,0.0016318033795836055,0.040395586139869356,0.31835787622023143,0.7060972106509877
25,0-52,53-104,5,SNaive,0.045516535065376125,0.002899862821414028,0.05385037438508694,0.4241704548557618,1.0
26,0-52,53-104,5,SARIMAX,0.05955165815151624,0.005056056249919918,0.07110595087557664,0.5600897648391735,1.3083521859908984
27,0-52,53-104,5,RF,0.03191080018841126,0.0015250185089475587,0.039051485361603834,0.30760206401112616,0.7010814892341272
28,0-52,53-104,5,XGB,0.031784141815348214,0.0015271040203419725,0.039078178314015256,0.30781231996375574,0.698298799978868
29,0-52,53-104,5,ENet,0.03258143349621581,0.0015778966228899396,0.039722746920246334,0.31288947981664056,0.7158153284167738
30,0-52,53-104,6,SNaive,0.04422086375728761,0.002711900681499283,0.05207591268042532,0.41026476652757965,1.0
31,0-52,53-104,6,SARIMAX,0.057568932308060844,0.004500116235980946,0.06708290569124854,0.5284929485596286,1.3018500186707338
32,0-52,53-104,6,RF,0.03302677734103646,0.0016673685406843448,0.040833424307598114,0.321694127434379,0.7468596163636366
33,0-52,53-104,6,XGB,0.030161990046884083,0.0013840193156396884,0.037202410078376484,0.293088249431786,0.6820760040426253
34,0-52,53-104,6,ENet,0.03261163986026146,0.0015654368856707517,0.03956560230390473,0.3117059645473307,0.737471797006386
35,0-52,53-104,7,SNaive,0.04369640431312617,0.0027046799334490257,0.052006537410685456,0.4108891481623701,1.0
36,0-52,53-104,7,SARIMAX,0.04697708401012658,0.0031617715869567227,0.05622963264113258,0.44425464581402613,1.0750789395276377
37,0-52,53-104,7,RF,0.035252972882525886,0.001855606368657882,0.043076749745748946,0.34033738621863563,0.8067705669762872
38,0-52,53-104,7,XGB,0.03495788549758815,0.0017754246620868617,0.042135788376235016,0.3329031128594976,0.8000174395833981
39,0-52,53-104,7,ENet,0.03336266862870946,0.0015869501225154571,0.039836542552227815,0.31473741283256024,0.7635106172497467
40,0-52,53-104,8,SNaive,0.04338862710137545,0.0026970137635085856,0.05193278120328802,0.4076063620240409,1.0
41,0-52,53-104,8,SARIMAX,0.04132987294566916,0.0023543374101351634,0.04852151492003484,0.3808322550458445,0.9525508343258682
42,0-52,53-104,8,RF,0.0373879579254855,0.0020104717798100575,0.0448382847554415,0.351923577075945,0.8616994918537139
43,0-52,53-104,8,XGB,0.038702740488694,0.002132331874090804,0.04617717914826331,0.36243219725663994,0.8920019616722811
44,0-52,53-104,8,ENet,0.03565222323980644,0.0018252629848784204,0.04272309662089606,0.3353220371517959,0.8216951220075881
45,0-104,105-156,0,SNaive,0.03895239004924436,0.0025963481722829133,0.050954373436270545,0.3470734502337972,1.0
46,0-104,105-156,0,SARIMAX,0.0606207773908272,0.004570539043255857,0.06760576190870018,0.4604936428211448,1.55627876272006
47,0-104,105-156,0,RF,0.04467507291599283,0.002619700475368234,0.05118300963570073,0.34863079554555587,1.1469148070121948
48,0-104,105-156,0,XGB,0.048294489019484854,0.003147773821630342,0.05610502492317726,0.38215688394039354,1.2398337806340003
49,0-104,105-156,0,ENet,0.03636157508436554,0.0021061755556395995,0.04589308832100537,0.31259873159616935,0.9334876509091364
50,0-104,105-156,1,SNaive,0.04521583319182657,0.003071416913957286,0.055420365516272864,0.3805792959992198,1.0
51,0-104,105-156,1,SARIMAX,0.049638590927604795,0.004578769311760208,0.06766660410985767,0.46467590595781866,1.0978143588997868
52,0-104,105-156,1,RF,0.043931322183891834,0.0027203056483393138,0.052156549428996106,0.3581662206397296,0.9715915661116926
53,0-104,105-156,1,XGB,0.05145965273660042,0.0034378102013908735,0.05863284234446488,0.40263981758362066,1.1380892290159659
54,0-104,105-156,1,ENet,0.03536025417656369,0.001962494249981157,0.044300047968158646,0.30421454119610675,0.7820325686922336
55,0-104,105-156,2,SNaive,0.049553899926416484,0.0036274394877144848,0.06022822832953403,0.41981946374453133,1.0
