,date,incidence,gr
0,29/12/2014,2746.0,17
1,14/12/2015,3251.0,15
2,21/12/2015,5208.0,17
3,28/12/2015,6147.0,19
4,04/01/2016,8238.0,19
5,11/01/2016,11472.0,19
6,18/01/2016,12404.0,17
7,25/01/2016,14872.0,18
8,01/02/2016,15084.0,29
9,08/02/2016,14104.0,62
10,15/02/2016,12920.0,100
11,22/02/2016,13604.0,78
12,29/02/2016,14312.0,45
13,07/03/2016,15148.0,35
14,14/03/2016,15332.0,28
15,21/03/2016,12848.0,22
16,28/03/2016,11460.0,20
17,04/04/2016,10648.0,16
18,11/04/2016,9964.0,17
19,18/04/2016,9144.0,16
20,25/04/2016,9536.0,18
21,02/05/2016,8884.0,16
22,09/05/2016,9880.0,15
23,16/05/2016,7026.0,14
24,23/05/2016,4558.0,14
25,30/05/2016,1587.0,16
26,12/09/2016,1732.0,15
27,19/09/2016,4182.0,16
28,26/09/2016,7353.0,18
29,03/10/2016,11536.0,17
30,10/10/2016,10572.0,19
31,17/10/2016,11788.0,17
32,24/10/2016,11097.0,20
33,31/10/2016,12164.0,25
34,07/11/2016,13140.0,31
35,14/11/2016,13792.0,47
36,21/11/2016,15892.0,52
37,28/11/2016,14944.0,41
38,05/12/2016,14792.0,31
39,12/12/2016,13432.0,27
40,19/12/2016,16316.0,24
41,26/12/2016,12352.0,22
42,02/01/2017,15224.0,19
43,09/01/2017,14148.0,18
44,16/01/2017,13924.0,18
45,23/01/2017,15764.0,19
46,30/01/2017,16464.0,16
47,06/02/2017,13916.0,17
48,13/02/2017,11260.0,20
49,20/02/2017,12848.0,24
50,27/02/2017,11572.0,31
51,06/03/2017,11832.0,23
52,13/03/2017,9303.0,19
53,20/03/2017,5754.0,18
54,27/03/2017,6074.0,16
55,03/04/2017,5976.0,15
56,10/04/2017,6417.0,15
57,17/04/2017,8520.0,14
58,24/04/2017,9784.0,13
59,01/05/2017,7813.0,13
60,08/05/2017,9328.0,12
61,15/05/2017,9602.0,13
62,22/05/2017,9108.0,16
63,29/05/2017,6084.0,18
64,05/06/2017,7011.0,18
65,12/06/2017,3936.0,15
66,19/06/2017,3804.0,13
67,26/06/2017,4713.0,15
68,03/07/2017,5496.0,15
69,10/07/2017,4592.0,17
70,17/07/2017,9655.0,17
71,24/07/2017,9170.0,19
72,31/07/2017,9335.0,20
73,07/08/2017,8855.0,20
74,14/08/2017,7024.0,16
75,21/08/2017,6732.0,17
76,28/08/2017,5388.0,17
77,04/09/2017,6984.0,20
78,11/09/2017,8274.0,22
79,18/09/2017,11412.0,22
80,25/09/2017,12907.0,22
81,02/10/2017,13008.0,21
82,09/10/2017,13160.0,21
83,16/10/2017,9501.0,21
84,23/10/2017,8361.0,21
85,30/10/2017,8460.0,21
86,06/11/2017,6588.0,26
87,13/11/2017,7510.0,29
88,20/11/2017,4201.0,33
89,04/12/2017,4058.0,40
90,11/12/2017,8722.0,36
91,18/12/2017,15135.0,35
92,25/12/2017,13800.0,32
93,01/01/2018,16856.0,30
94,08/01/2018,17372.0,28
95,15/01/2018,17332.0,27
96,22/01/2018,18240.0,25
97,29/01/2018,17276.0,25
98,05/02/2018,18284.0,24
99,12/02/2018,15900.0,28
100,19/02/2018,15848.0,29
101,26/02/2018,14604.0,36
102,05/03/2018,16352.0,43
103,12/03/2018,16292.0,43
104,19/03/2018,16204.0,27
105,26/03/2018,12132.0,20
106,02/04/2018,11988.0,19
107,09/04/2018,11332.0,19
108,16/04/2018,7035.0,21
109,23/04/2018,7938.0,22
110,30/04/2018,8645.0,19
111,07/05/2018,5852.0,18
112,14/05/2018,10950.0,18
113,21/05/2018,10368.0,22
114,28/05/2018,6916.0,26
115,04/06/2018,8496.0,28
116,11/06/2018,7264.0,23
117,18/06/2018,6360.0,23
118,25/06/2018,7848.0,23
119,02/07/2018,7996.0,18
120,09/07/2018,7192.0,16
121,16/07/2018,6972.0,17
122,23/07/2018,6200.0,16
123,30/07/2018,6456.0,19
124,06/08/2018,5244.0,19
125,13/08/2018,6404.0,20
126,20/08/2018,5828.0,23
127,27/08/2018,5876.0,22
128,03/09/2018,7376.0,21
129,10/09/2018,8906.0,23
130,17/09/2018,11240.0,26
131,24/09/2018,12731.0,24
132,01/10/2018,13236.0,21
133,08/10/2018,9714.0,19
134,15/10/2018,9420.0,18
135,22/10/2018,9405.0,16
136,29/10/2018,10086.0,15
137,05/11/2018,14700.0,15
138,12/11/2018,16416.0,16
139,19/11/2018,17580.0,15
140,26/11/2018,19044.0,18
141,03/12/2018,19088.0,23
142,10/12/2018,19536.0,22
143,17/12/2018,18476.0,22
144,24/12/2018,13888.0,21
145,31/12/2018,19224.0,20
146,07/01/2019,21084.0,21
147,14/01/2019,20108.0,19
148,21/01/2019,21852.0,19
149,28/01/2019,22472.0,20
150,04/02/2019,24880.0,21
151,11/02/2019,22420.0,26
152,18/02/2019,18832.0,40
153,25/02/2019,18624.0,45
154,04/03/2019,17416.0,50
155,11/03/2019,17476.0,39
156,18/03/2019,13761.0,30
157,25/03/2019,8334.0,21
158,01/04/2019,4655.0,20
159,22/07/2019,2587.0,22
160,29/07/2019,5456.0,26
161,05/08/2019,7149.0,22
162,12/08/2019,9124.0,21
163,19/08/2019,9532.0,23
164,26/08/2019,8392.0,21
165,02/09/2019,10868.0,21
166,09/09/2019,12812.0,20
167,16/09/2019,16736.0,22
168,23/09/2019,18056.0,21
169,30/09/2019,19752.0,23
170,07/10/2019,20772.0,20
171,14/10/2019,20960.0,18
172,21/10/2019,21536.0,17
173,28/10/2019,16324.0,19
174,04/11/2019,11919.0,17
175,11/11/2019,12111.0,18
176,18/11/2019,14322.0,20
177,25/11/2019,15498.0,18
178,02/12/2019,21940.0,18
179,09/12/2019,19328.0,16
180,16/12/2019,22820.0,14
181,23/12/2019,16884.0,14
182,30/12/2019,20476.0,16
183,06/01/2020,19760.0,15
184,13/01/2020,16344.0,17
185,20/01/2020,18528.0,16
186,27/01/2020,22856.0,15
187,03/02/2020,22600.0,15
188,10/02/2020,21736.0,14
189,17/02/2020,20188.0,13
190,24/02/2020,23252.0,14
191,02/03/2020,24188.0,14
192,09/03/2020,23616.0,14
193,16/03/2020,13648.0,16
194,23/03/2020,10400.0,19
195,30/03/2020,8040.0,19
196,06/04/2020,5984.0,16
197,13/04/2020,5800.0,17
198,20/04/2020,5568.0,17
199,27/04/2020,5636.0,17
200,04/05/2020,4684.0,17
201,11/05/2020,4784.0,19
202,18/05/2020,4424.0,18
203,25/05/2020,3636.0,18
204,01/06/2020,4528.0,19
205,08/06/2020,5088.0,23
206,15/06/2020,4460.0,25
207,22/06/2020,4564.0,24
208,29/06/2020,5104.0,23
209,06/07/2020,5308.0,17
210,13/07/2020,5468.0,19
211,20/07/2020,5716.0,20
212,27/07/2020,5912.0,19
213,03/08/2020,6108.0,76
214,10/08/2020,5816.0,63
215,17/08/2020,4340.0,52
216,24/08/2020,6384.0,53
217,31/08/2020,4815.0,54
218,07/09/2020,8086.0,60
219,14/09/2020,9895.0,64
220,21/09/2020,7644.0,64
221,28/09/2020,8996.0,61
222,05/10/2020,7984.0,59
223,12/10/2020,7856.0,58
