,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.03238861736789914,0.001598113978205938,0.03997641777605815,0.518170569455075,1.0
1,0-52,53-104,0,SARIMAX,0.03628291460933043,0.0021836175233985785,0.046729193481148144,0.6056994133877718,1.1202366003215372
2,0-52,53-104,0,RF,0.02273517647789244,0.0008299727213148731,0.028809247149394118,0.3734227534992888,0.7019495836962039
3,0-52,53-104,0,XGB,0.02268447208317183,0.0008330986183937531,0.028863447791172715,0.3741252971231966,0.700384083256816
4,0-52,53-104,0,ENet,0.028466767314405565,0.001045245417857991,0.03233025545612021,0.41906173219850057,0.8789127053820894
5,0-52,53-104,1,SNaive,0.03189338669311045,0.0016157690499943864,0.04019662983378565,0.5147453459000079,1.0
6,0-52,53-104,1,SARIMAX,0.04432236683233121,0.003263801970526892,0.057129694297509526,0.7315848212632039,1.3897039928313932
7,0-52,53-104,1,RF,0.026397958056039617,0.0010596333049880983,0.03255200923119951,0.4168507489493676,0.8276937883721849
8,0-52,53-104,1,XGB,0.02608052097472399,0.001024968134295038,0.0320151235245944,0.4099755601612037,0.8177407192807735
9,0-52,53-104,1,ENet,0.029210910997849435,0.0010766764950940766,0.032812748971917556,0.42018969971665254,0.9158924161591006
10,0-52,53-104,2,SNaive,0.03283839779005525,0.0016941708603423053,0.04116030685432635,0.5212605060722815,1.0
11,0-52,53-104,2,SARIMAX,0.0409302151832094,0.0027286337494217693,0.05223632595638565,0.6615289288233339,1.24641328255073
12,0-52,53-104,2,RF,0.029080312778696823,0.0011884758398853757,0.034474277945816006,0.4365875996044406,0.8855582103796635
13,0-52,53-104,2,XGB,0.02918440703741611,0.0012041933104808532,0.034701488591713944,0.4394650304429651,0.8887281049459207
14,0-52,53-104,2,ENet,0.0284957690058796,0.0010494886364282952,0.03239581201989379,0.4102655849451566,0.8677575924398246
15,0-52,53-104,3,SNaive,0.03273569202436606,0.0016852073209543475,0.041051276727458154,0.5147276836812382,1.0
16,0-52,53-104,3,SARIMAX,0.03232671486408895,0.0013802815791127757,0.03715214097616416,0.4658377763844005,0.9875066896409981
17,0-52,53-104,3,RF,0.02979297514286579,0.0011824782603041734,0.03438718162781262,0.4311689126046333,0.9101067764411418
18,0-52,53-104,3,XGB,0.029924343442769955,0.0012189023365162465,0.03491278185015119,0.43775923101988784,0.9141197754578231
19,0-52,53-104,3,ENet,0.026507532151128856,0.0009408291292605172,0.030672938060455134,0.384597304107617,0.8097440595237327
20,0-52,53-104,4,SNaive,0.03232073712046088,0.0016129848877556709,0.040161983115325255,0.5030019724672556,1.0
21,0-52,53-104,4,SARIMAX,0.03143586168688612,0.0013311003204273938,0.036484247565591835,0.45694079489998163,0.9726220528239568
22,0-52,53-104,4,RF,0.02653425444247568,0.0009853804411762133,0.03139076999973421,0.3931483956305724,0.8209668716273794
23,0-52,53-104,4,XGB,0.026158577331972927,0.001023610296258253,0.03199391029959066,0.40070232442017245,0.8093434637483267
24,0-52,53-104,4,ENet,0.027201436158220512,0.000967691624950742,0.03110774220271767,0.3896036618022257,0.841609399465102
25,0-52,53-104,5,SNaive,0.03094453888652784,0.0015230142732157001,0.03902581547150168,0.48929853718953914,1.0
26,0-52,53-104,5,SARIMAX,0.03382855596843946,0.0015505063522975146,0.03937646952556202,0.4936949735903774,1.0931995494418958
27,0-52,53-104,5,RF,0.026131323400494958,0.0009764361363468518,0.031247978116141398,0.39178143486902484,0.8444567067655228
28,0-52,53-104,5,XGB,0.026607334764187293,0.0010612053517585274,0.03257614697533346,0.4084337731249144,0.859839432791522
29,0-52,53-104,5,ENet,0.02846996099267616,0.001038398461421566,0.0322241906247708,0.40402100876869906,0.9200318381564565
30,0-52,53-104,6,SNaive,0.030961804079898,0.0014076967343479136,0.03751928483257528,0.47140333094374015,1.0
31,0-52,53-104,6,SARIMAX,0.034091351434382015,0.0015787665728742794,0.039733695686083356,0.4992258402767366,1.1010776809519274
32,0-52,53-104,6,RF,0.02832373757911568,0.001071743646075314,0.03273749602635049,0.41132352981792714,0.9147960986389974
33,0-52,53-104,6,XGB,0.029887000874711148,0.001198308433265198,0.034616591878248185,0.43493304283769696,0.965286157020654
34,0-52,53-104,6,ENet,0.030049202823888017,0.0011436875356873695,0.03381844963459102,0.4249049489146425,0.9705249327960676
35,0-52,53-104,7,SNaive,0.03217228597062852,0.0014080728107481527,0.03752429627252392,0.47318671350779773,1.0
36,0-52,53-104,7,SARIMAX,0.04056420333210488,0.0022949835359922484,0.04790598643167938,0.6041013031216751,1.2608430550796952
37,0-52,53-104,7,RF,0.030501276513553183,0.0011621370653770757,0.03409013149545005,0.4298814071882311,0.9480605929401202
38,0-52,53-104,7,XGB,0.03087045682333214,0.0012909384765996163,0.03592963229146127,0.45307777387924003,0.9595356963914571
39,0-52,53-104,7,ENet,0.030292454166633256,0.0011603715445611606,0.03406422675712984,0.42955474475328503,0.9415698403989247
40,0-52,53-104,8,SNaive,0.03193618076214761,0.0013465560013363929,0.03669544932735383,0.4613423850960804,1.0
41,0-52,53-104,8,SARIMAX,0.03773523716581357,0.0019239647205523695,0.04386302224599178,0.5514545174244232,1.1815826521917516
42,0-52,53-104,8,RF,0.0314845429604475,0.0012647140640401752,0.03556281856152821,0.4471027289938268,0.9858581148114174
43,0-52,53-104,8,XGB,0.03281821878758436,0.0014162301917580301,0.03763283395863285,0.4731273685061162,1.0276187698211612
44,0-52,53-104,8,ENet,0.029898743162972287,0.0011471469273081172,0.033869557530444905,0.42581471925448533,0.936202841086427
45,0-104,105-156,0,SNaive,0.02772627732917788,0.001419905427227157,0.03768163249153567,0.3926826597149861,1.0
46,0-104,105-156,0,SARIMAX,0.054242105700184555,0.003710011184947179,0.06090986114700295,0.6347454899531836,1.9563428965309604
47,0-104,105-156,0,RF,0.039702722971832374,0.002417033014522171,0.04916332997796397,0.512334150611149,1.4319528907709158
48,0-104,105-156,0,XGB,0.04040798023539228,0.0025528156354672456,0.050525395945675136,0.5265283256386835,1.4573893117944379
49,0-104,105-156,0,ENet,0.03591109724050588,0.0020072898350974614,0.04480278825137406,0.4668926713074023,1.2952008239026978
50,0-104,105-156,1,SNaive,0.03132304504887378,0.0016565488611920377,0.04070072310404371,0.42663657813528044,1.0
51,0-104,105-156,1,SARIMAX,0.050488618958603564,0.004424230025299081,0.06651488574220872,0.6972279872171533,1.6118681590447377
52,0-104,105-156,1,RF,0.03901012796797705,0.0024854159200890786,0.04985394588283939,0.5225832677130711,1.2454130148301037
53,0-104,105-156,1,XGB,0.039482099330248425,0.0026054920893932997,0.051044021093496345,0.535057975209063,1.2604808781727306
54,0-104,105-156,1,ENet,0.03612679716895059,0.0020211900641127407,0.04495764744860145,0.4712588722183663,1.1533615940781443
55,0-104,105-156,2,SNaive,0.03359275393115172,0.0018568807505713555,0.043091539199375965,0.45688012898349556,1.0
56,0-104,105-156,2,SARIMAX,0.050469703554472306,0.004400728214975549,0.06633798470691998,0.7033516920612034,1.5023985130218813
57,0-104,105-156,2,RF,0.04191486488927524,0.002763102759416552,0.05256522385966365,0.5573253288988396,1.2477352995583413
58,0-104,105-156,2,XGB,0.044182273254047215,0.0030479447432356743,0.05520819452975866,0.5853475532864542,1.3152322475435831
59,0-104,105-156,2,ENet,0.03724930988018034,0.0020921099123596687,0.0457395880213155,0.4849561947217055,1.108849544057112
60,0-104,105-156,3,SNaive,0.03401080771591821,0.0020312885412493336,0.04506981851804302,0.48448373029187664,1.0
61,0-104,105-156,3,SARIMAX,0.050808735969457834,0.004523925958029074,0.067260136470491,0.7230213674838448,1.4938997154624358
62,0-104,105-156,3,RF,0.043480600782732685,0.0029478784153291683,0.05429436817322003,0.5836441967449121,1.278434818305779
63,0-104,105-156,3,XGB,0.04600161496524689,0.0032074078197246035,0.05663398113963562,0.6087941630567243,1.3525587321972532
64,0-104,105-156,3,ENet,0.03902471589670935,0.0022114793989267507,0.04702636918715659,0.5055159198556691,1.1474210263593492
65,0-104,105-156,4,SNaive,0.03603585257590782,0.0022803722541572995,0.04775324338887674,0.5146185272901296,1.0
66,0-104,105-156,4,SARIMAX,0.06024335017892775,0.00628243723545668,0.0792618271014281,0.8541745405876037,1.6717614784339563
67,0-104,105-156,4,RF,0.04697387055590408,0.003289002998466053,0.05734982997765602,0.6180372881293181,1.3035315442296207
68,0-104,105-156,4,XGB,0.0470579197132455,0.003331011241646373,0.05771491351155586,0.6219716544093932,1.3058639202200146
69,0-104,105-156,4,ENet,0.03975507368456828,0.002260170422380016,0.047541249693082495,0.512333951923468,1.10320891120381
70,0-104,105-156,5,SNaive,0.036461579779949946,0.002446893234969425,0.049466081661775324,0.5337468336081885,1.0
71,0-104,105-156,5,SARIMAX,0.05681418359391369,0.0060215423043274855,0.07759859730902026,0.8373011205804083,1.5581931429409854
72,0-104,105-156,5,RF,0.048165285104061074,0.003342705530193146,0.05781613555222405,0.6238452338606736,1.320987335017967
73,0-104,105-156,5,XGB,0.04847893179407278,0.003441716747481102,0.058666146519786876,0.6330169864480526,1.3295894496796083
74,0-104,105-156,5,ENet,0.04006358265402063,0.0022641318156746337,0.047582894149837435,0.5134269429311784,1.0987889964123663
75,0-104,105-156,6,SNaive,0.037909052273693164,0.002587077206990175,0.0508633188751007,0.5484049800033769,1.0
76,0-104,105-156,6,SARIMAX,0.052482080632190814,0.00499555712246091,0.07067925524834645,0.7620591109342207,1.3844208041204593
77,0-104,105-156,6,RF,0.04472765425357046,0.0029586716639714997,0.05439367301416131,0.5864690276088929,1.1798673818234449
78,0-104,105-156,6,XGB,0.04418442459639698,0.002908583980148291,0.05393128943524613,0.5814836380795242,1.165537568108992
79,0-104,105-156,6,ENet,0.039222571419154306,0.0021641277636930464,0.046520186625733206,0.5015776119306189,1.034649221404373
80,0-104,105-156,7,SNaive,0.04057497520895311,0.0028511599813382683,0.05339625437554837,0.5723637108176806,1.0
