,date,incidence,gr
0,29/12/2014,346.0,89
1,14/12/2015,343.0,79
2,21/12/2015,620.0,76
3,28/12/2015,657.0,89
4,04/01/2016,1038.0,75
5,11/01/2016,1516.0,74
6,18/01/2016,1540.0,81
7,25/01/2016,1356.0,78
8,01/02/2016,1504.0,73
9,08/02/2016,1472.0,73
10,15/02/2016,1524.0,69
11,22/02/2016,1440.0,66
12,29/02/2016,1340.0,68
13,07/03/2016,1320.0,72
14,14/03/2016,1404.0,71
15,21/03/2016,1128.0,79
16,28/03/2016,1192.0,73
17,04/04/2016,1616.0,70
18,11/04/2016,1568.0,63
19,18/04/2016,1536.0,66
20,25/04/2016,1276.0,68
21,02/05/2016,1324.0,75
22,09/05/2016,1444.0,73
23,16/05/2016,1125.0,76
24,23/05/2016,686.0,64
25,30/05/2016,311.0,73
26,12/09/2016,482.0,79
27,19/09/2016,1006.0,67
28,26/09/2016,1293.0,71
29,03/10/2016,1764.0,72
30,10/10/2016,1748.0,73
31,17/10/2016,1824.0,73
32,24/10/2016,1721.0,70
33,31/10/2016,1708.0,74
34,07/11/2016,1752.0,72
35,14/11/2016,1784.0,81
36,21/11/2016,1780.0,90
37,28/11/2016,1628.0,83
38,05/12/2016,1504.0,84
39,12/12/2016,1400.0,100
40,19/12/2016,1780.0,80
41,26/12/2016,1068.0,82
42,02/01/2017,1648.0,95
43,09/01/2017,1604.0,82
44,16/01/2017,1784.0,86
45,23/01/2017,1768.0,83
46,30/01/2017,1812.0,73
47,06/02/2017,1532.0,79
48,13/02/2017,1312.0,92
49,20/02/2017,1844.0,100
50,27/02/2017,1680.0,82
51,06/03/2017,1680.0,86
52,13/03/2017,1272.0,93
53,20/03/2017,758.0,89
54,27/03/2017,768.0,88
55,03/04/2017,934.0,88
56,10/04/2017,1023.0,83
57,17/04/2017,1396.0,90
58,24/04/2017,1704.0,93
59,01/05/2017,1432.0,86
60,08/05/2017,1644.0,85
61,15/05/2017,1604.0,85
62,22/05/2017,1576.0,86
63,29/05/2017,1236.0,78
64,05/06/2017,1636.0,69
65,12/06/2017,990.0,76
66,19/06/2017,945.0,71
67,26/06/2017,1155.0,62
68,03/07/2017,1338.0,70
69,10/07/2017,956.0,72
70,17/07/2017,1995.0,74
71,24/07/2017,2185.0,76
72,31/07/2017,2270.0,74
73,07/08/2017,2395.0,67
74,14/08/2017,1924.0,75
75,21/08/2017,1832.0,58
76,28/08/2017,1636.0,69
77,04/09/2017,1940.0,65
78,11/09/2017,1920.0,80
79,18/09/2017,2128.0,64
80,25/09/2017,1820.0,72
81,02/10/2017,2036.0,76
82,09/10/2017,2160.0,78
83,16/10/2017,1599.0,67
84,23/10/2017,1431.0,71
85,30/10/2017,1341.0,86
86,06/11/2017,960.0,80
87,13/11/2017,946.0,67
88,20/11/2017,516.0,84
89,04/12/2017,495.0,74
90,11/12/2017,846.0,77
91,18/12/2017,1467.0,75
92,25/12/2017,1100.0,78
93,01/01/2018,1564.0,82
94,08/01/2018,1904.0,82
95,15/01/2018,1904.0,77
96,22/01/2018,1980.0,82
97,29/01/2018,2228.0,81
98,05/02/2018,2104.0,69
99,12/02/2018,1808.0,77
100,19/02/2018,1820.0,67
101,26/02/2018,1840.0,83
102,05/03/2018,1908.0,72
103,12/03/2018,1868.0,71
104,19/03/2018,1820.0,89
105,26/03/2018,1600.0,74
106,02/04/2018,1664.0,64
107,09/04/2018,1728.0,74
108,16/04/2018,1221.0,81
109,23/04/2018,1455.0,78
110,30/04/2018,1392.0,76
111,07/05/2018,957.0,76
112,14/05/2018,1644.0,76
113,21/05/2018,1656.0,75
114,28/05/2018,1576.0,84
115,04/06/2018,1940.0,73
116,11/06/2018,1784.0,69
117,18/06/2018,1408.0,72
118,25/06/2018,1752.0,75
119,02/07/2018,1876.0,70
120,09/07/2018,1800.0,65
121,16/07/2018,1756.0,69
122,23/07/2018,1924.0,78
123,30/07/2018,1924.0,68
124,06/08/2018,1848.0,78
125,13/08/2018,2132.0,63
126,20/08/2018,2248.0,76
127,27/08/2018,2060.0,72
128,03/09/2018,2248.0,69
129,10/09/2018,2408.0,67
130,17/09/2018,2316.0,77
131,24/09/2018,2440.0,69
132,01/10/2018,2368.0,70
133,08/10/2018,1659.0,73
134,15/10/2018,1596.0,65
135,22/10/2018,1719.0,78
136,29/10/2018,1647.0,72
137,05/11/2018,2312.0,72
138,12/11/2018,2292.0,75
139,19/11/2018,2448.0,77
140,26/11/2018,2228.0,82
141,03/12/2018,2416.0,74
142,10/12/2018,2232.0,66
143,17/12/2018,2044.0,81
144,24/12/2018,1560.0,77
145,31/12/2018,2108.0,74
146,07/01/2019,2504.0,71
147,14/01/2019,2836.0,84
148,21/01/2019,2720.0,77
149,28/01/2019,2240.0,91
150,04/02/2019,2472.0,61
151,11/02/2019,2564.0,77
152,18/02/2019,2560.0,70
153,25/02/2019,2616.0,76
154,04/03/2019,2804.0,77
155,11/03/2019,2404.0,69
156,18/03/2019,2079.0,75
157,25/03/2019,1206.0,68
158,01/04/2019,599.0,76
159,22/07/2019,699.0,74
160,29/07/2019,1338.0,76
161,05/08/2019,1992.0,74
162,12/08/2019,2744.0,74
163,19/08/2019,2836.0,70
164,26/08/2019,2400.0,72
165,02/09/2019,3108.0,81
166,09/09/2019,3177.0,65
167,16/09/2019,3240.0,69
168,23/09/2019,3215.0,74
169,30/09/2019,3092.0,72
170,07/10/2019,3420.0,71
171,14/10/2019,3364.0,65
172,21/10/2019,3304.0,77
173,28/10/2019,2316.0,64
174,04/11/2019,1722.0,81
175,11/11/2019,1677.0,72
176,18/11/2019,1482.0,66
177,25/11/2019,1362.0,69
178,02/12/2019,1844.0,65
179,09/12/2019,1572.0,61
180,16/12/2019,1896.0,64
181,23/12/2019,1584.0,59
182,30/12/2019,1920.0,67
183,06/01/2020,2208.0,61
