,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.0330023854213433,0.001804472543769001,0.042479083603215846,0.3888462275411189,1.0
1,0-52,53-104,0,SARIMAX,0.03727855413758599,0.0018673303594668453,0.04321261805846581,0.39556087582213284,1.1295715040488317
2,0-52,53-104,0,RF,0.03343794027972355,0.0017535724281853293,0.04187567824149633,0.38332275860816495,1.0131976780714331
3,0-52,53-104,0,XGB,0.037420193884697896,0.0021748389329816218,0.04663516841377998,0.42689031330869576,1.1338633073625493
4,0-52,53-104,0,ENet,0.031704350023458235,0.001306976270144526,0.03615212677207976,0.3309303525523155,0.9606684371049856
5,0-52,53-104,1,SNaive,0.03396520854857118,0.0018875881540525812,0.04344638251975164,0.393598347388685,1.0
6,0-52,53-104,1,SARIMAX,0.03473702739437842,0.0017447922624555816,0.041770710581166576,0.3784177577160503,1.0227238070599072
7,0-52,53-104,1,RF,0.03251956040349965,0.0016627678390034465,0.040777050396067716,0.3694157882990789,0.957437383521311
8,0-52,53-104,1,XGB,0.03657428342282584,0.0021611293170225774,0.0464879480835902,0.42115311973036235,1.0768161005260315
9,0-52,53-104,1,ENet,0.030967638263452453,0.0012610290953143043,0.035510971478041886,0.3217082499692523,0.9117458595659109
10,0-52,53-104,2,SNaive,0.03567989917402757,0.002075429984817424,0.04555688734777019,0.40823714283990253,1.0
11,0-52,53-104,2,SARIMAX,0.0747940646898906,0.0068829268133216845,0.08296340647129724,0.7434385005183105,2.096252131349501
12,0-52,53-104,2,RF,0.032875167264116704,0.001717464414510912,0.04144230223468421,0.37136617626759927,0.9213918207495241
13,0-52,53-104,2,XGB,0.03635893249924298,0.002161390579332979,0.04649075799912257,0.4166055961887855,1.0190312568402573
14,0-52,53-104,2,ENet,0.030281649748542326,0.0012168565698674333,0.03488347129898963,0.3125922222632774,0.848703344167105
15,0-52,53-104,3,SNaive,0.03809777522948186,0.002279530741650806,0.04774443152505647,0.42376255934955726,1.0
16,0-52,53-104,3,SARIMAX,0.034583690638434764,0.0018491780641874767,0.04300207046396111,0.3816710526247408,0.9077614225534165
17,0-52,53-104,3,RF,0.03440262420817586,0.001531121769842641,0.039129551107093485,0.3472999508778134,0.9030087452863516
18,0-52,53-104,3,XGB,0.03621090510883813,0.0017430581431715575,0.041749947822381256,0.3705576582818436,0.950472957822913
19,0-52,53-104,3,ENet,0.029931281739662377,0.0011957357633910865,0.03457941242113704,0.3069145414517022,0.7856438219652295
20,0-52,53-104,4,SNaive,0.038257344230904454,0.002386366065792061,0.04885044591190608,0.43255120575091005,1.0
21,0-52,53-104,4,SARIMAX,0.03529801942762322,0.001930619225213784,0.04393881228724536,0.38906064989426625,0.9226468835520821
22,0-52,53-104,4,RF,0.029696794298685863,0.0012488853064140668,0.035339571395449416,0.31291780315348955,0.7762377367192326
23,0-52,53-104,4,XGB,0.030437791592832424,0.0013433298758757316,0.03665146485306872,0.3245340962357121,0.7956064960788533
24,0-52,53-104,4,ENet,0.029456401942016482,0.0011712893804896878,0.03422410525477164,0.3030407955823695,0.7699541757062548
25,0-52,53-104,5,SNaive,0.039443293504189354,0.0024208849038767147,0.04920248879758741,0.4353608400448167,1.0
26,0-52,53-104,5,SARIMAX,0.03667482101339051,0.0020452102762266913,0.04522400110811394,0.40015778863571677,0.9298113254537225
27,0-52,53-104,5,RF,0.030305785979718905,0.0013317852951247365,0.03649363362457535,0.32290844181568995,0.7683381200532877
28,0-52,53-104,5,XGB,0.031811780442805825,0.0015023622119697694,0.038760317490569775,0.3429648539227083,0.8065193754529405
29,0-52,53-104,5,ENet,0.029299971250023853,0.001158087544449445,0.03403068533617043,0.3011154134134461,0.7428378476283134
30,0-52,53-104,6,SNaive,0.038118059424577945,0.0021899152314267924,0.04679653012165317,0.4156236897110512,1.0
31,0-52,53-104,6,SARIMAX,0.03396857760266069,0.001852406001322165,0.04303958644459964,0.38225636976159444,0.8911413150470685
32,0-52,53-104,6,RF,0.03195871710708484,0.0014812740785848562,0.038487323609012566,0.3418254174806745,0.8384140638197952
33,0-52,53-104,6,XGB,0.03250361992958946,0.0016780433412991755,0.040963927317814335,0.36382138959075155,0.8527091992681983
34,0-52,53-104,6,ENet,0.028818610715831534,0.00114316358433458,0.033810702215934234,0.30028997385440703,0.7560356206709131
35,0-52,53-104,7,SNaive,0.0372187934419845,0.0020310880297179723,0.04506759400853314,0.40256471702753077,1.0
36,0-52,53-104,7,SARIMAX,0.03847399581579768,0.0021340347292075398,0.046195613744245675,0.4126407141092167,1.033724961443733
37,0-52,53-104,7,RF,0.03157914429287751,0.001444174409162153,0.038002294788106586,0.3394541773158408,0.8484730796580524
38,0-52,53-104,7,XGB,0.03212791491091773,0.0017101751233785918,0.04135426366626048,0.36939552281264326,0.8632175290958244
39,0-52,53-104,7,ENet,0.029463546061044045,0.0011665017262646577,0.03415408798759905,0.30508020382578904,0.7916308761317292
40,0-52,53-104,8,SNaive,0.0354446025109129,0.0017252991886493505,0.04153672096650565,0.37102531630525565,1.0
41,0-52,53-104,8,SARIMAX,0.03512672686909247,0.0019133843845915573,0.04374224942308703,0.39072612258419165,0.9910317616984825
42,0-52,53-104,8,RF,0.03206779460958139,0.001436984352907135,0.03790757645784197,0.33860810912295985,0.9047299825046186
43,0-52,53-104,8,XGB,0.0326915723514759,0.0015598723028629117,0.039495218734207714,0.35278966857352884,0.9223286490915117
44,0-52,53-104,8,ENet,0.029316581326762917,0.0011568936118178197,0.03401313881160955,0.3038211802103563,0.8271098912094372
45,0-104,105-156,0,SNaive,0.040419639428147976,0.002521800664400212,0.05021753343604415,0.3530490491580279,1.0
46,0-104,105-156,0,SARIMAX,0.06491819574841778,0.005982663939326747,0.07734768218457969,0.5437846859727072,1.6061052663228157
47,0-104,105-156,0,RF,0.038737268878134494,0.0022392926277473254,0.04732116469136538,0.3326864355178702,0.9583773983683316
48,0-104,105-156,0,XGB,0.038922629392292935,0.002253948356366352,0.0474757659903066,0.33377334357278904,0.9629633005876709
49,0-104,105-156,0,ENet,0.04176299405537855,0.0024436063664301077,0.04943284703949498,0.347532394570806,1.033235195717631
50,0-104,105-156,1,SNaive,0.0415393269974523,0.0026706929228586984,0.051678747303497,0.36468799993279577,1.0
51,0-104,105-156,1,SARIMAX,0.07772858108282973,0.007864513023015673,0.08868208964055635,0.6258142000026176,1.8712046318804587
52,0-104,105-156,1,RF,0.03827742083546,0.0021308998804411426,0.046161671118376366,0.3257549455456134,0.9214742655269219
53,0-104,105-156,1,XGB,0.03897397042281055,0.002180443668241941,0.04669522104286413,0.3295201152716329,0.9382427025166032
54,0-104,105-156,1,ENet,0.041278594597629836,0.002383539311853356,0.048821504604562894,0.344524931368509,0.9937232396702417
55,0-104,105-156,2,SNaive,0.0432743018180048,0.002721432080335338,0.0521673468784386,0.37191577500173845,1.0
56,0-104,105-156,2,SARIMAX,0.0712791980355587,0.006942537457230593,0.0833218906244367,0.594025331562443,1.6471484239152328
57,0-104,105-156,2,RF,0.037179104781919284,0.002000828014711637,0.04473061607793522,0.3188972171365374,0.8591497313643652
58,0-104,105-156,2,XGB,0.03809228375364911,0.0019870667314654394,0.044576526686872314,0.31779867027291697,0.8802518389285799
59,0-104,105-156,2,ENet,0.04156029377181195,0.002389131768672972,0.04887874557180219,0.34847040588071604,0.9603920115591625
60,0-104,105-156,3,SNaive,0.043191812757947354,0.0027466564085848995,0.052408552819028495,0.37737914000651457,1.0
61,0-104,105-156,3,SARIMAX,0.06948733812580013,0.006667074165123883,0.08165215346286883,0.5879540226935919,1.6088080978498491
62,0-104,105-156,3,RF,0.03950474407808632,0.0020917443519736126,0.04573559174181102,0.3293290379303711,0.9146350096365748
63,0-104,105-156,3,XGB,0.04003199891105797,0.0021422202254370395,0.046284124982946796,0.3332788703846198,0.9268422961407663
64,0-104,105-156,3,ENet,0.04178702599699716,0.002392368046882377,0.04891183953688899,0.352200298380801,0.96747562393774
65,0-104,105-156,4,SNaive,0.04399371460407956,0.002864684530945576,0.05352274778956678,0.38496356340967497,1.0
66,0-104,105-156,4,SARIMAX,0.0788038334985376,0.007977275958803832,0.08931559751131844,0.6424044374777744,1.7912520960716984
