,date,incidence,gr
0,29/12/2014,3.0,82
1,14/12/2015,3.0,63
2,21/12/2015,8.0,70
3,28/12/2015,15.0,76
4,04/01/2016,9.0,71
5,11/01/2016,12.0,69
6,18/01/2016,8.0,65
7,25/01/2016,4.0,59
8,01/02/2016,12.0,61
9,08/02/2016,8.0,73
10,15/02/2016,16.0,63
11,22/02/2016,24.0,46
12,29/02/2016,24.0,45
13,07/03/2016,12.0,52
14,14/03/2016,16.0,40
15,21/03/2016,8.0,48
16,28/03/2016,12.0,51
17,04/04/2016,16.0,62
18,11/04/2016,16.0,52
19,18/04/2016,12.0,36
20,25/04/2016,24.0,55
21,02/05/2016,12.0,77
22,09/05/2016,20.0,58
23,16/05/2016,3.0,66
24,23/05/2016,6.0,64
25,30/05/2016,4.0,71
26,12/09/2016,5.0,54
27,19/09/2016,10.0,45
28,26/09/2016,6.0,63
29,03/10/2016,16.0,51
30,10/10/2016,16.0,56
31,17/10/2016,28.0,38
32,24/10/2016,18.0,47
33,31/10/2016,20.0,32
34,07/11/2016,8.0,61
35,14/11/2016,12.0,36
36,21/11/2016,12.0,65
37,28/11/2016,16.0,56
38,05/12/2016,12.0,54
39,12/12/2016,16.0,54
40,19/12/2016,16.0,58
41,26/12/2016,8.0,76
42,02/01/2017,4.0,62
43,09/01/2017,12.0,64
44,16/01/2017,28.0,57
45,23/01/2017,24.0,72
46,30/01/2017,32.0,52
47,06/02/2017,20.0,78
48,13/02/2017,8.0,65
49,20/02/2017,40.0,63
50,27/02/2017,12.0,27
51,06/03/2017,28.0,73
52,13/03/2017,15.0,73
53,20/03/2017,4.0,72
54,27/03/2017,6.0,65
55,03/04/2017,12.0,60
56,10/04/2017,21.0,91
57,17/04/2017,16.0,69
58,24/04/2017,28.0,79
59,01/05/2017,44.0,60
60,08/05/2017,12.0,82
61,15/05/2017,12.0,78
62,22/05/2017,24.0,76
63,29/05/2017,16.0,80
64,05/06/2017,10.0,71
65,12/06/2017,6.0,72
66,19/06/2017,9.0,65
67,26/06/2017,21.0,59
68,03/07/2017,12.0,80
69,10/07/2017,24.0,65
70,17/07/2017,20.0,63
71,24/07/2017,30.0,64
72,31/07/2017,20.0,65
73,07/08/2017,15.0,60
74,14/08/2017,8.0,65
75,21/08/2017,20.0,66
76,28/08/2017,12.0,67
77,04/09/2017,4.0,68
78,11/09/2017,8.0,64
79,18/09/2017,24.0,59
80,25/09/2017,20.0,58
81,02/10/2017,20.0,65
82,09/10/2017,8.0,55
83,16/10/2017,18.0,61
84,23/10/2017,15.0,57
85,30/10/2017,6.0,46
86,06/11/2017,18.0,74
87,13/11/2017,8.0,57
88,20/11/2017,3.0,84
89,04/12/2017,1.0,56
90,11/12/2017,4.0,59
91,18/12/2017,9.0,89
92,25/12/2017,8.0,64
93,01/01/2018,12.0,56
94,08/01/2018,12.0,63
95,15/01/2018,16.0,77
96,22/01/2018,12.0,69
97,29/01/2018,24.0,66
98,05/02/2018,16.0,71
99,12/02/2018,36.0,81
100,19/02/2018,0.0,65
101,26/02/2018,4.0,80
102,05/03/2018,12.0,59
103,12/03/2018,4.0,52
104,19/03/2018,0.0,72
105,26/03/2018,12.0,71
106,02/04/2018,32.0,61
107,09/04/2018,12.0,65
108,16/04/2018,21.0,62
109,23/04/2018,12.0,82
110,30/04/2018,15.0,71
111,07/05/2018,21.0,85
112,14/05/2018,12.0,70
113,21/05/2018,28.0,71
114,28/05/2018,8.0,65
115,04/06/2018,28.0,64
116,11/06/2018,4.0,67
117,18/06/2018,8.0,68
118,25/06/2018,4.0,60
119,02/07/2018,16.0,68
120,09/07/2018,24.0,79
121,16/07/2018,28.0,66
122,23/07/2018,24.0,65
123,30/07/2018,12.0,70
124,06/08/2018,12.0,69
125,13/08/2018,36.0,66
126,20/08/2018,8.0,74
127,27/08/2018,28.0,74
128,03/09/2018,4.0,66
129,10/09/2018,12.0,70
130,17/09/2018,16.0,78
131,24/09/2018,16.0,68
132,01/10/2018,20.0,69
133,08/10/2018,9.0,52
134,15/10/2018,18.0,91
135,22/10/2018,24.0,78
136,29/10/2018,9.0,70
137,05/11/2018,12.0,81
138,12/11/2018,24.0,64
139,19/11/2018,28.0,49
140,26/11/2018,16.0,69
141,03/12/2018,16.0,93
142,10/12/2018,24.0,96
143,17/12/2018,16.0,55
144,24/12/2018,4.0,60
145,31/12/2018,12.0,54
146,07/01/2019,24.0,64
147,14/01/2019,20.0,58
148,21/01/2019,12.0,59
149,28/01/2019,28.0,97
150,04/02/2019,24.0,64
151,11/02/2019,24.0,72
152,18/02/2019,28.0,78
153,25/02/2019,36.0,64
154,04/03/2019,36.0,71
155,11/03/2019,0.0,73
156,18/03/2019,18.0,74
157,25/03/2019,8.0,85
158,01/04/2019,14.0,69
159,22/07/2019,5.0,84
160,29/07/2019,10.0,87
161,05/08/2019,18.0,75
162,12/08/2019,24.0,86
163,19/08/2019,28.0,73
164,26/08/2019,24.0,88
165,02/09/2019,28.0,60
166,09/09/2019,36.0,72
167,16/09/2019,48.0,88
168,23/09/2019,28.0,76
169,30/09/2019,36.0,67
170,07/10/2019,16.0,62
171,14/10/2019,12.0,91
172,21/10/2019,24.0,86
173,28/10/2019,20.0,77
174,04/11/2019,18.0,100
175,11/11/2019,24.0,76
176,18/11/2019,15.0,56
177,25/11/2019,15.0,76
178,02/12/2019,24.0,71
179,09/12/2019,28.0,51
180,16/12/2019,16.0,89
181,23/12/2019,12.0,91
