,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.04462989840348331,0.0034555823315168283,0.0587842013768736,0.8950787789760419,1.0
1,0-52,53-104,0,SARIMAX,0.07540624457940096,0.008152271544412905,0.0902899304707502,1.3748013722507595,1.6895903256977969
2,0-52,53-104,0,RF,0.0434674174096344,0.0030743680431005943,0.05544698407578715,0.8442645752092228,0.9739528648857918
3,0-52,53-104,0,XGB,0.047642231353184177,0.0036387589900947754,0.0603221268697878,0.9184960312327908,1.0674958504827283
4,0-52,53-104,0,ENet,0.033795802207600076,0.0018104640008831845,0.04254954759904251,0.6478815092981277,0.7572457795459009
5,0-52,53-104,1,SNaive,0.04136429608127722,0.00297806501081688,0.05457165024824593,0.8218550168533649,1.0
6,0-52,53-104,1,SARIMAX,0.048228202447801065,0.0037575268269007143,0.061298669046731466,0.9231646551518684,1.1659379468959623
7,0-52,53-104,1,RF,0.03948723708157669,0.0026369803905161287,0.05135153737246947,0.773359765019267,0.9546212754107486
8,0-52,53-104,1,XGB,0.04481507147998915,0.0033784680266238025,0.058124590550160456,0.8753626860996842,1.0834240087618427
9,0-52,53-104,1,ENet,0.03259542690162362,0.0017945635491907323,0.04236228923453892,0.6379807056305424,0.7880087415866199
10,0-52,53-104,2,SNaive,0.0498911465892598,0.003870628748254239,0.06221437734361921,0.90481701297633,1.0
11,0-52,53-104,2,SARIMAX,0.05578147857980299,0.004795358571863397,0.06924852757902797,1.0071184274818,1.118063672479542
12,0-52,53-104,2,RF,0.03949413113092359,0.0028308753825120074,0.053205971305033115,0.7738029388742547,0.791606002886003
13,0-52,53-104,2,XGB,0.052143687486421474,0.00532307768442506,0.07295942491840969,1.061087995119457,1.045149110636928
14,0-52,53-104,2,ENet,0.03400128707177479,0.0018714687306817493,0.043260475386682345,0.6291602647266308,0.6815094339622642
15,0-52,53-104,3,SNaive,0.044629898403483304,0.0037311389215981604,0.06108304938031631,0.8883635044440724,1.0
16,0-52,53-104,3,SARIMAX,0.049766087281066455,0.004423618576844897,0.06651028925545954,0.9672947608867889,1.1150840369643835
17,0-52,53-104,3,RF,0.03481065553942913,0.002120929392203552,0.046053549181399166,0.6697814329495309,0.7799850948509487
18,0-52,53-104,3,XGB,0.03675951801391835,0.0022606537003623754,0.04754633214415572,0.6914917751413887,0.8236522898077966
19,0-52,53-104,3,ENet,0.03402867157762138,0.001870354925130673,0.04324760022395084,0.6289730143388312,0.7624635680319067
20,0-52,53-104,4,SNaive,0.052975326560232225,0.004186406331297752,0.06470244455426512,0.9410023070794441,1.0
21,0-52,53-104,4,SARIMAX,0.05197775826485054,0.00417405417900881,0.06460692051946765,0.939613049876796,0.9811691902597814
22,0-52,53-104,4,RF,0.03686894718881749,0.0020240862940234246,0.04498984656590223,0.6543114360719078,0.695964509947815
23,0-52,53-104,4,XGB,0.042236312120174244,0.00284278694567382,0.05331779201799171,0.7754292073962277,0.7972827137205494
24,0-52,53-104,4,ENet,0.03406974833639127,0.0018691594730020013,0.043233776992092667,0.6287719756739176,0.6431248384595503
25,0-52,53-104,5,SNaive,0.04517416545718433,0.00370118711832845,0.06083738257295797,0.8894844900322131,1.0
26,0-52,53-104,5,SARIMAX,0.04516423239031417,0.003204222445789081,0.05660585169210937,0.8276165902570474,0.9997801162064727
27,0-52,53-104,5,RF,0.04188664846683716,0.002849740249053533,0.05338295841421242,0.7804956678491748,0.9272257283100659
28,0-52,53-104,5,XGB,0.04429802824222687,0.003463387824363721,0.05885055500472125,0.8604357007586831,0.9806053480769256
29,0-52,53-104,5,ENet,0.03421351699208588,0.0018702939948488859,0.04324689578280603,0.6322994417899916,0.75736909903766
30,0-52,53-104,6,SNaive,0.04580914368650217,0.004049055919160939,0.06363219247488601,0.9466684073456724,1.0
31,0-52,53-104,6,SARIMAX,0.04504244481105236,0.0031738540373666803,0.05633696865617355,0.8381359547444764,0.9832631912812698
32,0-52,53-104,6,RF,0.03715548975395673,0.0022045833079483365,0.04695299040474778,0.698528699354844,0.8110933050447902
33,0-52,53-104,6,XGB,0.0388151889245184,0.002416574204880605,0.04915866357907429,0.7313429248255261,0.8473240449581998
34,0-52,53-104,6,ENet,0.03319857874414656,0.0017985006054471503,0.04240873265551743,0.6309228998575224,0.7247151130207362
35,0-52,53-104,7,SNaive,0.0362844702467344,0.00228061587753649,0.04775579417763346,0.7332310236967009,1.0
36,0-52,53-104,7,SARIMAX,0.053543194607636485,0.00413480658389097,0.06430246172496797,0.9872845933928228,1.4756504433864612
37,0-52,53-104,7,RF,0.04417875429078259,0.002693939061663338,0.05190317005408569,0.7969088393819507,1.2175664682539682
38,0-52,53-104,7,XGB,0.04456482823135221,0.002745619319082525,0.052398657607638434,0.8045164365830167,1.2282066660560667
39,0-52,53-104,7,ENet,0.03175918065558508,0.001491884347247506,0.03862491873451006,0.5930377494836195,0.8752830188679246
40,0-52,53-104,8,SNaive,0.04045718432510886,0.002606662650272477,0.05105548599585041,0.7838937014181822,1.0
41,0-52,53-104,8,SARIMAX,0.04490943772910862,0.003227601220734323,0.056811981313225846,0.8722775515278575,1.1100485236002093
42,0-52,53-104,8,RF,0.03711278386838529,0.0022587065771114785,0.04752585167160583,0.7297005415428727,0.9173348192042139
43,0-52,53-104,8,XGB,0.03876954739364554,0.0024632060090563988,0.049630696237876804,0.7620178207887937,0.958285853066252
44,0-52,53-104,8,ENet,0.03295687148013787,0.0015345688066317187,0.03917357280912374,0.6014616527127855,0.8146111013386544
45,0-104,105-156,0,SNaive,0.04653483309143687,0.0035330291371142206,0.05943928950714519,0.7008114732906616,1.0
46,0-104,105-156,0,SARIMAX,0.03844237197933797,0.002412164905603444,0.04911379547136877,0.5790700334506624,0.8260988473688532
47,0-104,105-156,0,RF,0.04092080605755313,0.0027621877667535237,0.05255651973593308,0.6196610412501886,0.8793586081451573
48,0-104,105-156,0,XGB,0.04339326076014901,0.0030323518460888105,0.05506679440542014,0.6492581192784509,0.932489876452013
49,0-104,105-156,0,ENet,0.0372511922040224,0.0021211070689469203,0.04605547816435001,0.5430113275762508,0.8005012531328322
50,0-104,105-156,1,SNaive,0.05070754716981132,0.004089276912123121,0.06394745430525847,0.7572037983471207,1.0
51,0-104,105-156,1,SARIMAX,0.038107216234423605,0.0022595766692285785,0.04753500467264707,0.5628634710110217,0.7515097527160748
52,0-104,105-156,1,RF,0.03847319684629191,0.0021916056283281925,0.04681458777270385,0.5543329920583107,0.7587272308291986
53,0-104,105-156,1,XGB,0.038709176857663445,0.002312289536214851,0.04808627180614911,0.5693910423104058,0.7633809761697349
54,0-104,105-156,1,ENet,0.03752073398299813,0.0021202792465125275,0.04604649005638244,0.5452379230736413,0.7399437771530794
55,0-104,105-156,2,SNaive,0.04417634252539914,0.0029930409124517346,0.05470869137944843,0.6605789855060674,1.0
56,0-104,105-156,2,SARIMAX,0.04009856203077469,0.0023172160241171314,0.0481374700635288,0.5812349068787969,0.9076931166884191
57,0-104,105-156,2,RF,0.04156737838640959,0.002501323370152962,0.05001323195068443,0.603883755776939,0.9409420520159736
58,0-104,105-156,2,XGB,0.0451113333816117,0.0030544613570908995,0.05526718155552081,0.6673224638204397,1.0211649675541832
59,0-104,105-156,2,ENet,0.035658131176999106,0.001942781930163052,0.04407700001319341,0.5322068435327976,0.8071770802776962
60,0-104,105-156,3,SNaive,0.04335994194484761,0.0030174302379713564,0.0549311408762949,0.6683895110599062,1.0
61,0-104,105-156,3,SARIMAX,0.04165159741208075,0.002510686796759791,0.05010675400342544,0.6096874791763377,0.9606008574702471
62,0-104,105-156,3,RF,0.039745125676411946,0.002641266706731079,0.05139325545955499,0.6253413335387794,0.9166323545120613
63,0-104,105-156,3,XGB,0.045049688572345196,0.0036976704597569544,0.06080847358515879,0.7399035461399454,1.0389702234760112
64,0-104,105-156,3,ENet,0.036258552767986736,0.0019729593373620236,0.04441800690443037,0.5404681105015898,0.836222355050807
65,0-104,105-156,4,SNaive,0.04780478955007257,0.0033396260645726645,0.05778949787437735,0.7118116475610455,1.0
