,date,incidence,gr
0,29/12/2014,2.0,16
1,14/12/2015,1.0,14
2,21/12/2015,0.0,14
3,28/12/2015,9.0,14
4,04/01/2016,6.0,14
5,11/01/2016,20.0,15
6,18/01/2016,16.0,12
7,25/01/2016,16.0,14
8,01/02/2016,16.0,14
9,08/02/2016,8.0,16
10,15/02/2016,0.0,15
11,22/02/2016,0.0,12
12,29/02/2016,8.0,11
13,07/03/2016,8.0,10
14,14/03/2016,20.0,9
15,21/03/2016,12.0,10
16,28/03/2016,4.0,11
17,04/04/2016,4.0,9
18,11/04/2016,4.0,10
19,18/04/2016,8.0,9
20,25/04/2016,12.0,8
21,02/05/2016,4.0,9
22,09/05/2016,4.0,9
23,16/05/2016,9.0,8
24,23/05/2016,0.0,8
25,30/05/2016,2.0,8
26,12/09/2016,3.0,7
27,19/09/2016,8.0,8
28,26/09/2016,30.0,8
29,03/10/2016,28.0,8
30,10/10/2016,40.0,8
31,17/10/2016,12.0,8
32,24/10/2016,21.0,8
33,31/10/2016,12.0,8
34,07/11/2016,8.0,8
35,14/11/2016,16.0,10
36,21/11/2016,12.0,11
37,28/11/2016,32.0,10
38,05/12/2016,20.0,10
39,12/12/2016,8.0,9
40,19/12/2016,16.0,10
41,26/12/2016,0.0,10
42,02/01/2017,4.0,8
43,09/01/2017,24.0,7
44,16/01/2017,28.0,10
45,23/01/2017,8.0,9
46,30/01/2017,12.0,8
47,06/02/2017,8.0,9
48,13/02/2017,8.0,9
49,20/02/2017,4.0,8
50,27/02/2017,12.0,7
51,06/03/2017,16.0,7
52,13/03/2017,9.0,10
53,20/03/2017,4.0,11
54,27/03/2017,4.0,10
55,03/04/2017,8.0,10
56,10/04/2017,3.0,9
57,17/04/2017,28.0,10
58,24/04/2017,12.0,10
59,01/05/2017,12.0,10
60,08/05/2017,12.0,9
61,15/05/2017,16.0,9
62,22/05/2017,0.0,10
63,29/05/2017,4.0,12
64,05/06/2017,0.0,10
65,12/06/2017,3.0,10
66,19/06/2017,9.0,10
67,26/06/2017,3.0,11
68,03/07/2017,3.0,11
69,10/07/2017,4.0,9
70,17/07/2017,5.0,13
71,24/07/2017,10.0,12
72,31/07/2017,10.0,13
73,07/08/2017,40.0,13
74,14/08/2017,8.0,13
75,21/08/2017,12.0,13
76,28/08/2017,8.0,14
77,04/09/2017,20.0,13
78,11/09/2017,20.0,12
79,18/09/2017,12.0,11
80,25/09/2017,12.0,9
81,02/10/2017,24.0,11
82,09/10/2017,16.0,10
83,16/10/2017,9.0,10
84,23/10/2017,6.0,11
85,30/10/2017,6.0,10
86,06/11/2017,10.0,11
87,13/11/2017,4.0,11
88,20/11/2017,3.0,14
89,04/12/2017,4.0,14
90,11/12/2017,10.0,13
91,18/12/2017,6.0,13
92,25/12/2017,24.0,14
93,01/01/2018,4.0,13
94,08/01/2018,0.0,12
95,15/01/2018,20.0,13
96,22/01/2018,12.0,12
97,29/01/2018,8.0,12
98,05/02/2018,4.0,13
99,12/02/2018,0.0,11
100,19/02/2018,8.0,13
101,26/02/2018,12.0,13
102,05/03/2018,0.0,10
103,12/03/2018,24.0,9
104,19/03/2018,4.0,11
105,26/03/2018,12.0,12
106,02/04/2018,4.0,10
107,09/04/2018,12.0,10
108,16/04/2018,6.0,11
109,23/04/2018,12.0,11
110,30/04/2018,6.0,10
111,07/05/2018,6.0,10
112,14/05/2018,8.0,11
113,21/05/2018,4.0,11
114,28/05/2018,8.0,11
115,04/06/2018,4.0,9
116,11/06/2018,12.0,10
117,18/06/2018,12.0,10
118,25/06/2018,12.0,10
119,02/07/2018,12.0,9
120,09/07/2018,4.0,10
121,16/07/2018,4.0,9
122,23/07/2018,0.0,10
123,30/07/2018,8.0,11
124,06/08/2018,4.0,10
125,13/08/2018,20.0,9
126,20/08/2018,8.0,11
127,27/08/2018,8.0,11
128,03/09/2018,12.0,11
