,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.06250000000000001,0.007529380341880344,0.08677200206218792,1.0829145857361053,1.0
1,0-52,53-104,0,SARIMAX,0.1294697380935238,0.028327109048046282,0.16830659240815934,2.100466273253829,2.0715158094963804
2,0-52,53-104,0,RF,0.05523395471897869,0.005285413154764601,0.07270084700170007,0.907306570581217,0.8837432755036588
3,0-52,53-104,0,XGB,0.05484658000178826,0.005352622068009695,0.07316161608391175,0.9130569687272188,0.877545280028612
4,0-52,53-104,0,ENet,0.05150374829237526,0.004680357098762459,0.0684131354256071,0.8537959301115767,0.8240599726780039
5,0-52,53-104,1,SNaive,0.07371794871794872,0.009236111111111112,0.0961046882889233,1.1804985333127587,1.0
6,0-52,53-104,1,SARIMAX,0.06382530911505858,0.0076941994070778294,0.08771658570121063,1.0774635723928236,0.8658041932129686
7,0-52,53-104,1,RF,0.05723066701816702,0.005405827606380405,0.07352433343037124,0.9031335444990484,0.7763464395507874
8,0-52,53-104,1,XGB,0.05508844845761092,0.005138409353365829,0.07168269912165577,0.880511894722701,0.7472867790771568
9,0-52,53-104,1,ENet,0.051508768959582486,0.004580630784971153,0.06768035745303916,0.8313492726515047,0.6987276484952059
10,0-52,53-104,2,SNaive,0.08301282051282051,0.011188568376068379,0.10577602930753441,1.2992961080295566,1.0
11,0-52,53-104,2,SARIMAX,0.046968425997032,0.0050058261148379956,0.07075186297786085,0.8690780019327791,0.5657972552538219
12,0-52,53-104,2,RF,0.06200631647397766,0.00549132346451449,0.07410346459184274,0.9102472816005881,0.7469486772154839
13,0-52,53-104,2,XGB,0.05970791961329107,0.005251742503772296,0.072468907151773,0.890169253202881,0.719261425457406
14,0-52,53-104,2,ENet,0.05199621103584774,0.004645175039650417,0.0681555209770303,0.8371859269619472,0.6263636232889767
15,0-52,53-104,3,SNaive,0.08301282051282051,0.012120726495726496,0.11009417103428544,1.341772709480354,1.0
16,0-52,53-104,3,SARIMAX,0.11160355920847749,0.02064067763948699,0.14366863832961943,1.7509615296422372,1.3444135317777983
17,0-52,53-104,3,RF,0.052219690029050886,0.0044408924682053305,0.06664002152014456,0.812175262276762,0.6290557254464817
18,0-52,53-104,3,XGB,0.053208149339144056,0.004437014538033238,0.06661091906011535,0.8118205760451559,0.6409630345101524
19,0-52,53-104,3,ENet,0.05272133526850508,0.004640452848445017,0.06812086940464733,0.8302230958691394,0.6350987105704087
20,0-52,53-104,4,SNaive,0.09375,0.013759348290598291,0.11730024846776026,1.4212690299782995,1.0
21,0-52,53-104,4,SARIMAX,0.06281081194368315,0.007773380386945613,0.08816677598135032,1.0682731691720897,0.6699819940659536
22,0-52,53-104,4,RF,0.04923668932092291,0.004523323529153003,0.06725565797130381,0.8149035062930795,0.5251913527565111
23,0-52,53-104,4,XGB,0.049921396432014625,0.004652890968776727,0.0682121028027778,0.8264922747365702,0.5324948952748226
24,0-52,53-104,4,ENet,0.05202285921625544,0.00456217167118511,0.06754384998787906,0.8183953862609038,0.5549104983067247
25,0-52,53-104,5,SNaive,0.08028846153846153,0.011713408119658118,0.10822849957223891,1.3533984716047516,1.0
26,0-52,53-104,5,SARIMAX,0.04410372007481162,0.003916389376784922,0.06258106244531905,0.7825768129434689,0.5493157949437616
27,0-52,53-104,5,RF,0.06274285757605892,0.007054092928093876,0.08398864761438819,1.05027887998754,0.7814679266958238
28,0-52,53-104,5,XGB,0.06566806668654467,0.007569700241144625,0.0870040242813206,1.087986195421725,0.817901668910257
29,0-52,53-104,5,ENet,0.05025701499758103,0.004300761840756054,0.06558019396705117,0.8200809826741471,0.6259556358980153
30,0-52,53-104,6,SNaive,0.08221153846153845,0.010530181623931621,0.10261667322580488,1.298839839612622,1.0
