,incidence,date,gt,tk
0,1371.0,07/12/2015,24,0
1,1289.0,14/12/2015,20,1
2,2118.0,21/12/2015,20,2
3,3477.0,28/12/2015,22,0
4,4113.0,04/01/2016,21,0
5,5060.0,11/01/2016,21,0
6,5024.0,18/01/2016,20,1
7,5488.0,25/01/2016,21,0
8,5096.0,01/02/2016,25,1
9,4612.0,08/02/2016,59,1
10,4356.0,15/02/2016,100,2
11,4892.0,22/02/2016,76,1
12,4756.0,29/02/2016,44,5
13,4952.0,07/03/2016,35,3
14,5116.0,14/03/2016,26,2
15,4592.0,21/03/2016,21,7
16,4344.0,28/03/2016,19,8
17,4456.0,04/04/2016,14,2
18,3712.0,11/04/2016,14,0
19,3072.0,18/04/2016,12,5
20,3156.0,25/04/2016,10,1
21,2816.0,02/05/2016,12,1
22,3648.0,09/05/2016,10,0
23,2247.0,16/05/2016,9,4
24,1382.0,23/05/2016,8,2
25,567.0,30/05/2016,9,0
26,664.0,12/09/2016,9,0
27,1432.0,19/09/2016,9,0
28,2664.0,26/09/2016,9,0
29,3848.0,03/10/2016,10,0
30,4132.0,10/10/2016,10,1
31,4436.0,17/10/2016,9,0
32,4321.0,24/10/2016,11,5
33,4876.0,31/10/2016,13,5
34,5292.0,07/11/2016,16,3
35,5700.0,14/11/2016,23,0
36,5992.0,21/11/2016,33,1
37,6364.0,28/11/2016,28,4
38,6240.0,05/12/2016,24,1
39,6104.0,12/12/2016,22,1
40,7552.0,19/12/2016,21,1
41,7060.0,26/12/2016,20,4
42,9164.0,02/01/2017,17,0
43,6948.0,09/01/2017,16,1
44,6520.0,16/01/2017,17,2
45,5956.0,23/01/2017,16,0
46,6280.0,30/01/2017,15,1
47,4684.0,06/02/2017,16,1
48,4248.0,13/02/2017,16,3
49,4624.0,20/02/2017,19,0
50,4136.0,27/02/2017,21,0
51,3952.0,06/03/2017,21,1
52,2895.0,13/03/2017,20,1
53,1814.0,20/03/2017,18,0
54,1900.0,27/03/2017,15,2
55,2096.0,03/04/2017,14,3
56,2460.0,10/04/2017,13,2
57,3428.0,17/04/2017,13,1
58,3724.0,24/04/2017,12,0
59,2900.0,01/05/2017,10,0
60,3468.0,08/05/2017,11,0
61,3232.0,15/05/2017,11,2
62,2932.0,22/05/2017,14,4
63,2420.0,29/05/2017,15,3
64,2661.0,05/06/2017,15,1
65,1338.0,12/06/2017,16,3
66,1275.0,19/06/2017,14,1
67,1494.0,26/06/2017,15,2
68,1725.0,03/07/2017,17,0
69,1548.0,10/07/2017,17,3
70,3265.0,17/07/2017,18,5
71,3255.0,24/07/2017,20,3
72,3405.0,31/07/2017,22,1
73,3545.0,07/08/2017,24,3
74,2840.0,14/08/2017,23,1
75,2696.0,21/08/2017,21,5
76,3483.0,28/08/2017,24,2
77,4037.0,04/09/2017,24,2
78,4458.0,11/09/2017,24,2
79,5457.0,18/09/2017,25,1
80,4757.0,25/09/2017,22,2
81,4756.0,02/10/2017,22,2
82,5172.0,09/10/2017,21,2
83,3534.0,16/10/2017,21,4
84,3099.0,23/10/2017,24,3
85,3117.0,30/10/2017,24,2
86,2610.0,06/11/2017,26,8
87,2784.0,13/11/2017,27,5
88,1531.0,20/11/2017,29,8
89,1608.0,04/12/2017,34,8
90,3620.0,11/12/2017,35,9
91,6519.0,18/12/2017,36,13
92,7888.0,25/12/2017,39,13
93,9896.0,01/01/2018,38,6
94,8852.0,08/01/2018,37,11
95,7556.0,15/01/2018,33,10
96,7320.0,22/01/2018,32,10
97,6424.0,29/01/2018,34,7
98,5856.0,05/02/2018,33,5
99,6268.0,12/02/2018,33,8
100,6644.0,19/02/2018,34,9
101,5748.0,26/02/2018,36,7
102,5948.0,05/03/2018,38,4
103,5756.0,12/03/2018,33,4
104,4856.0,19/03/2018,28,10
105,4012.0,26/03/2018,22,7
106,4276.0,02/04/2018,18,3
107,4228.0,09/04/2018,19,10
108,2436.0,16/04/2018,20,8
109,2712.0,23/04/2018,19,5
110,2568.0,30/04/2018,19,1
111,1932.0,07/05/2018,18,2
112,3488.0,14/05/2018,19,6
113,3412.0,21/05/2018,21,4
114,2588.0,28/05/2018,24,6
115,2964.0,04/06/2018,26,8
116,2440.0,11/06/2018,25,5
117,1904.0,18/06/2018,23,7
118,2460.0,25/06/2018,25,5
119,2824.0,02/07/2018,21,2
120,2560.0,09/07/2018,19,5
121,2192.0,16/07/2018,19,10
122,2072.0,23/07/2018,19,4
123,2328.0,30/07/2018,20,10
124,2000.0,06/08/2018,20,16
125,2568.0,13/08/2018,20,1
126,2296.0,20/08/2018,21,5
127,2412.0,27/08/2018,21,5
128,3232.0,03/09/2018,22,3
129,3680.0,10/09/2018,22,7
130,4342.0,17/09/2018,24,5
131,5157.0,24/09/2018,22,7
132,5420.0,01/10/2018,20,5
133,3831.0,08/10/2018,19,8
134,4062.0,15/10/2018,17,14
135,3984.0,22/10/2018,15,8
136,4089.0,29/10/2018,15,7
137,6000.0,05/11/2018,14,15
138,6484.0,12/11/2018,15,12
139,6652.0,19/11/2018,15,6
140,7360.0,26/11/2018,17,3
141,7508.0,03/12/2018,21,3
142,8160.0,10/12/2018,23,16
143,8272.0,17/12/2018,27,8
144,6924.0,24/12/2018,27,11
145,11244.0,31/12/2018,27,10
146,11452.0,07/01/2019,27,11
147,9284.0,14/01/2019,27,10
148,8696.0,21/01/2019,29,16
149,8224.0,28/01/2019,28,12
150,9300.0,04/02/2019,29,17
151,8364.0,11/02/2019,38,19
152,8040.0,18/02/2019,47,17
153,7396.0,25/02/2019,62,28
154,6788.0,04/03/2019,73,23
155,5784.0,11/03/2019,55,20
156,4662.0,18/03/2019,42,22
157,3056.0,25/03/2019,29,11
158,1626.0,01/04/2019,25,25
159,0.0,22/07/2019,26,10
160,0.0,29/07/2019,27,14
161,0.0,05/08/2019,27,14
162,0.0,12/08/2019,25,5
163,0.0,19/08/2019,25,15
164,0.0,26/08/2019,23,12
165,0.0,02/09/2019,23,4
166,0.0,09/09/2019,28,6
167,0.0,16/09/2019,24,9
168,0.0,23/09/2019,22,9
169,0.0,30/09/2019,23,5
170,0.0,07/10/2019,21,10
171,0.0,14/10/2019,20,14
172,0.0,21/10/2019,19,11
173,0.0,28/10/2019,19,9
174,0.0,04/11/2019,19,5
175,0.0,11/11/2019,18,2
176,0.0,18/11/2019,18,3
177,0.0,25/11/2019,18,3
178,0.0,02/12/2019,17,6
179,0.0,09/12/2019,17,11
180,0.0,16/12/2019,16,7
181,0.0,23/12/2019,14,5
182,0.0,30/12/2019,14,7
183,0.0,06/01/2020,16,4
184,0.0,13/01/2020,15,9
185,0.0,20/01/2020,15,7
186,0.0,27/01/2020,16,6
187,0.0,03/02/2020,15,4
188,0.0,10/02/2020,15,6
189,0.0,17/02/2020,14,5
190,0.0,24/02/2020,14,5
191,0.0,02/03/2020,14,4
192,0.0,09/03/2020,15,4
193,0.0,16/03/2020,17,3
194,0.0,23/03/2020,20,9
195,0.0,30/03/2020,22,8
196,0.0,06/04/2020,22,16
197,0.0,13/04/2020,23,23
198,0.0,20/04/2020,25,17
199,0.0,27/04/2020,25,18
200,0.0,04/05/2020,26,27
201,0.0,11/05/2020,28,19
202,0.0,18/05/2020,29,16
203,0.0,25/05/2020,29,17
204,0.0,01/06/2020,40,22
205,0.0,08/06/2020,47,13
206,0.0,15/06/2020,43,13
207,0.0,22/06/2020,41,18
208,0.0,29/06/2020,40,20
209,0.0,06/07/2020,36,31
210,0.0,13/07/2020,34,23
211,0.0,20/07/2020,38,21
212,0.0,27/07/2020,36,18
