,incidence,date,gt,tk
0,0.0,07/12/2015,30,24
1,0.0,14/12/2015,21,15
2,0.0,21/12/2015,27,22
3,0.0,28/12/2015,35,21
4,0.0,04/01/2016,0,17
5,0.0,11/01/2016,27,27
6,0.0,18/01/2016,21,33
7,0.0,25/01/2016,47,28
8,0.0,01/02/2016,35,20
9,0.0,08/02/2016,35,46
10,0.0,15/02/2016,53,35
11,0.0,22/02/2016,59,70
12,0.0,29/02/2016,31,63
13,0.0,07/03/2016,34,86
14,0.0,14/03/2016,18,73
15,0.0,21/03/2016,17,95
16,0.0,28/03/2016,0,77
17,0.0,04/04/2016,0,67
18,0.0,11/04/2016,0,66
19,0.0,18/04/2016,16,127
20,0.0,25/04/2016,32,137
21,0.0,02/05/2016,18,124
22,0.0,09/05/2016,0,110
23,0.0,16/05/2016,0,124
24,0.0,23/05/2016,0,137
25,0.0,30/05/2016,0,157
26,0.0,12/09/2016,0,115
27,0.0,19/09/2016,0,134
28,0.0,26/09/2016,0,184
29,0.0,03/10/2016,0,213
30,0.0,10/10/2016,0,180
31,0.0,17/10/2016,0,178
32,0.0,24/10/2016,0,175
33,0.0,31/10/2016,0,134
34,0.0,07/11/2016,17,157
35,0.0,14/11/2016,0,111
36,0.0,21/11/2016,0,104
37,0.0,28/11/2016,19,121
38,0.0,05/12/2016,0,84
39,0.0,12/12/2016,0,69
40,0.0,19/12/2016,0,108
41,0.0,26/12/2016,0,164
42,0.0,02/01/2017,0,153
43,0.0,09/01/2017,21,124
44,0.0,16/01/2017,0,109
45,0.0,23/01/2017,0,102
46,0.0,30/01/2017,20,108
47,0.0,06/02/2017,0,129
48,0.0,13/02/2017,0,129
49,0.0,20/02/2017,0,164
50,0.0,27/02/2017,0,203
51,0.0,06/03/2017,21,189
52,0.0,13/03/2017,23,179
53,0.0,20/03/2017,0,191
54,0.0,27/03/2017,33,231
55,0.0,03/04/2017,0,246
56,0.0,10/04/2017,0,263
57,0.0,17/04/2017,0,269
58,0.0,24/04/2017,0,262
59,0.0,01/05/2017,0,200
60,0.0,08/05/2017,0,227
61,0.0,15/05/2017,0,224
62,0.0,22/05/2017,0,147
63,0.0,29/05/2017,0,206
64,0.0,05/06/2017,0,261
65,0.0,12/06/2017,21,290
66,0.0,19/06/2017,0,207
67,0.0,26/06/2017,0,156
68,0.0,03/07/2017,24,204
69,0.0,10/07/2017,0,204
70,0.0,17/07/2017,0,190
71,0.0,24/07/2017,25,262
72,0.0,31/07/2017,19,190
73,0.0,07/08/2017,0,281
74,0.0,14/08/2017,0,182
75,0.0,21/08/2017,0,186
76,0.0,28/08/2017,21,223
77,0.0,04/09/2017,0,171
78,0.0,11/09/2017,0,158
79,0.0,18/09/2017,25,140
80,0.0,25/09/2017,20,207
81,0.0,02/10/2017,32,243
82,0.0,09/10/2017,26,171
83,0.0,16/10/2017,0,182
84,0.0,23/10/2017,24,160
85,0.0,30/10/2017,24,169
86,0.0,06/11/2017,0,180
87,0.0,13/11/2017,0,165
88,0.0,20/11/2017,22,128
89,0.0,04/12/2017,27,133
90,0.0,11/12/2017,29,134
91,0.0,18/12/2017,29,102
92,0.0,25/12/2017,29,146
93,0.0,01/01/2018,32,146
94,0.0,08/01/2018,37,413
95,0.0,15/01/2018,45,322
96,0.0,22/01/2018,26,202
97,0.0,29/01/2018,41,177
98,0.0,05/02/2018,28,178
99,0.0,12/02/2018,26,135
100,0.0,19/02/2018,25,153
101,0.0,26/02/2018,33,111
102,0.0,05/03/2018,31,151
103,0.0,12/03/2018,49,167
104,0.0,19/03/2018,0,165
105,0.0,26/03/2018,34,130
106,0.0,02/04/2018,0,153
107,0.0,09/04/2018,21,128
108,0.0,16/04/2018,0,142
109,0.0,23/04/2018,37,151
110,0.0,30/04/2018,34,176
111,0.0,07/05/2018,37,150
112,0.0,14/05/2018,25,138
113,0.0,21/05/2018,22,103
114,0.0,28/05/2018,25,113
115,0.0,04/06/2018,0,88
116,0.0,11/06/2018,30,110
117,0.0,18/06/2018,28,102
118,0.0,25/06/2018,28,132
119,0.0,02/07/2018,22,106
120,0.0,09/07/2018,0,82
121,0.0,16/07/2018,27,105
122,0.0,23/07/2018,20,92
123,0.0,30/07/2018,0,109
124,0.0,06/08/2018,36,110
125,0.0,13/08/2018,0,100
126,0.0,20/08/2018,19,68
127,0.0,27/08/2018,36,79
128,0.0,03/09/2018,0,70
129,0.0,10/09/2018,0,73
130,0.0,17/09/2018,24,62
131,0.0,24/09/2018,24,73
132,0.0,01/10/2018,23,79
133,0.0,08/10/2018,30,82
134,0.0,15/10/2018,0,74
135,0.0,22/10/2018,0,76
136,0.0,29/10/2018,0,62
137,0.0,05/11/2018,0,67
138,0.0,12/11/2018,0,66
139,0.0,19/11/2018,23,57
140,0.0,26/11/2018,21,59
141,0.0,03/12/2018,26,67
142,0.0,10/12/2018,20,55
143,0.0,17/12/2018,23,50
144,0.0,24/12/2018,31,56
145,0.0,31/12/2018,36,81
146,0.0,07/01/2019,30,87
147,0.0,14/01/2019,18,109
148,0.0,21/01/2019,34,88
149,0.0,28/01/2019,33,69
150,0.0,04/02/2019,23,67
151,0.0,11/02/2019,39,82
152,0.0,18/02/2019,86,63
153,0.0,25/02/2019,72,79
154,0.0,04/03/2019,100,76
155,0.0,11/03/2019,74,83
156,0.0,18/03/2019,72,81
157,0.0,25/03/2019,46,52
158,0.0,01/04/2019,33,47
159,0.0,22/07/2019,38,62
160,0.0,29/07/2019,48,59
161,0.0,05/08/2019,39,61
162,0.0,12/08/2019,31,70
163,0.0,19/08/2019,23,87
164,0.0,26/08/2019,27,57
165,0.0,02/09/2019,26,90
166,0.0,09/09/2019,0,54
167,0.0,16/09/2019,27,54
168,0.0,23/09/2019,40,64
169,0.0,30/09/2019,0,90
170,0.0,07/10/2019,23,111
171,0.0,14/10/2019,34,63
172,0.0,21/10/2019,23,72
173,0.0,28/10/2019,24,67
174,0.0,04/11/2019,21,69
175,0.0,11/11/2019,0,72
176,0.0,18/11/2019,43,93
177,0.0,25/11/2019,25,131
178,0.0,02/12/2019,18,88
179,0.0,09/12/2019,0,81
180,0.0,16/12/2019,0,115
181,0.0,23/12/2019,18,109
182,0.0,30/12/2019,19,88
183,0.0,06/01/2020,24,82
184,0.0,13/01/2020,0,95
185,0.0,20/01/2020,0,131
186,0.0,27/01/2020,23,150
187,0.0,03/02/2020,0,120
188,0.0,10/02/2020,0,132
189,0.0,17/02/2020,0,161
190,0.0,24/02/2020,0,133
191,0.0,02/03/2020,0,70
192,0.0,09/03/2020,0,77
193,0.0,16/03/2020,25,71
194,0.0,23/03/2020,20,101
195,0.0,30/03/2020,30,80
196,0.0,06/04/2020,23,71
197,0.0,13/04/2020,24,77
198,0.0,20/04/2020,0,104
199,0.0,27/04/2020,31,90
200,0.0,04/05/2020,21,82
201,0.0,11/05/2020,24,97
202,0.0,18/05/2020,46,82
203,0.0,25/05/2020,19,74
204,0.0,01/06/2020,35,97
205,0.0,08/06/2020,51,100
206,0.0,15/06/2020,47,140
207,0.0,22/06/2020,79,217
208,0.0,29/06/2020,49,215
209,0.0,06/07/2020,49,242
210,0.0,13/07/2020,48,219
211,0.0,20/07/2020,51,129
212,0.0,27/07/2020,30,98
