,incidence,date,gt,tk
0,49.0,07/12/2015,7,0
1,37.0,14/12/2015,9,1
2,46.0,21/12/2015,9,0
3,66.0,28/12/2015,8,2
4,147.0,04/01/2016,9,0
5,216.0,11/01/2016,10,1
6,236.0,18/01/2016,10,1
7,252.0,25/01/2016,10,4
8,232.0,01/02/2016,16,3
9,252.0,08/02/2016,23,1
10,268.0,15/02/2016,29,2
11,260.0,22/02/2016,51,7
12,272.0,29/02/2016,33,13
13,312.0,07/03/2016,93,25
14,392.0,14/03/2016,74,30
15,292.0,21/03/2016,76,26
16,312.0,28/03/2016,53,60
17,504.0,04/04/2016,38,71
18,672.0,11/04/2016,39,45
19,1004.0,18/04/2016,44,59
20,936.0,25/04/2016,60,100
21,1448.0,02/05/2016,59,93
22,2344.0,09/05/2016,36,75
23,1500.0,16/05/2016,37,69
24,674.0,23/05/2016,38,89
25,270.0,30/05/2016,28,40
26,114.0,12/09/2016,23,38
27,200.0,19/09/2016,21,23
28,258.0,26/09/2016,27,28
29,356.0,03/10/2016,22,14
30,364.0,10/10/2016,31,15
31,352.0,17/10/2016,19,12
32,319.0,24/10/2016,18,11
33,380.0,31/10/2016,11,4
34,448.0,07/11/2016,20,14
35,244.0,14/11/2016,19,16
36,272.0,21/11/2016,12,6
37,304.0,28/11/2016,13,6
38,224.0,05/12/2016,11,5
39,140.0,12/12/2016,12,1
40,184.0,19/12/2016,7,4
41,148.0,26/12/2016,9,3
42,200.0,02/01/2017,7,3
43,204.0,09/01/2017,0,3
44,208.0,16/01/2017,9,5
45,228.0,23/01/2017,8,6
46,268.0,30/01/2017,0,5
47,276.0,06/02/2017,9,4
48,232.0,13/02/2017,10,5
49,356.0,20/02/2017,7,4
50,372.0,27/02/2017,0,3
51,484.0,06/03/2017,0,7
52,576.0,13/03/2017,0,7
53,288.0,20/03/2017,5,5
54,432.0,27/03/2017,7,6
55,636.0,03/04/2017,11,12
56,1062.0,10/04/2017,11,5
57,980.0,17/04/2017,7,8
58,1168.0,24/04/2017,15,6
59,944.0,01/05/2017,30,13
60,1304.0,08/05/2017,22,14
61,1000.0,15/05/2017,19,11
62,1488.0,22/05/2017,28,21
63,1168.0,29/05/2017,30,19
64,1754.0,05/06/2017,55,41
65,2469.0,12/06/2017,44,45
66,2871.0,19/06/2017,46,56
67,1212.0,26/06/2017,65,50
68,1128.0,03/07/2017,45,41
69,648.0,10/07/2017,31,33
70,1080.0,17/07/2017,33,24
71,685.0,24/07/2017,22,24
72,665.0,31/07/2017,26,25
73,565.0,07/08/2017,49,50
74,384.0,14/08/2017,55,208
75,368.0,21/08/2017,78,334
76,360.0,28/08/2017,46,165
77,384.0,04/09/2017,35,91
78,376.0,11/09/2017,23,64
79,420.0,18/09/2017,34,42
80,272.0,25/09/2017,23,43
81,296.0,02/10/2017,23,25
82,344.0,09/10/2017,16,14
83,201.0,16/10/2017,23,19
84,186.0,23/10/2017,15,16
85,192.0,30/10/2017,18,9
86,166.0,06/11/2017,18,16
87,132.0,13/11/2017,14,15
88,78.0,20/11/2017,14,10
89,46.0,04/12/2017,13,11
90,134.0,11/12/2017,0,7
91,201.0,18/12/2017,9,8
92,100.0,25/12/2017,14,13
93,160.0,01/01/2018,7,7
94,272.0,08/01/2018,11,10
95,280.0,15/01/2018,0,7
96,280.0,22/01/2018,8,6
97,304.0,29/01/2018,6,9
98,236.0,05/02/2018,11,12
99,232.0,12/02/2018,8,15
100,268.0,19/02/2018,0,13
101,256.0,26/02/2018,0,6
102,328.0,05/03/2018,10,10
103,376.0,12/03/2018,0,12
104,464.0,19/03/2018,0,19
105,396.0,26/03/2018,9,27
106,288.0,02/04/2018,0,74
107,548.0,09/04/2018,9,92
108,1458.0,16/04/2018,10,66
109,2097.0,23/04/2018,14,50
110,1185.0,30/04/2018,11,26
111,1548.0,07/05/2018,11,35
112,2160.0,14/05/2018,13,32
113,2072.0,21/05/2018,22,32
114,1348.0,28/05/2018,21,39
115,5296.0,04/06/2018,53,79
116,5764.0,11/06/2018,32,41
117,2760.0,18/06/2018,24,23
118,3416.0,25/06/2018,40,40
119,2152.0,02/07/2018,47,71
120,1176.0,09/07/2018,47,53
121,836.0,16/07/2018,44,59
122,672.0,23/07/2018,47,85
123,496.0,30/07/2018,41,106
124,428.0,06/08/2018,39,89
