,incidence,date,gt,tk
0,185.0,07/12/2015,52,7
1,201.0,14/12/2015,45,3
2,320.0,21/12/2015,47,21
3,372.0,28/12/2015,46,13
4,555.0,04/01/2016,42,5
5,712.0,11/01/2016,44,4
6,804.0,18/01/2016,43,3
7,896.0,25/01/2016,42,3
8,828.0,01/02/2016,44,11
9,696.0,08/02/2016,50,12
10,668.0,15/02/2016,73,25
11,692.0,22/02/2016,74,9
12,696.0,29/02/2016,68,11
13,744.0,07/03/2016,62,9
14,664.0,14/03/2016,63,9
15,536.0,21/03/2016,53,11
16,512.0,28/03/2016,50,25
17,608.0,04/04/2016,44,19
18,628.0,11/04/2016,46,17
19,584.0,18/04/2016,38,13
20,564.0,25/04/2016,38,11
21,544.0,02/05/2016,46,9
22,684.0,09/05/2016,45,9
23,405.0,16/05/2016,45,12
24,244.0,23/05/2016,33,6
25,115.0,30/05/2016,36,11
26,214.0,12/09/2016,33,9
27,466.0,19/09/2016,32,13
28,747.0,26/09/2016,35,10
29,1144.0,03/10/2016,35,9
30,1160.0,10/10/2016,32,12
31,1212.0,17/10/2016,27,13
32,1084.0,24/10/2016,34,6
33,1160.0,31/10/2016,33,15
34,1200.0,07/11/2016,42,16
35,1192.0,14/11/2016,46,10
36,1248.0,21/11/2016,48,14
37,1284.0,28/11/2016,49,16
38,1228.0,05/12/2016,38,40
39,1052.0,12/12/2016,48,24
40,1240.0,19/12/2016,45,11
41,824.0,26/12/2016,48,14
42,1044.0,02/01/2017,41,10
43,1052.0,09/01/2017,40,17
44,1236.0,16/01/2017,44,11
45,1256.0,23/01/2017,44,15
46,1256.0,30/01/2017,41,11
47,876.0,06/02/2017,38,19
48,808.0,13/02/2017,42,22
49,932.0,20/02/2017,37,16
50,868.0,27/02/2017,45,10
51,836.0,06/03/2017,49,35
52,651.0,13/03/2017,51,48
53,416.0,20/03/2017,46,25
54,440.0,27/03/2017,43,30
55,458.0,03/04/2017,43,29
56,537.0,10/04/2017,45,21
57,708.0,17/04/2017,41,26
58,816.0,24/04/2017,38,30
59,708.0,01/05/2017,40,17
60,756.0,08/05/2017,44,24
61,820.0,15/05/2017,38,33
62,884.0,22/05/2017,40,30
63,544.0,29/05/2017,45,31
64,664.0,05/06/2017,43,37
65,405.0,12/06/2017,49,36
66,438.0,19/06/2017,47,26
67,492.0,26/06/2017,44,20
68,543.0,03/07/2017,49,28
69,520.0,10/07/2017,42,43
70,885.0,17/07/2017,38,30
71,1010.0,24/07/2017,41,26
72,835.0,31/07/2017,38,28
73,805.0,07/08/2017,40,26
74,628.0,14/08/2017,41,19
75,588.0,21/08/2017,54,27
76,387.0,28/08/2017,53,17
77,603.0,04/09/2017,51,28
78,672.0,11/09/2017,46,34
79,723.0,18/09/2017,43,16
80,1040.0,25/09/2017,42,15
81,1064.0,02/10/2017,46,22
82,1048.0,09/10/2017,44,21
83,783.0,16/10/2017,45,16
84,747.0,23/10/2017,50,36
85,714.0,30/10/2017,50,20
86,488.0,06/11/2017,54,20
87,478.0,13/11/2017,47,46
88,250.0,20/11/2017,54,26
89,308.0,04/12/2017,55,14
90,546.0,11/12/2017,54,26
91,1008.0,18/12/2017,65,25
92,896.0,25/12/2017,61,25
93,1096.0,01/01/2018,61,24
94,1204.0,08/01/2018,54,25
95,1412.0,15/01/2018,58,20
96,1040.0,22/01/2018,62,19
97,1104.0,29/01/2018,60,12
98,1088.0,05/02/2018,60,17
99,1048.0,12/02/2018,62,24
100,1060.0,19/02/2018,61,19
101,924.0,26/02/2018,56,11
102,972.0,05/03/2018,65,12
103,1000.0,12/03/2018,63,28
104,836.0,19/03/2018,50,27
105,780.0,26/03/2018,53,20
106,664.0,02/04/2018,47,41
107,816.0,09/04/2018,53,38
108,531.0,16/04/2018,54,45
109,696.0,23/04/2018,54,38
110,627.0,30/04/2018,44,43
111,459.0,07/05/2018,44,43
112,968.0,14/05/2018,41,46
113,984.0,21/05/2018,45,34
114,608.0,28/05/2018,47,48
115,852.0,04/06/2018,48,78
116,812.0,11/06/2018,46,58
117,796.0,18/06/2018,42,74
118,896.0,25/06/2018,48,67
119,896.0,02/07/2018,48,59
120,768.0,09/07/2018,44,58
121,748.0,16/07/2018,45,54
122,716.0,23/07/2018,42,37
123,740.0,30/07/2018,44,44
124,616.0,06/08/2018,39,39
125,692.0,13/08/2018,45,46
126,716.0,20/08/2018,44,52
127,576.0,27/08/2018,47,54
128,920.0,03/09/2018,57,49
129,944.0,10/09/2018,45,41
130,1280.0,17/09/2018,42,49
131,1164.0,24/09/2018,40,40
132,1328.0,01/10/2018,43,46
133,876.0,08/10/2018,43,37
134,840.0,15/10/2018,39,28
135,870.0,22/10/2018,33,42
136,843.0,29/10/2018,38,35
137,1216.0,05/11/2018,39,24
138,1448.0,12/11/2018,38,24
139,1436.0,19/11/2018,41,25
140,1476.0,26/11/2018,47,17
141,1424.0,03/12/2018,48,25
142,1484.0,10/12/2018,53,35
143,1508.0,17/12/2018,48,45
144,1080.0,24/12/2018,51,45
145,1584.0,31/12/2018,54,28
146,1880.0,07/01/2019,56,45
147,1588.0,14/01/2019,52,34
148,1708.0,21/01/2019,54,51
149,1464.0,28/01/2019,53,33
150,1720.0,04/02/2019,62,31
151,1500.0,11/02/2019,74,32
152,1388.0,18/02/2019,82,42
153,1572.0,25/02/2019,93,52
154,1496.0,04/03/2019,100,49
155,1336.0,11/03/2019,87,51
156,1140.0,18/03/2019,68,65
157,728.0,25/03/2019,54,41
158,392.0,01/04/2019,57,50
159,307.0,22/07/2019,61,41
160,630.0,29/07/2019,57,45
161,822.0,05/08/2019,58,39
162,1172.0,12/08/2019,55,55
163,1048.0,19/08/2019,54,50
164,880.0,26/08/2019,59,44
165,1260.0,02/09/2019,52,42
166,1351.0,09/09/2019,51,44
167,1710.0,16/09/2019,53,40
168,1746.0,23/09/2019,52,68
169,1820.0,30/09/2019,54,36
170,1952.0,07/10/2019,56,38
171,1752.0,14/10/2019,56,42
172,1716.0,21/10/2019,54,55
173,1380.0,28/10/2019,54,66
174,1047.0,04/11/2019,50,42
175,993.0,11/11/2019,44,47
176,984.0,18/11/2019,45,40
177,1014.0,25/11/2019,45,46
178,1480.0,02/12/2019,47,35
179,1168.0,09/12/2019,81,43
180,1664.0,16/12/2019,60,39
181,1108.0,23/12/2019,42,44
182,1436.0,30/12/2019,42,61
183,1552.0,06/01/2020,40,66
184,1384.0,13/01/2020,42,50
185,1400.0,20/01/2020,42,52
186,1560.0,27/01/2020,38,57
187,1564.0,03/02/2020,42,66
188,1508.0,10/02/2020,43,73
189,1416.0,17/02/2020,36,91
190,1480.0,24/02/2020,42,92
191,1692.0,02/03/2020,35,68
192,1860.0,09/03/2020,44,105
193,2360.0,16/03/2020,48,99
194,1960.0,23/03/2020,50,107
195,1356.0,30/03/2020,54,110
196,960.0,06/04/2020,51,114
197,1052.0,13/04/2020,61,130
198,1012.0,20/04/2020,57,148
199,1000.0,27/04/2020,58,137
200,932.0,04/05/2020,64,155
201,1084.0,11/05/2020,63,171
202,824.0,18/05/2020,70,176
203,660.0,25/05/2020,63,163
204,988.0,01/06/2020,64,173
205,952.0,08/06/2020,69,172
206,884.0,15/06/2020,72,111
207,844.0,22/06/2020,72,129
208,884.0,29/06/2020,70,130
209,888.0,06/07/2020,63,167
210,852.0,13/07/2020,62,163
211,716.0,20/07/2020,53,168
212,764.0,27/07/2020,55,100
