,incidence,date,gt,tk
0,0.0,07/12/2015,68,0
1,0.0,14/12/2015,61,0
2,0.0,21/12/2015,58,0
3,0.0,28/12/2015,61,0
4,0.0,04/01/2016,61,0
5,0.0,11/01/2016,60,0
6,0.0,18/01/2016,51,0
7,0.0,25/01/2016,55,0
8,0.0,01/02/2016,64,0
9,0.0,08/02/2016,72,0
10,0.0,15/02/2016,73,1
11,0.0,22/02/2016,65,1
12,0.0,29/02/2016,54,4
13,0.0,07/03/2016,60,2
14,0.0,14/03/2016,46,2
15,0.0,21/03/2016,47,6
16,0.0,28/03/2016,43,8
17,0.0,04/04/2016,42,1
18,0.0,11/04/2016,30,0
19,0.0,18/04/2016,36,4
20,0.0,25/04/2016,24,1
21,0.0,02/05/2016,30,1
22,0.0,09/05/2016,26,0
23,0.0,16/05/2016,23,3
24,0.0,23/05/2016,23,1
25,0.0,30/05/2016,27,0
26,0.0,12/09/2016,33,0
27,0.0,19/09/2016,26,0
28,0.0,26/09/2016,28,0
29,0.0,03/10/2016,31,0
30,0.0,10/10/2016,22,1
31,0.0,17/10/2016,25,0
32,0.0,24/10/2016,24,0
33,0.0,31/10/2016,28,1
34,0.0,07/11/2016,30,1
35,0.0,14/11/2016,26,0
36,0.0,21/11/2016,31,0
37,0.0,28/11/2016,31,0
38,0.0,05/12/2016,31,0
39,0.0,12/12/2016,36,0
40,0.0,19/12/2016,33,0
41,0.0,26/12/2016,37,1
42,0.0,02/01/2017,28,1
43,0.0,09/01/2017,32,0
44,0.0,16/01/2017,32,1
45,0.0,23/01/2017,35,0
46,0.0,30/01/2017,30,1
47,0.0,06/02/2017,32,0
48,0.0,13/02/2017,31,0
49,0.0,20/02/2017,31,0
50,0.0,27/02/2017,30,0
51,0.0,06/03/2017,36,1
52,0.0,13/03/2017,41,0
53,0.0,20/03/2017,47,0
54,0.0,27/03/2017,44,1
55,0.0,03/04/2017,46,0
56,0.0,10/04/2017,39,1
57,0.0,17/04/2017,36,1
58,0.0,24/04/2017,48,0
59,0.0,01/05/2017,37,0
60,0.0,08/05/2017,33,0
61,0.0,15/05/2017,36,2
62,0.0,22/05/2017,34,3
63,0.0,29/05/2017,37,0
64,0.0,05/06/2017,27,1
65,0.0,12/06/2017,38,1
66,0.0,19/06/2017,30,1
67,0.0,26/06/2017,35,0
68,0.0,03/07/2017,39,0
69,0.0,10/07/2017,33,0
70,0.0,17/07/2017,31,2
71,0.0,24/07/2017,36,0
72,0.0,31/07/2017,38,0
73,0.0,07/08/2017,30,0
74,0.0,14/08/2017,26,0
75,0.0,21/08/2017,33,1
76,0.0,28/08/2017,39,1
77,0.0,04/09/2017,37,0
78,0.0,11/09/2017,32,0
79,0.0,18/09/2017,36,1
80,0.0,25/09/2017,30,0
81,0.0,02/10/2017,44,1
82,0.0,09/10/2017,46,2
83,0.0,16/10/2017,33,4
84,0.0,23/10/2017,38,1
85,0.0,30/10/2017,40,2
86,0.0,06/11/2017,37,1
87,0.0,13/11/2017,46,0
88,0.0,20/11/2017,38,8
89,0.0,04/12/2017,39,1
90,0.0,11/12/2017,48,4
91,0.0,18/12/2017,49,3
92,0.0,25/12/2017,55,3
93,0.0,01/01/2018,48,1
94,0.0,08/01/2018,52,7
95,0.0,15/01/2018,53,3
96,0.0,22/01/2018,61,4
97,0.0,29/01/2018,52,2
98,0.0,05/02/2018,57,2
99,0.0,12/02/2018,55,3
100,0.0,19/02/2018,56,2
101,0.0,26/02/2018,53,1
102,0.0,05/03/2018,56,2
103,0.0,12/03/2018,47,0
104,0.0,19/03/2018,49,0
105,0.0,26/03/2018,41,0
106,0.0,02/04/2018,40,0
107,0.0,09/04/2018,42,0
108,0.0,16/04/2018,49,0
109,0.0,23/04/2018,51,0
110,0.0,30/04/2018,37,0
111,0.0,07/05/2018,45,0
112,0.0,14/05/2018,43,1
113,0.0,21/05/2018,38,0
114,0.0,28/05/2018,51,2
115,0.0,04/06/2018,53,0
116,0.0,11/06/2018,41,3
117,0.0,18/06/2018,42,3
118,0.0,25/06/2018,41,1
119,0.0,02/07/2018,42,0
120,0.0,09/07/2018,43,0
121,0.0,16/07/2018,47,0
122,0.0,23/07/2018,44,0
123,0.0,30/07/2018,56,1
124,0.0,06/08/2018,45,2
125,0.0,13/08/2018,42,0
126,0.0,20/08/2018,47,1
127,0.0,27/08/2018,42,1
128,0.0,03/09/2018,41,1
129,0.0,10/09/2018,41,2
130,0.0,17/09/2018,34,3
131,0.0,24/09/2018,45,0
132,0.0,01/10/2018,45,1
133,0.0,08/10/2018,37,0
134,0.0,15/10/2018,41,6
135,0.0,22/10/2018,39,2
136,0.0,29/10/2018,40,0
137,0.0,05/11/2018,32,4
138,0.0,12/11/2018,35,5
139,0.0,19/11/2018,44,1
140,0.0,26/11/2018,41,0
141,0.0,03/12/2018,36,1
142,0.0,10/12/2018,49,7
143,0.0,17/12/2018,64,4
144,0.0,24/12/2018,51,6
145,0.0,31/12/2018,54,3
146,0.0,07/01/2019,62,4
147,0.0,14/01/2019,47,1
148,0.0,21/01/2019,66,3
149,0.0,28/01/2019,56,3
150,0.0,04/02/2019,59,5
151,0.0,11/02/2019,62,7
152,0.0,18/02/2019,74,5
153,0.0,25/02/2019,88,8
154,0.0,04/03/2019,100,4
155,0.0,11/03/2019,85,6
156,0.0,18/03/2019,86,5
157,0.0,25/03/2019,67,2
158,0.0,01/04/2019,54,3
159,904.0,22/07/2019,60,4
160,1944.0,29/07/2019,64,5
161,2778.0,05/08/2019,65,2
162,3736.0,12/08/2019,58,0
163,3556.0,19/08/2019,61,3
164,3284.0,26/08/2019,61,0
165,4236.0,02/09/2019,53,0
166,4651.0,09/09/2019,59,3
167,5652.0,16/09/2019,66,3
168,7046.0,23/09/2019,54,5
169,7932.0,30/09/2019,51,1
170,7884.0,07/10/2019,50,1
171,8284.0,14/10/2019,53,5
172,8864.0,21/10/2019,52,1
173,6832.0,28/10/2019,44,4
174,5025.0,04/11/2019,51,0
