,incidence,date,gt,tk
0,3.0,07/12/2015,29,0
1,3.0,14/12/2015,27,1
2,2.0,21/12/2015,33,1
3,6.0,28/12/2015,30,1
4,9.0,04/01/2016,29,1
5,4.0,11/01/2016,32,0
6,16.0,18/01/2016,35,1
7,16.0,25/01/2016,29,0
8,12.0,01/02/2016,28,4
9,8.0,08/02/2016,35,0
10,8.0,15/02/2016,24,0
11,4.0,22/02/2016,25,0
12,0.0,29/02/2016,33,0
13,12.0,07/03/2016,48,2
14,0.0,14/03/2016,49,1
15,12.0,21/03/2016,33,1
16,8.0,28/03/2016,36,0
17,8.0,04/04/2016,42,0
18,8.0,11/04/2016,32,1
19,8.0,18/04/2016,44,1
20,8.0,25/04/2016,68,6
21,0.0,02/05/2016,63,7
22,8.0,09/05/2016,40,5
23,3.0,16/05/2016,38,7
24,8.0,23/05/2016,60,7
25,1.0,30/05/2016,45,4
26,1.0,12/09/2016,40,5
27,8.0,19/09/2016,50,14
28,9.0,26/09/2016,38,20
29,12.0,03/10/2016,48,18
30,4.0,10/10/2016,56,44
31,8.0,17/10/2016,63,39
32,16.0,24/10/2016,51,77
33,16.0,31/10/2016,38,47
34,12.0,07/11/2016,41,27
35,8.0,14/11/2016,44,24
36,12.0,21/11/2016,48,29
37,12.0,28/11/2016,41,15
38,8.0,05/12/2016,29,7
39,0.0,12/12/2016,31,1
40,20.0,19/12/2016,30,3
41,20.0,26/12/2016,30,25
42,8.0,02/01/2017,37,65
43,12.0,09/01/2017,39,3
44,16.0,16/01/2017,30,33
45,0.0,23/01/2017,28,20
46,12.0,30/01/2017,26,1
47,4.0,06/02/2017,30,3
48,4.0,13/02/2017,23,1
49,8.0,20/02/2017,23,5
50,24.0,27/02/2017,41,3
51,8.0,06/03/2017,29,2
52,0.0,13/03/2017,36,3
53,4.0,20/03/2017,34,4
54,2.0,27/03/2017,30,14
55,8.0,03/04/2017,38,14
56,6.0,10/04/2017,44,2
57,8.0,17/04/2017,38,3
58,8.0,24/04/2017,36,3
59,0.0,01/05/2017,30,1
60,8.0,08/05/2017,26,3
61,0.0,15/05/2017,38,0
62,12.0,22/05/2017,39,2
63,8.0,29/05/2017,50,2
64,12.0,05/06/2017,40,3
65,6.0,12/06/2017,40,2
66,6.0,19/06/2017,43,1
67,9.0,26/06/2017,53,2
68,6.0,03/07/2017,49,2
69,12.0,10/07/2017,36,2
70,15.0,17/07/2017,43,2
71,25.0,24/07/2017,31,1
72,20.0,31/07/2017,43,5
73,30.0,07/08/2017,80,10
74,4.0,14/08/2017,78,7
75,8.0,21/08/2017,72,1
76,16.0,28/08/2017,44,3
77,12.0,04/09/2017,35,0
78,4.0,11/09/2017,50,2
79,12.0,18/09/2017,50,1
80,8.0,25/09/2017,100,1
81,0.0,02/10/2017,58,2
82,16.0,09/10/2017,40,1
83,0.0,16/10/2017,45,3
84,12.0,23/10/2017,44,3
85,12.0,30/10/2017,45,2
86,4.0,06/11/2017,47,0
87,8.0,13/11/2017,43,2
88,3.0,20/11/2017,42,5
89,6.0,04/12/2017,53,3
90,2.0,11/12/2017,42,1
91,3.0,18/12/2017,43,4
92,12.0,25/12/2017,45,2
93,4.0,01/01/2018,45,2
94,12.0,08/01/2018,32,1
95,4.0,15/01/2018,30,2
96,8.0,22/01/2018,38,0
97,4.0,29/01/2018,30,1
98,8.0,05/02/2018,38,0
99,12.0,12/02/2018,30,1
100,8.0,19/02/2018,21,1
101,20.0,26/02/2018,31,0
102,16.0,05/03/2018,27,2
103,24.0,12/03/2018,35,1
104,28.0,19/03/2018,44,4
105,8.0,26/03/2018,28,2
106,0.0,02/04/2018,36,0
107,0.0,09/04/2018,38,2
108,12.0,16/04/2018,40,2
109,3.0,23/04/2018,39,2
110,6.0,30/04/2018,37,0
111,0.0,07/05/2018,32,2
112,16.0,14/05/2018,33,1
113,28.0,21/05/2018,33,1
114,0.0,28/05/2018,39,3
115,12.0,04/06/2018,44,2
116,8.0,11/06/2018,36,1
117,4.0,18/06/2018,34,2
118,8.0,25/06/2018,45,2
119,8.0,02/07/2018,41,6
120,16.0,09/07/2018,51,4
121,4.0,16/07/2018,48,5
122,16.0,23/07/2018,49,3
123,24.0,30/07/2018,49,1
124,12.0,06/08/2018,46,4
125,24.0,13/08/2018,48,5
126,20.0,20/08/2018,44,6
127,8.0,27/08/2018,63,5
128,8.0,03/09/2018,68,7
129,36.0,10/09/2018,48,4
130,16.0,17/09/2018,53,5
131,24.0,24/09/2018,85,1
132,40.0,01/10/2018,90,3
133,12.0,08/10/2018,59,9
134,6.0,15/10/2018,62,3
135,6.0,22/10/2018,74,6
136,6.0,29/10/2018,67,3
137,12.0,05/11/2018,59,1
138,16.0,12/11/2018,53,2
139,4.0,19/11/2018,45,5
140,8.0,26/11/2018,34,4
141,20.0,03/12/2018,36,5
142,12.0,10/12/2018,24,4
143,0.0,17/12/2018,34,3
144,12.0,24/12/2018,44,5
145,16.0,31/12/2018,36,3
146,20.0,07/01/2019,43,2
147,32.0,14/01/2019,31,6
148,24.0,21/01/2019,43,1
149,8.0,28/01/2019,27,3
150,8.0,04/02/2019,39,3
151,8.0,11/02/2019,38,21
152,24.0,18/02/2019,32,7
153,12.0,25/02/2019,31,9
