,incidence,date,gt,tk
0,59.0,07/12/2015,52,0
1,50.0,14/12/2015,66,1
2,98.0,21/12/2015,62,1
3,111.0,28/12/2015,48,0
4,177.0,04/01/2016,41,2
5,196.0,11/01/2016,46,2
6,228.0,18/01/2016,45,1
7,216.0,25/01/2016,42,2
8,236.0,01/02/2016,46,2
9,288.0,08/02/2016,45,0
10,196.0,15/02/2016,47,0
11,380.0,22/02/2016,47,0
12,336.0,29/02/2016,54,2
13,456.0,07/03/2016,100,1
14,396.0,14/03/2016,69,1
15,344.0,21/03/2016,48,0
16,296.0,28/03/2016,56,1
17,460.0,04/04/2016,59,1
18,448.0,11/04/2016,64,0
19,344.0,18/04/2016,53,0
20,360.0,25/04/2016,62,1
21,400.0,02/05/2016,65,0
22,480.0,09/05/2016,58,1
23,360.0,16/05/2016,57,1
24,210.0,23/05/2016,66,0
25,87.0,30/05/2016,73,0
26,44.0,12/09/2016,71,0
27,68.0,19/09/2016,86,1
28,126.0,26/09/2016,96,3
29,88.0,03/10/2016,97,0
30,164.0,10/10/2016,80,0
31,152.0,17/10/2016,66,2
32,151.0,24/10/2016,60,0
33,180.0,31/10/2016,61,0
34,200.0,07/11/2016,61,1
35,256.0,14/11/2016,60,1
36,252.0,21/11/2016,73,0
37,192.0,28/11/2016,67,0
38,280.0,05/12/2016,78,0
39,228.0,12/12/2016,64,0
40,364.0,19/12/2016,76,0
41,244.0,26/12/2016,75,0
42,384.0,02/01/2017,83,1
43,248.0,09/01/2017,70,0
44,424.0,16/01/2017,61,0
45,364.0,23/01/2017,60,0
46,520.0,30/01/2017,67,0
47,348.0,06/02/2017,61,0
48,404.0,13/02/2017,72,0
