,incidence,date,gt,tk
0,1475.0,07/12/2015,31,0
1,1728.0,14/12/2015,26,0
2,2764.0,21/12/2015,28,0
3,3405.0,28/12/2015,29,0
4,4425.0,04/01/2016,36,0
5,6016.0,11/01/2016,38,0
6,6828.0,18/01/2016,32,0
7,8232.0,25/01/2016,31,0
8,8072.0,01/02/2016,43,1
9,7844.0,08/02/2016,81,2
10,6824.0,15/02/2016,92,2
11,7156.0,22/02/2016,100,1
12,7472.0,29/02/2016,69,0
13,8056.0,07/03/2016,63,0
14,8292.0,14/03/2016,46,0
15,6900.0,21/03/2016,44,0
16,5976.0,28/03/2016,33,0
17,5052.0,04/04/2016,33,0
18,4564.0,11/04/2016,34,0
19,4292.0,18/04/2016,41,0
20,4664.0,25/04/2016,39,1
21,4056.0,02/05/2016,38,0
22,4332.0,09/05/2016,32,0
23,3009.0,16/05/2016,27,0
24,2070.0,23/05/2016,30,0
25,696.0,30/05/2016,28,0
26,727.0,12/09/2016,33,0
27,2188.0,19/09/2016,31,0
28,3933.0,26/09/2016,44,0
29,6496.0,03/10/2016,31,0
30,5900.0,10/10/2016,37,0
31,6452.0,17/10/2016,24,0
32,6315.0,24/10/2016,33,0
33,6956.0,31/10/2016,47,0
34,7244.0,07/11/2016,66,0
35,7892.0,14/11/2016,76,0
36,9144.0,21/11/2016,89,0
37,8284.0,28/11/2016,74,3
38,8296.0,05/12/2016,60,2
39,7676.0,12/12/2016,54,1
40,9476.0,19/12/2016,52,0
41,7372.0,26/12/2016,54,0
42,8804.0,02/01/2017,42,0
43,7832.0,09/01/2017,41,0
44,7660.0,16/01/2017,36,0
45,8624.0,23/01/2017,47,0
46,8772.0,30/01/2017,37,0
47,7304.0,06/02/2017,45,4
48,5756.0,13/02/2017,46,4
49,6408.0,20/02/2017,54,1
50,5472.0,27/02/2017,61,0
51,5260.0,06/03/2017,68,2
52,4287.0,13/03/2017,55,0
53,2628.0,20/03/2017,48,0
54,2758.0,27/03/2017,44,0
55,2814.0,03/04/2017,40,1
56,2808.0,10/04/2017,36,2
57,3692.0,17/04/2017,36,1
58,4040.0,24/04/2017,38,1
59,3276.0,01/05/2017,34,0
60,4214.0,08/05/2017,30,1
61,4343.0,15/05/2017,40,0
62,3648.0,22/05/2017,47,1
63,2480.0,29/05/2017,51,0
64,2674.0,05/06/2017,56,1
65,1440.0,12/06/2017,55,1
66,1461.0,19/06/2017,43,0
67,1767.0,26/06/2017,42,0
68,2016.0,03/07/2017,47,1
69,1688.0,10/07/2017,45,2
70,3645.0,17/07/2017,42,0
71,3625.0,24/07/2017,39,0
72,3665.0,31/07/2017,46,3
73,3500.0,07/08/2017,44,0
74,2740.0,14/08/2017,42,0
75,2852.0,21/08/2017,41,1
76,2236.0,28/08/2017,42,2
77,2900.0,04/09/2017,47,0
78,3716.0,11/09/2017,42,0
79,5874.0,18/09/2017,47,0
80,6777.0,25/09/2017,44,0
81,7004.0,02/10/2017,37,2
82,6720.0,09/10/2017,43,1
83,5118.0,16/10/2017,42,0
84,4395.0,23/10/2017,47,1
85,4569.0,30/10/2017,45,0
86,3524.0,06/11/2017,49,1
87,4114.0,13/11/2017,55,2
88,2316.0,20/11/2017,56,4
89,2241.0,04/12/2017,64,3
90,4864.0,11/12/2017,57,5
91,8586.0,18/12/2017,63,6
92,7860.0,25/12/2017,55,4
93,9624.0,01/01/2018,41,1
94,9684.0,08/01/2018,53,2
95,9680.0,15/01/2018,52,4
96,9728.0,22/01/2018,56,0
97,8980.0,29/01/2018,44,7
98,9704.0,05/02/2018,53,4
99,7968.0,12/02/2018,58,8
100,7640.0,19/02/2018,58,1
101,6868.0,26/02/2018,64,5
102,7468.0,05/03/2018,78,5
103,7456.0,12/03/2018,58,8
104,7180.0,19/03/2018,50,1
105,5648.0,26/03/2018,38,1
106,5148.0,02/04/2018,42,0
107,4752.0,09/04/2018,48,1
108,2799.0,16/04/2018,47,0
109,3264.0,23/04/2018,43,2
110,3526.0,30/04/2018,41,0
111,2457.0,07/05/2018,37,0
112,4427.0,14/05/2018,41,0
113,4252.0,21/05/2018,55,1
114,2640.0,28/05/2018,49,0
115,3232.0,04/06/2018,45,0
116,2656.0,11/06/2018,48,1
117,2180.0,18/06/2018,51,1
118,3012.0,25/06/2018,46,1
119,2920.0,02/07/2018,34,2
120,2612.0,09/07/2018,40,0
121,2368.0,16/07/2018,32,0
122,2080.0,23/07/2018,35,1
123,2176.0,30/07/2018,31,1
124,1804.0,06/08/2018,38,1
125,2340.0,13/08/2018,42,0
126,1992.0,20/08/2018,41,0
127,2308.0,27/08/2018,49,0
128,3120.0,03/09/2018,40,1
129,4243.0,10/09/2018,37,1
130,5682.0,17/09/2018,38,4
131,6761.0,24/09/2018,45,1
