,incidence,date,gt,tk
0,351.0,07/12/2015,62,0
1,410.0,14/12/2015,56,1
2,740.0,21/12/2015,57,4
3,738.0,28/12/2015,58,2
4,1053.0,04/01/2016,62,0
5,1760.0,11/01/2016,69,1
6,1724.0,18/01/2016,61,0
7,2024.0,25/01/2016,61,0
8,2176.0,01/02/2016,57,1
9,2080.0,08/02/2016,60,1
10,1980.0,15/02/2016,54,3
11,2088.0,22/02/2016,61,0
12,2068.0,29/02/2016,63,0
13,1948.0,07/03/2016,64,3
14,1976.0,14/03/2016,62,3
15,1812.0,21/03/2016,62,3
16,1612.0,28/03/2016,64,1
17,1684.0,04/04/2016,68,1
18,1812.0,11/04/2016,67,1
19,1804.0,18/04/2016,66,1
20,1708.0,25/04/2016,68,0
21,1604.0,02/05/2016,64,0
22,1924.0,09/05/2016,62,2
23,1314.0,16/05/2016,58,2
24,864.0,23/05/2016,55,1
25,299.0,30/05/2016,53,0
26,310.0,12/09/2016,62,0
27,620.0,19/09/2016,53,1
28,1083.0,26/09/2016,61,0
29,1316.0,03/10/2016,56,1
30,1208.0,10/10/2016,57,2
31,1348.0,17/10/2016,53,2
32,1187.0,24/10/2016,61,3
33,1420.0,31/10/2016,60,2
34,1432.0,07/11/2016,57,0
35,1420.0,14/11/2016,55,0
36,1484.0,21/11/2016,53,1
37,1508.0,28/11/2016,53,0
38,1476.0,05/12/2016,55,1
39,1392.0,12/12/2016,61,0
40,1820.0,19/12/2016,58,2
41,1236.0,26/12/2016,67,5
42,1672.0,02/01/2017,72,8
43,1744.0,09/01/2017,54,0
44,1944.0,16/01/2017,66,2
45,2076.0,23/01/2017,58,1
46,2348.0,30/01/2017,54,2
47,1944.0,06/02/2017,57,0
48,1912.0,13/02/2017,53,1
49,2376.0,20/02/2017,58,1
50,2140.0,27/02/2017,69,2
51,1840.0,06/03/2017,66,3
52,1488.0,13/03/2017,61,3
53,942.0,20/03/2017,61,1
54,910.0,27/03/2017,59,2
55,1022.0,03/04/2017,73,1
56,1371.0,10/04/2017,61,2
57,1344.0,17/04/2017,71,3
58,1856.0,24/04/2017,69,2
59,1284.0,01/05/2017,62,3
60,1452.0,08/05/2017,61,3
61,1544.0,15/05/2017,57,4
62,1648.0,22/05/2017,61,1
63,1164.0,29/05/2017,63,2
64,1437.0,05/06/2017,60,3
65,996.0,12/06/2017,60,2
66,1149.0,19/06/2017,60,2
67,873.0,26/06/2017,63,4
68,1113.0,03/07/2017,61,2
69,792.0,10/07/2017,62,0
70,1685.0,17/07/2017,55,1
71,1575.0,24/07/2017,57,0
72,1540.0,31/07/2017,59,4
73,1610.0,07/08/2017,64,1
74,1312.0,14/08/2017,61,2
75,1172.0,21/08/2017,60,1
76,960.0,28/08/2017,66,2
77,1176.0,04/09/2017,61,2
78,1132.0,11/09/2017,61,1
79,1216.0,18/09/2017,62,1
80,1156.0,25/09/2017,65,2
81,1372.0,02/10/2017,59,1
82,1140.0,09/10/2017,64,0
83,1059.0,16/10/2017,65,2
84,1041.0,23/10/2017,65,0
85,930.0,30/10/2017,67,2
86,800.0,06/11/2017,68,1
87,760.0,13/11/2017,57,0
88,370.0,20/11/2017,60,1
89,444.0,04/12/2017,61,1
90,902.0,11/12/2017,59,3
91,1503.0,18/12/2017,70,2
92,1104.0,25/12/2017,67,3
93,1480.0,01/01/2018,68,2
94,1796.0,08/01/2018,74,1
95,1880.0,15/01/2018,74,3
96,2036.0,22/01/2018,60,2
97,2052.0,29/01/2018,66,0
98,2256.0,05/02/2018,70,1
99,2140.0,12/02/2018,70,3
100,2140.0,19/02/2018,70,3
101,1884.0,26/02/2018,68,4
102,1920.0,05/03/2018,79,1
103,1964.0,12/03/2018,86,4
104,1928.0,19/03/2018,75,2
105,1460.0,26/03/2018,69,5
106,1572.0,02/04/2018,63,4
107,1580.0,09/04/2018,69,7
108,1233.0,16/04/2018,73,3
109,1314.0,23/04/2018,72,3
110,1212.0,30/04/2018,67,7
111,960.0,07/05/2018,65,4
112,1684.0,14/05/2018,60,7
113,1744.0,21/05/2018,74,7
114,1168.0,28/05/2018,68,2
115,1968.0,04/06/2018,66,2
116,1912.0,11/06/2018,66,6
117,1232.0,18/06/2018,69,2
118,1604.0,25/06/2018,63,4
119,1612.0,02/07/2018,66,2
120,1524.0,09/07/2018,67,2
121,1548.0,16/07/2018,66,8
122,1456.0,23/07/2018,60,5
123,1264.0,30/07/2018,61,5
124,1096.0,06/08/2018,66,5
125,1336.0,13/08/2018,69,2
126,1292.0,20/08/2018,73,2
127,1088.0,27/08/2018,70,3
128,1184.0,03/09/2018,65,6
129,1312.0,10/09/2018,63,4
130,1316.0,17/09/2018,63,5
131,1440.0,24/09/2018,67,6
132,1252.0,01/10/2018,67,10
133,1068.0,08/10/2018,67,8
134,1020.0,15/10/2018,67,3
135,1002.0,22/10/2018,63,3
136,1077.0,29/10/2018,64,2
137,1716.0,05/11/2018,63,4
138,1600.0,12/11/2018,60,11
139,1740.0,19/11/2018,56,0
