,incidence,date,gt,tk
0,0.0,07/12/2015,2,0
1,0.0,14/12/2015,0,0
2,0.0,21/12/2015,2,19
3,0.0,28/12/2015,2,11
4,0.0,04/01/2016,2,1
5,0.0,11/01/2016,1,0
6,0.0,18/01/2016,2,0
7,0.0,25/01/2016,2,0
8,0.0,01/02/2016,2,1
9,0.0,08/02/2016,3,0
10,0.0,15/02/2016,20,0
11,0.0,22/02/2016,100,0
12,0.0,29/02/2016,18,1
13,0.0,07/03/2016,15,0
14,0.0,14/03/2016,9,0
15,0.0,21/03/2016,5,1
16,0.0,28/03/2016,5,2
17,0.0,04/04/2016,5,1
18,0.0,11/04/2016,6,2
19,0.0,18/04/2016,5,3
20,0.0,25/04/2016,4,0
21,0.0,02/05/2016,5,0
22,0.0,09/05/2016,4,0
23,0.0,16/05/2016,3,0
24,0.0,23/05/2016,3,0
25,0.0,30/05/2016,2,0
26,0.0,12/09/2016,2,1
27,0.0,19/09/2016,2,3
28,0.0,26/09/2016,2,0
29,0.0,03/10/2016,3,0
30,0.0,10/10/2016,2,0
31,0.0,17/10/2016,2,0
32,0.0,24/10/2016,2,3
33,0.0,31/10/2016,2,3
34,0.0,07/11/2016,2,1
35,0.0,14/11/2016,2,1
36,0.0,21/11/2016,2,1
37,0.0,28/11/2016,2,0
38,0.0,05/12/2016,2,0
39,0.0,12/12/2016,2,0
40,0.0,19/12/2016,3,3
41,0.0,26/12/2016,2,0
42,0.0,02/01/2017,3,0
43,0.0,09/01/2017,7,0
44,0.0,16/01/2017,3,0
45,0.0,23/01/2017,2,0
46,0.0,30/01/2017,3,0
47,0.0,06/02/2017,2,0
48,0.0,13/02/2017,3,0
49,0.0,20/02/2017,3,0
50,0.0,27/02/2017,2,1
51,0.0,06/03/2017,5,0
52,0.0,13/03/2017,13,0
53,0.0,20/03/2017,7,1
54,0.0,27/03/2017,5,0
55,0.0,03/04/2017,6,1
56,0.0,10/04/2017,6,0
57,0.0,17/04/2017,8,0
58,0.0,24/04/2017,12,0
59,0.0,01/05/2017,5,0
60,0.0,08/05/2017,4,0
61,0.0,15/05/2017,4,2
62,0.0,22/05/2017,3,0
63,0.0,29/05/2017,4,0
64,0.0,05/06/2017,2,1
65,0.0,12/06/2017,2,0
66,0.0,19/06/2017,2,1
67,0.0,26/06/2017,2,0
68,0.0,03/07/2017,3,1
69,0.0,10/07/2017,2,9
70,0.0,17/07/2017,3,9
71,0.0,24/07/2017,2,3
72,0.0,31/07/2017,2,0
73,0.0,07/08/2017,2,1
74,0.0,14/08/2017,2,0
75,0.0,21/08/2017,2,1
76,0.0,28/08/2017,2,0
77,0.0,04/09/2017,1,0
78,0.0,11/09/2017,2,0
79,0.0,18/09/2017,3,0
80,0.0,25/09/2017,2,0
81,0.0,02/10/2017,2,1
82,0.0,09/10/2017,2,1
83,0.0,16/10/2017,1,1
84,0.0,23/10/2017,1,0
85,0.0,30/10/2017,1,0
86,0.0,06/11/2017,2,0
87,0.0,13/11/2017,2,0
88,0.0,20/11/2017,3,1
89,0.0,04/12/2017,2,3
90,0.0,11/12/2017,2,2
91,0.0,18/12/2017,2,0
