,incidence,date,gt,tk
0,0.0,07/12/2015,0,0
1,0.0,14/12/2015,0,0
2,0.0,21/12/2015,0,0
3,0.0,28/12/2015,0,0
4,0.0,04/01/2016,0,0
5,0.0,11/01/2016,0,0
6,0.0,18/01/2016,0,0
7,0.0,25/01/2016,0,0
8,0.0,01/02/2016,0,0
9,0.0,08/02/2016,0,0
10,0.0,15/02/2016,0,0
11,0.0,22/02/2016,0,0
12,0.0,29/02/2016,0,0
13,0.0,07/03/2016,0,0
14,0.0,14/03/2016,0,0
15,0.0,21/03/2016,0,0
16,0.0,28/03/2016,0,0
17,0.0,04/04/2016,0,0
18,0.0,11/04/2016,0,0
19,0.0,18/04/2016,0,0
20,0.0,25/04/2016,0,0
21,0.0,02/05/2016,0,0
22,0.0,09/05/2016,0,0
23,0.0,16/05/2016,0,0
24,0.0,23/05/2016,0,0
25,0.0,30/05/2016,0,0
26,0.0,12/09/2016,0,0
27,0.0,19/09/2016,0,0
28,0.0,26/09/2016,0,0
29,0.0,03/10/2016,0,1
30,0.0,10/10/2016,0,0
31,0.0,17/10/2016,0,0
32,0.0,24/10/2016,0,0
33,0.0,31/10/2016,0,0
34,0.0,07/11/2016,0,0
35,0.0,14/11/2016,0,0
36,0.0,21/11/2016,0,0
37,0.0,28/11/2016,0,0
38,0.0,05/12/2016,0,0
39,0.0,12/12/2016,0,0
40,0.0,19/12/2016,0,0
41,0.0,26/12/2016,0,0
42,0.0,02/01/2017,0,0
43,0.0,09/01/2017,0,0
44,0.0,16/01/2017,0,0
45,0.0,23/01/2017,0,0
46,0.0,30/01/2017,0,0
47,0.0,06/02/2017,0,0
48,0.0,13/02/2017,0,0
49,0.0,20/02/2017,0,0
50,0.0,27/02/2017,0,0
51,0.0,06/03/2017,0,0
52,0.0,13/03/2017,0,0
53,0.0,20/03/2017,0,0
54,0.0,27/03/2017,0,0
55,0.0,03/04/2017,0,0
56,0.0,10/04/2017,0,0
57,0.0,17/04/2017,0,0
58,0.0,24/04/2017,0,0
59,0.0,01/05/2017,0,0
60,0.0,08/05/2017,0,0
61,0.0,15/05/2017,0,0
62,0.0,22/05/2017,0,0
63,0.0,29/05/2017,0,0
64,0.0,05/06/2017,0,0
65,0.0,12/06/2017,0,0
66,0.0,19/06/2017,0,0
67,0.0,26/06/2017,0,0
68,0.0,03/07/2017,0,0
69,0.0,10/07/2017,0,0
70,0.0,17/07/2017,0,0
71,0.0,24/07/2017,0,0
72,0.0,31/07/2017,0,0
73,0.0,07/08/2017,0,0
74,0.0,14/08/2017,100,0
75,0.0,21/08/2017,0,1
76,0.0,28/08/2017,0,1
77,0.0,04/09/2017,0,0
78,0.0,11/09/2017,0,0
79,0.0,18/09/2017,0,0
80,0.0,25/09/2017,0,0
81,0.0,02/10/2017,0,0
82,0.0,09/10/2017,0,0
83,0.0,16/10/2017,0,1
84,0.0,23/10/2017,0,2
85,0.0,30/10/2017,0,0
86,0.0,06/11/2017,0,0
87,0.0,13/11/2017,0,0
88,0.0,20/11/2017,0,1
89,0.0,04/12/2017,0,0
90,0.0,11/12/2017,0,0
91,0.0,18/12/2017,0,0
92,0.0,25/12/2017,0,0
93,0.0,01/01/2018,0,0
94,0.0,08/01/2018,0,0
95,0.0,15/01/2018,0,0
96,0.0,22/01/2018,0,0
97,0.0,29/01/2018,0,0
98,0.0,05/02/2018,0,0
99,0.0,12/02/2018,0,0
100,0.0,19/02/2018,0,0
101,0.0,26/02/2018,0,0
102,0.0,05/03/2018,0,0
103,0.0,12/03/2018,0,0
104,0.0,19/03/2018,0,0
105,0.0,26/03/2018,0,0
106,0.0,02/04/2018,0,0
107,0.0,09/04/2018,0,0
108,0.0,16/04/2018,0,0
109,0.0,23/04/2018,0,0
110,0.0,30/04/2018,0,0
111,0.0,07/05/2018,0,0
112,0.0,14/05/2018,0,0
113,0.0,21/05/2018,0,0
114,0.0,28/05/2018,0,0
115,0.0,04/06/2018,0,0
116,0.0,11/06/2018,0,0
117,0.0,18/06/2018,0,0
118,0.0,25/06/2018,0,0
119,0.0,02/07/2018,0,0
120,0.0,09/07/2018,0,0
121,0.0,16/07/2018,0,0
122,0.0,23/07/2018,0,0
123,0.0,30/07/2018,0,0
124,0.0,06/08/2018,0,0
125,0.0,13/08/2018,0,0
126,0.0,20/08/2018,0,0
127,0.0,27/08/2018,0,0
128,0.0,03/09/2018,0,0
129,0.0,10/09/2018,0,0
130,0.0,17/09/2018,0,0
131,0.0,24/09/2018,0,0
132,0.0,01/10/2018,0,0
133,0.0,08/10/2018,0,0
134,0.0,15/10/2018,0,1
135,0.0,22/10/2018,0,0
136,0.0,29/10/2018,0,0
137,0.0,05/11/2018,0,0
138,0.0,12/11/2018,0,0
139,0.0,19/11/2018,0,0
140,0.0,26/11/2018,0,0
141,0.0,03/12/2018,0,0
142,0.0,10/12/2018,0,0
143,0.0,17/12/2018,0,0
144,0.0,24/12/2018,0,0
145,0.0,31/12/2018,0,0
146,0.0,07/01/2019,0,0
147,0.0,14/01/2019,0,1
