,incidence,date,gt,tk
0,51.0,07/12/2015,84,0
1,48.0,14/12/2015,83,0
2,92.0,21/12/2015,72,0
3,117.0,28/12/2015,50,0
4,153.0,04/01/2016,66,0
5,300.0,11/01/2016,62,0
6,308.0,18/01/2016,73,0
7,272.0,25/01/2016,64,0
8,312.0,01/02/2016,60,0
9,232.0,08/02/2016,62,0
10,304.0,15/02/2016,52,0
11,320.0,22/02/2016,56,0
12,348.0,29/02/2016,61,0
13,244.0,07/03/2016,64,0
14,284.0,14/03/2016,72,0
15,236.0,21/03/2016,69,0
16,212.0,28/03/2016,67,0
17,280.0,04/04/2016,61,1
18,284.0,11/04/2016,68,0
19,296.0,18/04/2016,75,0
20,264.0,25/04/2016,68,0
21,304.0,02/05/2016,74,0
22,240.0,09/05/2016,84,0
23,267.0,16/05/2016,69,0
24,118.0,23/05/2016,79,0
25,54.0,30/05/2016,100,0
26,89.0,12/09/2016,89,1
27,166.0,19/09/2016,90,1
28,222.0,26/09/2016,75,0
29,332.0,03/10/2016,75,0
30,256.0,10/10/2016,81,3
31,308.0,17/10/2016,74,0
32,245.0,24/10/2016,80,0
33,288.0,31/10/2016,77,0
34,336.0,07/11/2016,94,0
35,320.0,14/11/2016,90,0
36,308.0,21/11/2016,86,1
37,360.0,28/11/2016,89,1
38,352.0,05/12/2016,85,0
39,192.0,12/12/2016,80,0
40,296.0,19/12/2016,78,0
41,220.0,26/12/2016,76,0
42,300.0,02/01/2017,72,0
43,284.0,09/01/2017,75,0
44,372.0,16/01/2017,80,0
45,312.0,23/01/2017,90,0
46,384.0,30/01/2017,87,2
47,332.0,06/02/2017,87,0
48,260.0,13/02/2017,95,0
