,incidence,date,gt,tk
0,82.0,07/12/2015,46,0
1,95.0,14/12/2015,39,1
2,130.0,21/12/2015,41,1
3,198.0,28/12/2015,47,0
4,246.0,04/01/2016,56,0
5,316.0,11/01/2016,61,0
6,360.0,18/01/2016,54,0
7,348.0,25/01/2016,58,0
8,336.0,01/02/2016,85,0
9,400.0,08/02/2016,76,0
10,340.0,15/02/2016,56,0
11,476.0,22/02/2016,56,0
12,412.0,29/02/2016,54,0
13,368.0,07/03/2016,62,0
14,340.0,14/03/2016,62,0
15,264.0,21/03/2016,54,0
16,312.0,28/03/2016,54,0
17,396.0,04/04/2016,40,0
18,424.0,11/04/2016,44,0
19,352.0,18/04/2016,48,1
20,372.0,25/04/2016,44,0
21,372.0,02/05/2016,35,0
22,364.0,09/05/2016,42,0
23,333.0,16/05/2016,49,0
24,166.0,23/05/2016,60,2
25,87.0,30/05/2016,61,0
26,102.0,12/09/2016,56,0
27,218.0,19/09/2016,52,0
28,306.0,26/09/2016,54,0
29,452.0,03/10/2016,43,0
30,400.0,10/10/2016,36,0
31,484.0,17/10/2016,42,0
32,401.0,24/10/2016,48,0
33,476.0,31/10/2016,42,0
34,420.0,07/11/2016,63,0
35,444.0,14/11/2016,61,0
36,396.0,21/11/2016,61,0
37,428.0,28/11/2016,54,0
38,420.0,05/12/2016,54,2
39,348.0,12/12/2016,57,1
40,396.0,19/12/2016,57,0
41,336.0,26/12/2016,56,0
42,432.0,02/01/2017,61,0
43,340.0,09/01/2017,61,4
44,468.0,16/01/2017,57,2
45,412.0,23/01/2017,64,0
46,488.0,30/01/2017,55,4
47,308.0,06/02/2017,48,0
48,296.0,13/02/2017,60,0
49,512.0,20/02/2017,59,1
50,436.0,27/02/2017,56,1
51,504.0,06/03/2017,63,0
52,324.0,13/03/2017,53,0
53,200.0,20/03/2017,58,0
54,246.0,27/03/2017,67,0
55,240.0,03/04/2017,62,0
56,231.0,10/04/2017,54,0
57,472.0,17/04/2017,62,1
58,472.0,24/04/2017,66,0
59,408.0,01/05/2017,62,2
60,392.0,08/05/2017,60,2
61,432.0,15/05/2017,62,1
62,496.0,22/05/2017,60,0
63,252.0,29/05/2017,67,0
64,378.0,05/06/2017,66,1
65,234.0,12/06/2017,66,0
66,264.0,19/06/2017,65,0
67,342.0,26/06/2017,78,0
68,342.0,03/07/2017,73,0
69,324.0,10/07/2017,66,0
70,550.0,17/07/2017,76,0
71,595.0,24/07/2017,60,0
72,615.0,31/07/2017,62,0
73,630.0,07/08/2017,57,0
74,532.0,14/08/2017,62,0
75,492.0,21/08/2017,63,0
76,376.0,28/08/2017,67,2
77,516.0,04/09/2017,69,0
78,452.0,11/09/2017,69,0
79,496.0,18/09/2017,62,2
80,536.0,25/09/2017,76,3
81,476.0,02/10/2017,73,1
82,516.0,09/10/2017,62,0
83,393.0,16/10/2017,64,1
84,372.0,23/10/2017,56,0
85,405.0,30/10/2017,72,1
86,240.0,06/11/2017,59,0
87,260.0,13/11/2017,60,2
88,134.0,20/11/2017,57,0
89,124.0,04/12/2017,70,0
90,234.0,11/12/2017,66,0
91,345.0,18/12/2017,66,0
92,340.0,25/12/2017,61,1
93,396.0,01/01/2018,66,2
94,400.0,08/01/2018,62,1
95,484.0,15/01/2018,61,0
96,468.0,22/01/2018,67,1
97,540.0,29/01/2018,62,1
98,432.0,05/02/2018,59,0
99,456.0,12/02/2018,60,0
100,488.0,19/02/2018,65,0
101,472.0,26/02/2018,60,1
102,536.0,05/03/2018,58,0
103,516.0,12/03/2018,60,4
104,484.0,19/03/2018,47,2
105,420.0,26/03/2018,57,2
106,460.0,02/04/2018,64,0
107,436.0,09/04/2018,75,0
108,309.0,16/04/2018,69,5
109,396.0,23/04/2018,69,3
110,348.0,30/04/2018,58,1
111,321.0,07/05/2018,68,0
112,560.0,14/05/2018,69,0
113,528.0,21/05/2018,71,3
114,460.0,28/05/2018,71,2
115,624.0,04/06/2018,65,2
116,484.0,11/06/2018,66,0
117,436.0,18/06/2018,67,0
118,496.0,25/06/2018,66,0
119,548.0,02/07/2018,59,3
120,548.0,09/07/2018,55,2
121,544.0,16/07/2018,54,0
122,528.0,23/07/2018,56,2
123,600.0,30/07/2018,62,7
124,472.0,06/08/2018,70,9
125,616.0,13/08/2018,62,2
126,576.0,20/08/2018,69,6
127,608.0,27/08/2018,68,2
128,640.0,03/09/2018,66,1
129,560.0,10/09/2018,75,1
130,520.0,17/09/2018,63,0
131,620.0,24/09/2018,74,5
132,572.0,01/10/2018,80,5
133,465.0,08/10/2018,68,1
134,435.0,15/10/2018,71,8
135,477.0,22/10/2018,62,2
136,447.0,29/10/2018,62,1
137,636.0,05/11/2018,59,2
138,608.0,12/11/2018,66,9
139,648.0,19/11/2018,66,6
140,588.0,26/11/2018,65,3
141,672.0,03/12/2018,57,1
142,736.0,10/12/2018,55,2
143,536.0,17/12/2018,59,0
144,376.0,24/12/2018,57,3
145,480.0,31/12/2018,62,2
146,620.0,07/01/2019,65,2
147,616.0,14/01/2019,60,0
148,656.0,21/01/2019,63,2
149,792.0,28/01/2019,58,0
150,752.0,04/02/2019,61,2
151,692.0,11/02/2019,63,1
152,672.0,18/02/2019,67,1
153,764.0,25/02/2019,68,1
154,696.0,04/03/2019,73,2
155,676.0,11/03/2019,61,4
156,516.0,18/03/2019,66,3
157,332.0,25/03/2019,57,0
158,178.0,01/04/2019,63,4
159,202.0,22/07/2019,72,5
160,410.0,29/07/2019,63,5
161,588.0,05/08/2019,62,4
162,804.0,12/08/2019,61,1
163,748.0,19/08/2019,58,3
164,628.0,26/08/2019,66,1
165,792.0,02/09/2019,78,4
166,832.0,09/09/2019,67,10
167,1034.0,16/09/2019,73,9
168,890.0,23/09/2019,65,3
169,892.0,30/09/2019,70,3
170,844.0,07/10/2019,88,2
171,772.0,14/10/2019,100,5
172,852.0,21/10/2019,67,4
173,652.0,28/10/2019,72,0
174,474.0,04/11/2019,67,2
175,405.0,11/11/2019,80,2
176,447.0,18/11/2019,76,3
177,429.0,25/11/2019,70,4
178,476.0,02/12/2019,70,2
179,400.0,09/12/2019,67,15
180,532.0,16/12/2019,84,7
181,388.0,23/12/2019,76,1
182,512.0,30/12/2019,65,4
183,588.0,06/01/2020,72,0
184,556.0,13/01/2020,69,3
185,576.0,20/01/2020,68,4
186,732.0,27/01/2020,62,7
187,760.0,03/02/2020,77,2
188,568.0,10/02/2020,83,3
189,772.0,17/02/2020,83,10
190,788.0,24/02/2020,68,2
191,824.0,02/03/2020,77,3
192,848.0,09/03/2020,78,1
193,592.0,16/03/2020,67,2
194,492.0,23/03/2020,78,1
195,520.0,30/03/2020,82,3
196,588.0,06/04/2020,79,3
197,640.0,13/04/2020,77,3
198,668.0,20/04/2020,70,1
199,740.0,27/04/2020,64,5
200,616.0,04/05/2020,66,6
201,736.0,11/05/2020,67,4
202,724.0,18/05/2020,67,3
203,684.0,25/05/2020,68,2
204,788.0,01/06/2020,67,2
205,844.0,08/06/2020,72,5
206,784.0,15/06/2020,66,3
207,784.0,22/06/2020,71,0
208,976.0,29/06/2020,54,7
209,828.0,06/07/2020,59,12
210,924.0,13/07/2020,63,11
211,840.0,20/07/2020,56,9
212,852.0,27/07/2020,58,19
