,incidence,date,gt,tk
0,68.0,07/12/2015,85,0
1,96.0,14/12/2015,78,0
2,172.0,21/12/2015,71,0
3,207.0,28/12/2015,70,0
4,204.0,04/01/2016,69,0
5,428.0,11/01/2016,67,0
6,388.0,18/01/2016,75,0
7,388.0,25/01/2016,78,0
8,332.0,01/02/2016,72,0
9,324.0,08/02/2016,80,0
10,340.0,15/02/2016,70,0
11,284.0,22/02/2016,72,0
12,404.0,29/02/2016,86,0
13,404.0,07/03/2016,95,0
14,388.0,14/03/2016,86,0
15,264.0,21/03/2016,98,0
16,300.0,28/03/2016,79,0
17,328.0,04/04/2016,60,0
18,316.0,11/04/2016,73,0
19,464.0,18/04/2016,87,0
20,316.0,25/04/2016,78,0
21,316.0,02/05/2016,82,0
22,224.0,09/05/2016,86,0
23,234.0,16/05/2016,77,0
24,126.0,23/05/2016,77,0
25,56.0,30/05/2016,84,0
26,101.0,12/09/2016,77,0
27,204.0,19/09/2016,78,0
28,324.0,26/09/2016,77,0
29,468.0,03/10/2016,69,0
30,460.0,10/10/2016,81,0
31,356.0,17/10/2016,90,1
32,336.0,24/10/2016,79,2
33,344.0,31/10/2016,88,0
34,528.0,07/11/2016,83,0
35,400.0,14/11/2016,90,0
36,488.0,21/11/2016,95,0
37,432.0,28/11/2016,82,0
38,384.0,05/12/2016,92,0
39,320.0,12/12/2016,87,0
40,384.0,19/12/2016,88,0
41,248.0,26/12/2016,83,0
42,384.0,02/01/2017,83,0
43,324.0,09/01/2017,91,0
44,500.0,16/01/2017,87,0
45,408.0,23/01/2017,100,0
46,440.0,30/01/2017,95,0
47,376.0,06/02/2017,88,0
48,380.0,13/02/2017,95,4
