,incidence,date,gt,tk
0,95.0,07/12/2015,72,0
1,116.0,14/12/2015,63,0
2,162.0,21/12/2015,66,0
3,207.0,28/12/2015,59,0
4,285.0,04/01/2016,73,0
5,388.0,11/01/2016,57,0
6,460.0,18/01/2016,74,0
7,512.0,25/01/2016,79,0
8,588.0,01/02/2016,59,0
9,436.0,08/02/2016,60,0
10,488.0,15/02/2016,53,0
11,492.0,22/02/2016,42,0
12,624.0,29/02/2016,50,0
13,604.0,07/03/2016,46,0
14,544.0,14/03/2016,55,0
15,436.0,21/03/2016,48,0
16,408.0,28/03/2016,66,0
17,492.0,04/04/2016,59,0
18,444.0,11/04/2016,50,0
19,496.0,18/04/2016,65,0
20,516.0,25/04/2016,52,0
21,432.0,02/05/2016,53,0
22,524.0,09/05/2016,62,0
23,396.0,16/05/2016,48,0
24,322.0,23/05/2016,58,0
25,114.0,30/05/2016,66,0
26,143.0,12/09/2016,61,1
27,278.0,19/09/2016,64,0
28,492.0,26/09/2016,63,0
29,604.0,03/10/2016,61,0
30,576.0,10/10/2016,53,0
31,588.0,17/10/2016,62,0
32,615.0,24/10/2016,59,0
33,704.0,31/10/2016,55,0
34,652.0,07/11/2016,59,0
35,660.0,14/11/2016,61,0
36,688.0,21/11/2016,71,0
37,664.0,28/11/2016,51,0
38,600.0,05/12/2016,57,0
39,572.0,12/12/2016,63,0
40,544.0,19/12/2016,67,0
41,420.0,26/12/2016,56,0
42,440.0,02/01/2017,64,0
43,532.0,09/01/2017,47,0
44,528.0,16/01/2017,60,0
45,508.0,23/01/2017,69,0
46,692.0,30/01/2017,58,0
47,608.0,06/02/2017,62,0
48,448.0,13/02/2017,77,1
49,608.0,20/02/2017,76,0
50,624.0,27/02/2017,71,0
51,552.0,06/03/2017,60,0
52,474.0,13/03/2017,59,0
53,234.0,20/03/2017,71,0
54,340.0,27/03/2017,68,0
55,312.0,03/04/2017,66,0
56,252.0,10/04/2017,64,0
57,444.0,17/04/2017,67,0
58,624.0,24/04/2017,75,1
59,496.0,01/05/2017,69,0
60,528.0,08/05/2017,70,0
61,544.0,15/05/2017,63,1
62,548.0,22/05/2017,75,0
63,428.0,29/05/2017,72,0
64,473.0,05/06/2017,68,0
65,309.0,12/06/2017,61,0
66,285.0,19/06/2017,66,0
67,369.0,26/06/2017,60,0
68,417.0,03/07/2017,65,0
69,344.0,10/07/2017,63,0
70,655.0,17/07/2017,81,0
71,620.0,24/07/2017,64,0
72,675.0,31/07/2017,76,0
73,625.0,07/08/2017,54,0
74,592.0,14/08/2017,59,0
75,500.0,21/08/2017,77,0
76,408.0,28/08/2017,79,0
77,560.0,04/09/2017,69,0
78,536.0,11/09/2017,60,0
79,544.0,18/09/2017,83,0
80,608.0,25/09/2017,57,0
81,536.0,02/10/2017,69,0
82,600.0,09/10/2017,72,0
83,408.0,16/10/2017,64,0
84,438.0,23/10/2017,64,0
85,411.0,30/10/2017,77,0
86,274.0,06/11/2017,79,0
87,342.0,13/11/2017,70,2
88,139.0,20/11/2017,79,2
89,154.0,04/12/2017,72,1
90,328.0,11/12/2017,70,0
91,435.0,18/12/2017,73,1
92,436.0,25/12/2017,82,1
93,492.0,01/01/2018,85,1
94,672.0,08/01/2018,82,0
95,716.0,15/01/2018,62,0
