,incidence,date,gt,tk
0,5.0,07/12/2015,100,1
1,6.0,14/12/2015,69,3
2,12.0,21/12/2015,65,3
3,12.0,28/12/2015,66,2
4,15.0,04/01/2016,59,1
5,40.0,11/01/2016,63,1
6,32.0,18/01/2016,62,0
7,28.0,25/01/2016,62,0
8,44.0,01/02/2016,63,1
9,48.0,08/02/2016,64,1
10,24.0,15/02/2016,50,1
11,40.0,22/02/2016,48,2
12,52.0,29/02/2016,55,1
13,20.0,07/03/2016,57,1
14,16.0,14/03/2016,60,1
15,20.0,21/03/2016,62,1
16,40.0,28/03/2016,63,2
17,24.0,04/04/2016,67,1
18,28.0,11/04/2016,66,0
19,36.0,18/04/2016,63,3
20,32.0,25/04/2016,66,2
21,12.0,02/05/2016,65,1
22,16.0,09/05/2016,66,1
23,30.0,16/05/2016,69,0
24,18.0,23/05/2016,64,0
25,2.0,30/05/2016,66,3
26,9.0,12/09/2016,66,2
27,24.0,19/09/2016,63,0
28,12.0,26/09/2016,69,6
29,28.0,03/10/2016,65,5
30,24.0,10/10/2016,68,1
31,24.0,17/10/2016,59,0
32,20.0,24/10/2016,64,1
33,20.0,31/10/2016,67,1
34,20.0,07/11/2016,72,3
35,32.0,14/11/2016,80,1
36,52.0,21/11/2016,75,9
37,32.0,28/11/2016,82,2
38,24.0,05/12/2016,75,0
39,32.0,12/12/2016,70,0
40,24.0,19/12/2016,67,2
41,4.0,26/12/2016,66,6
42,16.0,02/01/2017,65,6
43,36.0,09/01/2017,73,2
44,32.0,16/01/2017,75,2
45,32.0,23/01/2017,66,1
46,32.0,30/01/2017,65,5
47,40.0,06/02/2017,66,4
48,16.0,13/02/2017,66,1
49,24.0,20/02/2017,58,2
50,32.0,27/02/2017,52,6
51,40.0,06/03/2017,65,10
52,21.0,13/03/2017,65,8
53,12.0,20/03/2017,69,2
54,12.0,27/03/2017,64,5
55,18.0,03/04/2017,68,12
56,30.0,10/04/2017,64,9
57,28.0,17/04/2017,70,21
58,24.0,24/04/2017,77,23
59,28.0,01/05/2017,75,44
60,60.0,08/05/2017,75,64
61,24.0,15/05/2017,72,37
62,40.0,22/05/2017,72,29
63,28.0,29/05/2017,67,20
64,34.0,05/06/2017,69,19
65,12.0,12/06/2017,60,23
66,15.0,19/06/2017,68,40
67,9.0,26/06/2017,62,21
68,15.0,03/07/2017,59,20
69,12.0,10/07/2017,64,13
70,40.0,17/07/2017,66,13
71,45.0,24/07/2017,63,15
72,35.0,31/07/2017,59,11
73,35.0,07/08/2017,60,9
74,28.0,14/08/2017,63,8
75,32.0,21/08/2017,72,14
76,12.0,28/08/2017,68,8
77,12.0,04/09/2017,61,17
78,48.0,11/09/2017,58,13
79,44.0,18/09/2017,59,16
80,32.0,25/09/2017,58,14
81,60.0,02/10/2017,64,17
82,36.0,09/10/2017,64,15
83,18.0,16/10/2017,62,16
84,24.0,23/10/2017,59,12
85,12.0,30/10/2017,62,13
86,18.0,06/11/2017,62,11
87,36.0,13/11/2017,60,8
88,12.0,20/11/2017,59,8
89,14.0,04/12/2017,61,11
90,10.0,11/12/2017,64,10
91,30.0,18/12/2017,63,11
92,28.0,25/12/2017,61,8
93,32.0,01/01/2018,60,10
94,24.0,08/01/2018,65,7
95,44.0,15/01/2018,67,7
96,32.0,22/01/2018,64,6
97,32.0,29/01/2018,64,6
98,12.0,05/02/2018,67,15
99,16.0,12/02/2018,73,16
100,32.0,19/02/2018,64,16
101,32.0,26/02/2018,57,2
102,52.0,05/03/2018,59,6
103,20.0,12/03/2018,59,13
104,44.0,19/03/2018,70,16
105,32.0,26/03/2018,73,11
106,28.0,02/04/2018,67,15
107,36.0,09/04/2018,74,17
108,27.0,16/04/2018,67,26
109,30.0,23/04/2018,75,11
110,30.0,30/04/2018,72,9
111,27.0,07/05/2018,69,3
112,52.0,14/05/2018,74,13
113,32.0,21/05/2018,71,21
114,28.0,28/05/2018,71,16
115,44.0,04/06/2018,69,17
116,24.0,11/06/2018,74,15
117,28.0,18/06/2018,74,11
118,24.0,25/06/2018,67,11
119,40.0,02/07/2018,76,13
120,32.0,09/07/2018,75,8
121,28.0,16/07/2018,76,8
122,20.0,23/07/2018,69,18
123,20.0,30/07/2018,74,15
124,20.0,06/08/2018,79,14
125,32.0,13/08/2018,73,14
126,36.0,20/08/2018,66,14
127,48.0,27/08/2018,69,9
128,32.0,03/09/2018,69,5
129,28.0,10/09/2018,69,7
130,44.0,17/09/2018,70,9
131,36.0,24/09/2018,67,9
132,68.0,01/10/2018,65,5
133,15.0,08/10/2018,72,10
134,24.0,15/10/2018,68,14
135,27.0,22/10/2018,69,12
136,42.0,29/10/2018,63,7
137,40.0,05/11/2018,68,14
138,60.0,12/11/2018,67,9
139,48.0,19/11/2018,67,16
140,52.0,26/11/2018,71,14
141,56.0,03/12/2018,68,9
142,32.0,10/12/2018,75,11
143,44.0,17/12/2018,70,12
144,24.0,24/12/2018,75,9
145,32.0,31/12/2018,69,13
146,72.0,07/01/2019,68,10
147,56.0,14/01/2019,72,12
148,44.0,21/01/2019,62,13
149,56.0,28/01/2019,72,8
150,48.0,04/02/2019,72,7
151,32.0,11/02/2019,69,8
152,48.0,18/02/2019,63,5
153,56.0,25/02/2019,64,9
154,44.0,04/03/2019,63,5
155,48.0,11/03/2019,62,13
156,42.0,18/03/2019,71,9
157,30.0,25/03/2019,70,4
158,18.0,01/04/2019,72,11
159,13.0,22/07/2019,72,12
160,28.0,29/07/2019,74,13
161,33.0,05/08/2019,68,16
162,56.0,12/08/2019,65,20
163,44.0,19/08/2019,71,11
164,24.0,26/08/2019,68,22
165,72.0,02/09/2019,71,19
166,40.0,09/09/2019,70,22
167,42.0,16/09/2019,70,15
168,36.0,23/09/2019,71,21
169,36.0,30/09/2019,73,16
170,32.0,07/10/2019,64,23
171,72.0,14/10/2019,72,24
172,32.0,21/10/2019,72,14
173,40.0,28/10/2019,65,16
174,15.0,04/11/2019,73,24
175,27.0,11/11/2019,66,19
176,33.0,18/11/2019,78,24
177,24.0,25/11/2019,65,30
178,32.0,02/12/2019,69,19
179,16.0,09/12/2019,62,25
180,32.0,16/12/2019,59,17
181,20.0,23/12/2019,69,22
182,44.0,30/12/2019,66,27
183,60.0,06/01/2020,62,22
184,44.0,13/01/2020,66,14
185,68.0,20/01/2020,62,31
186,28.0,27/01/2020,69,22
187,48.0,03/02/2020,62,20
188,60.0,10/02/2020,65,25
189,60.0,17/02/2020,71,54
190,72.0,24/02/2020,64,38
191,76.0,02/03/2020,64,49
192,72.0,09/03/2020,67,27
193,32.0,16/03/2020,65,26
194,40.0,23/03/2020,64,23
195,28.0,30/03/2020,68,25
196,4.0,06/04/2020,68,24
197,20.0,13/04/2020,65,38
198,28.0,20/04/2020,73,34
199,16.0,27/04/2020,76,34
200,24.0,04/05/2020,72,25
201,28.0,11/05/2020,73,12
202,12.0,18/05/2020,77,20
203,12.0,25/05/2020,70,17
204,4.0,01/06/2020,68,13
205,24.0,08/06/2020,66,18
206,8.0,15/06/2020,59,16
207,16.0,22/06/2020,62,47
208,20.0,29/06/2020,63,37
209,4.0,06/07/2020,70,23
210,12.0,13/07/2020,71,23
211,8.0,20/07/2020,68,21
212,16.0,27/07/2020,72,22
