,incidence,date,gt,tk
0,159.0,07/12/2015,17,4
1,110.0,14/12/2015,14,2
2,158.0,21/12/2015,23,2
3,333.0,28/12/2015,38,13
4,477.0,04/01/2016,29,6
5,664.0,11/01/2016,28,6
6,820.0,18/01/2016,17,3
7,928.0,25/01/2016,52,9
8,1016.0,01/02/2016,63,23
9,1028.0,08/02/2016,85,27
10,816.0,15/02/2016,100,27
11,952.0,22/02/2016,73,16
12,1128.0,29/02/2016,61,10
13,1240.0,07/03/2016,40,6
14,1380.0,14/03/2016,31,9
15,1172.0,21/03/2016,28,6
16,1052.0,28/03/2016,25,1
17,896.0,04/04/2016,21,6
18,800.0,11/04/2016,25,5
19,444.0,18/04/2016,18,2
20,420.0,25/04/2016,13,0
21,304.0,02/05/2016,13,5
22,256.0,09/05/2016,11,6
23,198.0,16/05/2016,10,4
24,74.0,23/05/2016,10,5
25,35.0,30/05/2016,10,6
26,27.0,12/09/2016,9,3
27,98.0,19/09/2016,10,2
28,234.0,26/09/2016,10,1
29,452.0,03/10/2016,11,2
30,436.0,10/10/2016,11,4
31,376.0,17/10/2016,10,4
32,375.0,24/10/2016,12,3
33,508.0,31/10/2016,11,3
34,388.0,07/11/2016,12,6
35,428.0,14/11/2016,16,10
36,488.0,21/11/2016,20,14
37,488.0,28/11/2016,23,25
38,528.0,05/12/2016,21,17
39,680.0,12/12/2016,20,6
40,964.0,19/12/2016,19,9
41,744.0,26/12/2016,19,3
42,1164.0,02/01/2017,18,5
43,1204.0,09/01/2017,17,8
44,1000.0,16/01/2017,18,7
45,1000.0,23/01/2017,17,7
46,1156.0,30/01/2017,15,11
47,728.0,06/02/2017,17,16
48,680.0,13/02/2017,13,12
49,508.0,20/02/2017,15,5
50,448.0,27/02/2017,16,9
51,468.0,06/03/2017,16,7
52,234.0,13/03/2017,21,14
53,152.0,20/03/2017,19,13
54,116.0,27/03/2017,17,9
55,120.0,03/04/2017,16,8
56,117.0,10/04/2017,15,4
57,164.0,17/04/2017,12,4
58,180.0,24/04/2017,11,8
59,156.0,01/05/2017,15,7
60,180.0,08/05/2017,11,7
61,224.0,15/05/2017,9,5
62,140.0,22/05/2017,10,7
63,84.0,29/05/2017,9,9
64,98.0,05/06/2017,8,5
65,75.0,12/06/2017,7,10
66,39.0,19/06/2017,8,7
67,72.0,26/06/2017,9,6
68,81.0,03/07/2017,8,3
69,60.0,10/07/2017,6,5
70,135.0,17/07/2017,8,17
71,120.0,24/07/2017,9,5
72,130.0,31/07/2017,7,4
73,135.0,07/08/2017,8,15
74,124.0,14/08/2017,6,1
75,108.0,21/08/2017,6,5
76,84.0,28/08/2017,7,6
77,108.0,04/09/2017,7,5
78,160.0,11/09/2017,8,14
79,256.0,18/09/2017,8,16
80,304.0,25/09/2017,8,2
81,452.0,02/10/2017,8,4
82,364.0,09/10/2017,11,5
83,294.0,16/10/2017,8,6
84,303.0,23/10/2017,7,8
85,231.0,30/10/2017,8,8
86,214.0,06/11/2017,8,13
87,196.0,13/11/2017,9,14
88,122.0,20/11/2017,11,19
89,139.0,04/12/2017,11,32
90,386.0,11/12/2017,11,40
91,966.0,18/12/2017,12,54
92,1416.0,25/12/2017,13,51
93,2520.0,01/01/2018,14,36
94,3616.0,08/01/2018,10,27
95,3672.0,15/01/2018,19,32
96,3616.0,22/01/2018,12,28
97,2956.0,29/01/2018,12,31
98,2376.0,05/02/2018,15,24
99,2020.0,12/02/2018,15,33
100,2056.0,19/02/2018,15,27
101,1300.0,26/02/2018,17,30
102,1416.0,05/03/2018,14,18
103,1304.0,12/03/2018,16,31
104,944.0,19/03/2018,44,27
105,680.0,26/03/2018,15,17
106,556.0,02/04/2018,12,18
107,516.0,09/04/2018,12,19
108,207.0,16/04/2018,10,16
109,180.0,23/04/2018,12,8
110,156.0,30/04/2018,9,12
111,51.0,07/05/2018,10,12
112,156.0,14/05/2018,10,12
113,128.0,21/05/2018,12,12
114,88.0,28/05/2018,13,28
115,92.0,04/06/2018,11,24
116,100.0,11/06/2018,14,21
117,112.0,18/06/2018,11,26
118,112.0,25/06/2018,9,12
119,92.0,02/07/2018,10,15
120,96.0,09/07/2018,12,13
121,84.0,16/07/2018,10,13
122,60.0,23/07/2018,10,14
123,68.0,30/07/2018,9,13
124,88.0,06/08/2018,8,14
125,76.0,13/08/2018,6,9
126,128.0,20/08/2018,9,15
127,104.0,27/08/2018,8,10
128,116.0,03/09/2018,7,9
129,152.0,10/09/2018,7,12
130,224.0,17/09/2018,7,7
131,280.0,24/09/2018,7,13
132,340.0,01/10/2018,6,11
133,231.0,08/10/2018,7,5
134,267.0,15/10/2018,6,6
135,216.0,22/10/2018,6,8
136,219.0,29/10/2018,6,5
137,440.0,05/11/2018,7,9
138,444.0,12/11/2018,8,19
139,536.0,19/11/2018,8,9
140,536.0,26/11/2018,9,18
141,660.0,03/12/2018,11,47
142,736.0,10/12/2018,13,71
143,824.0,17/12/2018,15,49
144,748.0,24/12/2018,14,59
145,1356.0,31/12/2018,17,66
146,1800.0,07/01/2019,17,49
