,incidence,date,gt,tk
0,53.0,07/12/2015,77,0
1,94.0,14/12/2015,0,0
2,166.0,21/12/2015,52,0
3,126.0,28/12/2015,0,0
4,159.0,04/01/2016,70,0
5,336.0,11/01/2016,72,0
6,356.0,18/01/2016,65,0
7,316.0,25/01/2016,0,0
8,332.0,01/02/2016,51,0
9,280.0,08/02/2016,85,0
10,336.0,15/02/2016,61,0
11,344.0,22/02/2016,34,0
12,352.0,29/02/2016,0,0
13,368.0,07/03/2016,0,0
14,360.0,14/03/2016,0,0
15,292.0,21/03/2016,42,0
16,240.0,28/03/2016,0,0
17,272.0,04/04/2016,0,1
18,200.0,11/04/2016,0,1
19,240.0,18/04/2016,0,0
20,248.0,25/04/2016,0,0
21,184.0,02/05/2016,0,0
22,292.0,09/05/2016,0,0
23,177.0,16/05/2016,0,0
24,86.0,23/05/2016,0,0
25,33.0,30/05/2016,0,1
26,40.0,12/09/2016,0,0
27,74.0,19/09/2016,0,0
28,150.0,26/09/2016,0,0
29,228.0,03/10/2016,0,0
30,252.0,10/10/2016,0,0
31,324.0,17/10/2016,0,0
32,290.0,24/10/2016,0,0
33,232.0,31/10/2016,0,0
34,260.0,07/11/2016,0,0
35,296.0,14/11/2016,0,0
36,336.0,21/11/2016,0,0
37,400.0,28/11/2016,0,0
38,372.0,05/12/2016,71,0
39,320.0,12/12/2016,0,0
40,336.0,19/12/2016,41,0
41,180.0,26/12/2016,0,0
42,296.0,02/01/2017,59,0
43,308.0,09/01/2017,0,0
44,336.0,16/01/2017,0,0
45,332.0,23/01/2017,0,0
46,424.0,30/01/2017,0,0
47,288.0,06/02/2017,0,0
48,248.0,13/02/2017,0,0
49,264.0,20/02/2017,0,0
50,228.0,27/02/2017,0,0
51,252.0,06/03/2017,0,1
52,225.0,13/03/2017,0,0
53,150.0,20/03/2017,0,0
54,168.0,27/03/2017,0,0
55,140.0,03/04/2017,0,0
56,156.0,10/04/2017,0,0
57,208.0,17/04/2017,0,1
