,incidence,date,gt,tk
0,0.0,07/12/2015,18,0
1,0.0,14/12/2015,15,0
2,0.0,21/12/2015,17,1
3,0.0,28/12/2015,19,1
4,0.0,04/01/2016,22,0
5,0.0,11/01/2016,18,1
6,0.0,18/01/2016,18,3
7,0.0,25/01/2016,19,0
8,0.0,01/02/2016,28,1
9,0.0,08/02/2016,59,1
10,0.0,15/02/2016,100,1
11,0.0,22/02/2016,76,2
12,0.0,29/02/2016,43,2
13,0.0,07/03/2016,35,1
14,0.0,14/03/2016,27,1
15,0.0,21/03/2016,21,17
16,0.0,28/03/2016,19,8
17,0.0,04/04/2016,16,4
18,0.0,11/04/2016,16,2
19,0.0,18/04/2016,16,4
20,0.0,25/04/2016,16,3
21,0.0,02/05/2016,16,1
22,0.0,09/05/2016,15,2
23,0.0,16/05/2016,14,1
24,0.0,23/05/2016,14,3
25,0.0,30/05/2016,15,7
26,0.0,12/09/2016,15,3
27,0.0,19/09/2016,15,4
28,0.0,26/09/2016,17,4
29,0.0,03/10/2016,18,3
30,0.0,10/10/2016,19,5
31,0.0,17/10/2016,16,3
32,0.0,24/10/2016,19,4
33,0.0,31/10/2016,24,2
34,0.0,07/11/2016,29,0
35,0.0,14/11/2016,45,8
36,0.0,21/11/2016,51,9
37,0.0,28/11/2016,43,6
38,0.0,05/12/2016,30,5
39,0.0,12/12/2016,26,3
40,0.0,19/12/2016,23,3
41,0.0,26/12/2016,22,2
42,0.0,02/01/2017,20,1
43,0.0,09/01/2017,18,3
44,0.0,16/01/2017,18,4
45,0.0,23/01/2017,19,2
46,0.0,30/01/2017,16,3
47,0.0,06/02/2017,17,6
48,0.0,13/02/2017,19,5
49,0.0,20/02/2017,23,3
50,0.0,27/02/2017,29,4
51,0.0,06/03/2017,22,4
52,0.0,13/03/2017,19,4
53,0.0,20/03/2017,17,1
54,0.0,27/03/2017,16,1
55,0.0,03/04/2017,15,1
56,0.0,10/04/2017,15,4
57,0.0,17/04/2017,13,4
58,0.0,24/04/2017,13,3
59,0.0,01/05/2017,12,2
60,0.0,08/05/2017,12,3
61,0.0,15/05/2017,15,1
62,0.0,22/05/2017,15,2
63,0.0,29/05/2017,18,6
64,0.0,05/06/2017,18,7
65,0.0,12/06/2017,15,5
66,0.0,19/06/2017,13,3
67,0.0,26/06/2017,14,0
68,0.0,03/07/2017,14,1
69,0.0,10/07/2017,15,0
70,0.0,17/07/2017,17,4
71,0.0,24/07/2017,18,5
72,0.0,31/07/2017,21,4
73,0.0,07/08/2017,20,5
74,0.0,14/08/2017,17,3
75,0.0,21/08/2017,16,6
76,0.0,28/08/2017,17,2
77,0.0,04/09/2017,20,7
78,0.0,11/09/2017,21,5
79,0.0,18/09/2017,23,1
80,0.0,25/09/2017,23,1
81,0.0,02/10/2017,20,4
82,0.0,09/10/2017,19,4
83,0.0,16/10/2017,20,5
84,0.0,23/10/2017,21,3
85,0.0,30/10/2017,21,5
86,0.0,06/11/2017,24,6
87,0.0,13/11/2017,28,9
88,0.0,20/11/2017,31,16
89,0.0,04/12/2017,38,24
90,0.0,11/12/2017,34,14
91,0.0,18/12/2017,34,6
92,0.0,25/12/2017,30,10
93,0.0,01/01/2018,28,9
94,0.0,08/01/2018,25,8
95,0.0,15/01/2018,24,8
96,0.0,22/01/2018,25,4
97,0.0,29/01/2018,24,3
98,0.0,05/02/2018,26,10
99,0.0,12/02/2018,27,9
100,0.0,19/02/2018,29,12
101,0.0,26/02/2018,33,7
102,0.0,05/03/2018,41,6
103,0.0,12/03/2018,43,4
104,0.0,19/03/2018,27,9
105,0.0,26/03/2018,20,4
106,0.0,02/04/2018,18,11
107,0.0,09/04/2018,20,7
108,0.0,16/04/2018,21,6
109,0.0,23/04/2018,21,2
110,0.0,30/04/2018,18,9
111,0.0,07/05/2018,18,8
112,0.0,14/05/2018,19,7
113,0.0,21/05/2018,22,8
114,0.0,28/05/2018,25,5
115,0.0,04/06/2018,27,1
116,0.0,11/06/2018,22,5
117,0.0,18/06/2018,21,7
118,0.0,25/06/2018,22,4
119,0.0,02/07/2018,18,7
120,0.0,09/07/2018,16,2
121,0.0,16/07/2018,16,6
122,0.0,23/07/2018,16,7
123,0.0,30/07/2018,17,11
124,0.0,06/08/2018,18,6
125,0.0,13/08/2018,20,7
126,0.0,20/08/2018,21,15
127,0.0,27/08/2018,21,5
128,0.0,03/09/2018,22,9
129,0.0,10/09/2018,22,12
130,0.0,17/09/2018,23,15
131,0.0,24/09/2018,24,25
132,0.0,01/10/2018,19,9
133,0.0,08/10/2018,18,4
134,0.0,15/10/2018,17,7
135,0.0,22/10/2018,15,7
136,0.0,29/10/2018,15,12
137,0.0,05/11/2018,14,7
138,0.0,12/11/2018,15,6
139,0.0,19/11/2018,15,6
140,0.0,26/11/2018,17,11
141,0.0,03/12/2018,22,26
142,0.0,10/12/2018,22,15
143,0.0,17/12/2018,21,14
144,0.0,24/12/2018,21,13
145,0.0,31/12/2018,20,6
146,0.0,07/01/2019,19,8
147,0.0,14/01/2019,17,16
148,0.0,21/01/2019,18,13
149,0.0,28/01/2019,18,21
150,0.0,04/02/2019,20,17
151,0.0,11/02/2019,25,17
152,0.0,18/02/2019,39,34
153,0.0,25/02/2019,43,25
154,0.0,04/03/2019,49,17
155,0.0,11/03/2019,37,21
156,0.0,18/03/2019,30,12
157,0.0,25/03/2019,21,7
158,0.0,01/04/2019,20,10
159,0.0,22/07/2019,22,15
160,0.0,29/07/2019,23,15
161,0.0,05/08/2019,21,18
162,0.0,12/08/2019,21,10
163,0.0,19/08/2019,22,8
164,0.0,26/08/2019,20,5
165,0.0,02/09/2019,20,11
166,0.0,09/09/2019,21,14
167,0.0,16/09/2019,21,14
168,0.0,23/09/2019,20,5
169,0.0,30/09/2019,21,5
170,0.0,07/10/2019,19,11
171,0.0,14/10/2019,20,9
172,0.0,21/10/2019,19,9
173,0.0,28/10/2019,19,15
174,0.0,04/11/2019,18,7
175,0.0,11/11/2019,18,4
176,0.0,18/11/2019,19,5
177,0.0,25/11/2019,17,6
178,0.0,02/12/2019,19,6
179,0.0,09/12/2019,15,6
180,0.0,16/12/2019,14,13
181,0.0,23/12/2019,14,8
182,0.0,30/12/2019,16,14
183,0.0,06/01/2020,14,14
184,0.0,13/01/2020,15,5
185,0.0,20/01/2020,15,5
186,0.0,27/01/2020,15,10
187,0.0,03/02/2020,14,5
188,0.0,10/02/2020,14,5
189,0.0,17/02/2020,13,12
190,0.0,24/02/2020,14,6
191,0.0,02/03/2020,14,4
192,0.0,09/03/2020,14,7
193,0.0,16/03/2020,15,16
194,0.0,23/03/2020,18,19
195,0.0,30/03/2020,17,8
196,0.0,06/04/2020,17,19
197,0.0,13/04/2020,18,11
198,0.0,20/04/2020,16,16
199,0.0,27/04/2020,16,11
200,0.0,04/05/2020,16,14
201,0.0,11/05/2020,16,10
202,0.0,18/05/2020,18,16
203,0.0,25/05/2020,18,14
204,0.0,01/06/2020,19,15
205,0.0,08/06/2020,21,14
206,0.0,15/06/2020,24,8
207,0.0,22/06/2020,22,12
208,0.0,29/06/2020,21,7
209,0.0,06/07/2020,17,7
210,0.0,13/07/2020,18,19
211,0.0,20/07/2020,20,21
212,0.0,27/07/2020,19,22
