,incidence,date,gt,tk
0,1408.0,07/12/2015,28,0
1,1329.0,14/12/2015,25,0
2,2190.0,21/12/2015,35,0
3,3552.0,28/12/2015,31,0
4,4224.0,04/01/2016,27,0
5,5220.0,11/01/2016,26,0
6,5152.0,18/01/2016,39,0
7,5668.0,25/01/2016,33,0
8,5276.0,01/02/2016,51,0
9,4828.0,08/02/2016,81,0
10,4536.0,15/02/2016,100,0
11,5072.0,22/02/2016,70,0
12,4868.0,29/02/2016,59,0
13,5100.0,07/03/2016,52,0
14,5324.0,14/03/2016,29,0
15,4688.0,21/03/2016,21,0
16,4504.0,28/03/2016,18,0
17,4588.0,04/04/2016,17,0
18,3884.0,11/04/2016,16,0
19,3232.0,18/04/2016,14,0
20,3240.0,25/04/2016,11,0
21,2960.0,02/05/2016,11,0
22,3780.0,09/05/2016,11,0
23,2376.0,16/05/2016,10,0
24,1438.0,23/05/2016,10,0
25,595.0,30/05/2016,10,0
26,692.0,12/09/2016,12,0
27,1476.0,19/09/2016,10,0
28,2766.0,26/09/2016,11,0
29,3992.0,03/10/2016,10,0
30,4228.0,10/10/2016,9,0
31,4596.0,17/10/2016,9,0
32,4502.0,24/10/2016,11,0
33,4996.0,31/10/2016,11,0
34,5492.0,07/11/2016,12,0
35,5848.0,14/11/2016,14,0
36,6100.0,21/11/2016,16,0
37,6576.0,28/11/2016,19,0
38,6428.0,05/12/2016,20,0
39,6232.0,12/12/2016,22,0
40,7704.0,19/12/2016,21,0
41,7200.0,26/12/2016,23,0
42,9352.0,02/01/2017,21,1
43,7148.0,09/01/2017,18,0
44,6732.0,16/01/2017,19,0
45,6120.0,23/01/2017,18,0
46,6444.0,30/01/2017,16,0
47,4844.0,06/02/2017,16,0
48,4376.0,13/02/2017,15,0
49,4788.0,20/02/2017,16,0
50,4288.0,27/02/2017,17,0
51,4124.0,06/03/2017,20,0
52,3045.0,13/03/2017,22,0
53,1884.0,20/03/2017,22,0
54,1982.0,27/03/2017,21,0
55,2188.0,03/04/2017,19,0
56,2526.0,10/04/2017,28,0
57,3572.0,17/04/2017,17,0
58,3868.0,24/04/2017,16,0
59,3012.0,01/05/2017,14,0
60,3604.0,08/05/2017,13,0
61,3336.0,15/05/2017,12,0
62,3080.0,22/05/2017,12,0
63,2552.0,29/05/2017,12,0
64,2769.0,05/06/2017,11,0
65,1401.0,12/06/2017,11,0
66,1332.0,19/06/2017,11,0
67,1572.0,26/06/2017,11,0
68,1806.0,03/07/2017,12,0
69,1640.0,10/07/2017,11,0
70,3470.0,17/07/2017,11,0
71,3410.0,24/07/2017,11,0
72,3595.0,31/07/2017,11,0
73,3690.0,07/08/2017,10,0
74,2976.0,14/08/2017,10,0
75,2832.0,21/08/2017,11,0
76,2700.0,28/08/2017,12,0
77,3056.0,04/09/2017,12,0
78,3344.0,11/09/2017,12,0
79,4162.0,18/09/2017,13,0
80,4965.0,25/09/2017,13,0
81,4888.0,02/10/2017,14,0
82,5328.0,09/10/2017,13,0
83,3669.0,16/10/2017,13,0
84,3237.0,23/10/2017,15,0
85,3228.0,30/10/2017,14,0
86,2694.0,06/11/2017,15,0
87,2886.0,13/11/2017,17,0
88,1586.0,20/11/2017,17,3
89,1663.0,04/12/2017,19,0
90,3746.0,11/12/2017,21,0
91,6675.0,18/12/2017,25,0
92,8072.0,25/12/2017,25,0
93,10212.0,01/01/2018,25,0
94,9080.0,08/01/2018,21,2
95,7908.0,15/01/2018,25,0
96,7612.0,22/01/2018,24,0
97,6648.0,29/01/2018,21,0
98,6044.0,05/02/2018,24,0
99,6444.0,12/02/2018,23,0
100,6872.0,19/02/2018,23,0
101,5976.0,26/02/2018,22,0
102,6184.0,05/03/2018,22,0
103,6004.0,12/03/2018,22,0
104,5080.0,19/03/2018,24,0
105,4184.0,26/03/2018,20,0
106,4504.0,02/04/2018,18,0
107,4428.0,09/04/2018,18,0
108,2541.0,16/04/2018,17,0
109,2841.0,23/04/2018,16,0
110,2697.0,30/04/2018,16,0
111,2037.0,07/05/2018,15,0
112,3616.0,14/05/2018,15,2
113,3548.0,21/05/2018,16,0
114,2688.0,28/05/2018,17,0
115,3092.0,04/06/2018,17,0
116,2568.0,11/06/2018,18,2
117,2020.0,18/06/2018,18,2
118,2604.0,25/06/2018,16,1
119,2964.0,02/07/2018,16,0
120,2708.0,09/07/2018,14,0
121,2332.0,16/07/2018,15,0
122,2208.0,23/07/2018,14,0
123,2444.0,30/07/2018,14,0
124,2140.0,06/08/2018,14,0
125,2760.0,13/08/2018,13,0
126,2432.0,20/08/2018,14,0
127,2512.0,27/08/2018,13,0
128,3420.0,03/09/2018,13,0
129,3832.0,10/09/2018,14,0
130,4514.0,17/09/2018,13,0
131,5357.0,24/09/2018,13,0
132,5596.0,01/10/2018,13,0
133,3960.0,08/10/2018,13,0
134,4215.0,15/10/2018,12,0
135,4122.0,22/10/2018,11,0
136,4212.0,29/10/2018,12,0
137,6192.0,05/11/2018,11,0
138,6668.0,12/11/2018,14,1
139,6824.0,19/11/2018,14,0
