,incidence,date,gt,tk
0,0.0,07/12/2015,0,0
1,0.0,14/12/2015,56,0
2,0.0,21/12/2015,0,0
3,0.0,28/12/2015,0,0
4,0.0,04/01/2016,0,0
5,4.0,11/01/2016,0,0
6,0.0,18/01/2016,0,0
7,4.0,25/01/2016,0,0
8,0.0,01/02/2016,0,0
9,0.0,08/02/2016,0,0
10,0.0,15/02/2016,0,0
11,0.0,22/02/2016,47,0
12,0.0,29/02/2016,0,0
13,0.0,07/03/2016,0,0
14,0.0,14/03/2016,48,0
15,0.0,21/03/2016,48,0
16,8.0,28/03/2016,0,0
17,0.0,04/04/2016,0,0
18,4.0,11/04/2016,0,0
19,4.0,18/04/2016,0,0
20,4.0,25/04/2016,0,0
21,4.0,02/05/2016,0,0
22,0.0,09/05/2016,0,0
23,0.0,16/05/2016,0,0
24,0.0,23/05/2016,0,0
25,1.0,30/05/2016,0,0
26,0.0,12/09/2016,0,0
27,0.0,19/09/2016,0,0
28,3.0,26/09/2016,0,0
29,0.0,03/10/2016,0,0
30,0.0,10/10/2016,0,0
31,4.0,17/10/2016,0,0
32,1.0,24/10/2016,0,0
33,0.0,31/10/2016,0,0
34,4.0,07/11/2016,0,0
35,4.0,14/11/2016,0,0
36,0.0,21/11/2016,0,0
37,0.0,28/11/2016,0,0
38,0.0,05/12/2016,0,0
39,4.0,12/12/2016,0,0
40,0.0,19/12/2016,0,0
41,0.0,26/12/2016,0,0
42,0.0,02/01/2017,0,0
43,0.0,09/01/2017,0,0
44,4.0,16/01/2017,0,0
45,0.0,23/01/2017,65,0
46,0.0,30/01/2017,0,2
47,0.0,06/02/2017,0,2
48,0.0,13/02/2017,0,0
49,0.0,20/02/2017,0,0
50,0.0,27/02/2017,0,0
51,4.0,06/03/2017,0,0
52,0.0,13/03/2017,0,0
53,2.0,20/03/2017,0,0
54,0.0,27/03/2017,0,0
55,0.0,03/04/2017,0,0
56,0.0,10/04/2017,0,6
57,0.0,17/04/2017,0,0
58,4.0,24/04/2017,0,1
59,4.0,01/05/2017,0,3
60,12.0,08/05/2017,0,2
61,0.0,15/05/2017,0,0
62,4.0,22/05/2017,60,0
63,4.0,29/05/2017,0,2
64,1.0,05/06/2017,0,2
65,0.0,12/06/2017,0,0
66,0.0,19/06/2017,0,0
67,0.0,26/06/2017,0,0
68,0.0,03/07/2017,0,0
69,4.0,10/07/2017,0,0
70,0.0,17/07/2017,0,0
71,0.0,24/07/2017,0,1
72,0.0,31/07/2017,0,0
73,0.0,07/08/2017,0,0
74,0.0,14/08/2017,0,0
75,0.0,21/08/2017,0,0
76,0.0,28/08/2017,0,0
77,0.0,04/09/2017,0,0
78,0.0,11/09/2017,0,0
79,0.0,18/09/2017,0,0
80,0.0,25/09/2017,0,0
81,0.0,02/10/2017,0,0
82,0.0,09/10/2017,0,0
83,3.0,16/10/2017,0,0
84,0.0,23/10/2017,0,0
85,0.0,30/10/2017,0,0
86,2.0,06/11/2017,0,0
87,4.0,13/11/2017,0,0
88,1.0,20/11/2017,0,0
89,0.0,04/12/2017,0,0
90,2.0,11/12/2017,62,0
91,0.0,18/12/2017,0,0
92,8.0,25/12/2017,0,0
93,0.0,01/01/2018,61,0
94,4.0,08/01/2018,0,1
95,0.0,15/01/2018,0,0
96,12.0,22/01/2018,0,1
97,4.0,29/01/2018,0,1
98,0.0,05/02/2018,0,0
99,4.0,12/02/2018,0,0
100,0.0,19/02/2018,0,0
101,4.0,26/02/2018,95,0
102,0.0,05/03/2018,0,0
103,0.0,12/03/2018,0,0
104,8.0,19/03/2018,0,0
105,16.0,26/03/2018,0,0
106,4.0,02/04/2018,0,0
107,0.0,09/04/2018,0,0
108,3.0,16/04/2018,0,0
109,0.0,23/04/2018,0,0
110,6.0,30/04/2018,0,0
111,6.0,07/05/2018,0,0
112,8.0,14/05/2018,0,0
113,8.0,21/05/2018,100,0
114,0.0,28/05/2018,0,0
115,0.0,04/06/2018,0,0
116,12.0,11/06/2018,0,0
117,0.0,18/06/2018,0,0
118,0.0,25/06/2018,0,0
119,0.0,02/07/2018,0,0
120,0.0,09/07/2018,0,0
121,4.0,16/07/2018,0,0
122,12.0,23/07/2018,0,0
123,8.0,30/07/2018,0,0
124,0.0,06/08/2018,60,0
125,0.0,13/08/2018,0,0
126,4.0,20/08/2018,0,0
127,4.0,27/08/2018,0,1
128,0.0,03/09/2018,0,0
129,0.0,10/09/2018,68,0
130,0.0,17/09/2018,0,0
131,0.0,24/09/2018,0,0
132,0.0,01/10/2018,0,0
133,0.0,08/10/2018,0,0
134,0.0,15/10/2018,0,0
135,0.0,22/10/2018,0,0
136,3.0,29/10/2018,0,0
137,0.0,05/11/2018,0,0
138,4.0,12/11/2018,0,0
139,4.0,19/11/2018,0,0
140,0.0,26/11/2018,0,0
141,0.0,03/12/2018,0,1
142,0.0,10/12/2018,0,1
143,4.0,17/12/2018,0,0
