,incidence,date,gt,tk
0,2.0,07/12/2015,58,0
1,3.0,14/12/2015,60,0
2,4.0,21/12/2015,59,0
3,6.0,28/12/2015,63,0
4,6.0,04/01/2016,61,0
5,8.0,11/01/2016,53,0
6,4.0,18/01/2016,52,0
7,8.0,25/01/2016,57,2
8,12.0,01/02/2016,60,1
9,12.0,08/02/2016,61,0
10,24.0,15/02/2016,51,0
11,16.0,22/02/2016,39,1
12,4.0,29/02/2016,33,1
13,0.0,07/03/2016,40,1
14,4.0,14/03/2016,47,0
15,8.0,21/03/2016,36,1
16,4.0,28/03/2016,37,1
17,0.0,04/04/2016,31,3
18,8.0,11/04/2016,28,4
19,4.0,18/04/2016,31,5
20,8.0,25/04/2016,29,5
21,8.0,02/05/2016,30,1
22,12.0,09/05/2016,28,0
23,9.0,16/05/2016,30,2
24,2.0,23/05/2016,32,2
25,1.0,30/05/2016,30,3
26,2.0,12/09/2016,25,1
27,4.0,19/09/2016,29,6
28,6.0,26/09/2016,31,3
29,4.0,03/10/2016,30,0
30,8.0,10/10/2016,29,1
31,12.0,17/10/2016,31,2
32,7.0,24/10/2016,35,0
33,8.0,31/10/2016,30,0
34,0.0,07/11/2016,31,0
35,4.0,14/11/2016,42,3
36,12.0,21/11/2016,39,2
37,8.0,28/11/2016,37,1
38,4.0,05/12/2016,36,0
39,4.0,12/12/2016,37,1
40,24.0,19/12/2016,37,0
41,0.0,26/12/2016,33,2
42,4.0,02/01/2017,35,1
43,8.0,09/01/2017,30,2
44,0.0,16/01/2017,35,4
45,16.0,23/01/2017,35,5
46,4.0,30/01/2017,34,2
47,8.0,06/02/2017,34,1
48,12.0,13/02/2017,32,5
49,4.0,20/02/2017,32,0
50,4.0,27/02/2017,28,1
51,0.0,06/03/2017,32,2
52,12.0,13/03/2017,32,2
53,4.0,20/03/2017,32,4
54,6.0,27/03/2017,34,4
55,10.0,03/04/2017,35,8
56,9.0,10/04/2017,31,13
57,24.0,17/04/2017,36,5
58,0.0,24/04/2017,37,6
59,20.0,01/05/2017,36,4
60,8.0,08/05/2017,34,6
61,4.0,15/05/2017,32,3
62,0.0,22/05/2017,36,5
63,12.0,29/05/2017,38,11
64,3.0,05/06/2017,32,5
65,9.0,12/06/2017,37,2
66,6.0,19/06/2017,43,8
67,12.0,26/06/2017,42,1
68,6.0,03/07/2017,41,2
69,12.0,10/07/2017,38,1
70,15.0,17/07/2017,40,3
71,15.0,24/07/2017,40,3
72,15.0,31/07/2017,40,3
73,30.0,07/08/2017,40,2
74,12.0,14/08/2017,41,10
75,8.0,21/08/2017,39,7
76,12.0,28/08/2017,39,2
77,12.0,04/09/2017,38,5
78,16.0,11/09/2017,38,14
79,8.0,18/09/2017,40,2
80,4.0,25/09/2017,44,2
81,12.0,02/10/2017,36,4
82,16.0,09/10/2017,32,1
83,6.0,16/10/2017,36,5
84,6.0,23/10/2017,41,5
85,3.0,30/10/2017,39,10
86,4.0,06/11/2017,40,3
87,6.0,13/11/2017,44,8
88,2.0,20/11/2017,46,13
89,2.0,04/12/2017,45,5
90,2.0,11/12/2017,48,5
91,3.0,18/12/2017,48,8
92,0.0,25/12/2017,52,5
93,4.0,01/01/2018,52,4
94,8.0,08/01/2018,43,2
95,12.0,15/01/2018,54,1
96,24.0,22/01/2018,51,1
97,12.0,29/01/2018,58,5
98,12.0,05/02/2018,51,4
99,12.0,12/02/2018,47,15
100,8.0,19/02/2018,49,4
101,16.0,26/02/2018,45,4
102,4.0,05/03/2018,40,2
103,4.0,12/03/2018,44,3
104,12.0,19/03/2018,47,4
105,0.0,26/03/2018,47,4
106,16.0,02/04/2018,56,7
107,16.0,09/04/2018,50,6
108,0.0,16/04/2018,48,8
109,15.0,23/04/2018,49,11
110,3.0,30/04/2018,51,5
111,6.0,07/05/2018,54,10
112,4.0,14/05/2018,48,10
113,12.0,21/05/2018,60,5
114,12.0,28/05/2018,63,11
115,12.0,04/06/2018,60,6
116,16.0,11/06/2018,55,7
117,4.0,18/06/2018,57,2
118,8.0,25/06/2018,55,1
119,8.0,02/07/2018,61,3
120,8.0,09/07/2018,52,3
121,4.0,16/07/2018,54,7
122,24.0,23/07/2018,52,4
123,4.0,30/07/2018,49,3
124,12.0,06/08/2018,61,4
125,12.0,13/08/2018,45,7
126,0.0,20/08/2018,49,6
127,4.0,27/08/2018,53,2
128,0.0,03/09/2018,50,2
129,8.0,10/09/2018,50,12
130,12.0,17/09/2018,47,3
131,4.0,24/09/2018,50,6
132,12.0,01/10/2018,42,1
133,12.0,08/10/2018,43,6
134,15.0,15/10/2018,43,6
135,12.0,22/10/2018,41,7
136,9.0,29/10/2018,48,1
137,4.0,05/11/2018,46,2
138,0.0,12/11/2018,46,5
139,12.0,19/11/2018,46,4
140,12.0,26/11/2018,49,5
141,8.0,03/12/2018,47,3
142,12.0,10/12/2018,49,5
143,8.0,17/12/2018,55,6
144,4.0,24/12/2018,50,7
145,12.0,31/12/2018,56,2
146,16.0,07/01/2019,55,5
147,8.0,14/01/2019,55,6
148,8.0,21/01/2019,60,4
149,12.0,28/01/2019,61,6
150,20.0,04/02/2019,59,2
151,8.0,11/02/2019,68,3
152,8.0,18/02/2019,65,5
153,20.0,25/02/2019,62,7
154,8.0,04/03/2019,60,3
155,8.0,11/03/2019,45,5
156,12.0,18/03/2019,52,5
157,4.0,25/03/2019,100,4
158,4.0,01/04/2019,58,7
159,2.0,22/07/2019,57,6
160,4.0,29/07/2019,57,23
161,3.0,05/08/2019,56,14
162,16.0,12/08/2019,67,11
163,20.0,19/08/2019,66,12
164,16.0,26/08/2019,60,10
165,20.0,02/09/2019,63,10
166,8.0,09/09/2019,59,18
167,12.0,16/09/2019,62,13
168,13.0,23/09/2019,57,18
169,4.0,30/09/2019,54,20
170,0.0,07/10/2019,53,17
171,4.0,14/10/2019,51,16
172,36.0,21/10/2019,56,16
173,20.0,28/10/2019,59,16
174,9.0,04/11/2019,54,20
175,18.0,11/11/2019,54,13
176,9.0,18/11/2019,51,23
177,3.0,25/11/2019,49,15
178,20.0,02/12/2019,47,16
179,12.0,09/12/2019,48,20
180,8.0,16/12/2019,48,18
181,4.0,23/12/2019,48,20
182,8.0,30/12/2019,46,11
183,12.0,06/01/2020,45,13
184,16.0,13/01/2020,44,14
185,12.0,20/01/2020,42,37
186,4.0,27/01/2020,45,30
187,32.0,03/02/2020,44,37
188,52.0,10/02/2020,47,32
189,84.0,17/02/2020,47,29
190,44.0,24/02/2020,44,30
191,76.0,02/03/2020,50,24
192,96.0,09/03/2020,51,30
193,52.0,16/03/2020,47,29
194,20.0,23/03/2020,49,18
195,48.0,30/03/2020,49,37
196,36.0,06/04/2020,50,29
197,24.0,13/04/2020,50,25
198,36.0,20/04/2020,51,26
199,32.0,27/04/2020,55,15
200,44.0,04/05/2020,52,27
201,40.0,11/05/2020,50,38
202,16.0,18/05/2020,52,24
203,40.0,25/05/2020,52,19
204,40.0,01/06/2020,56,33
205,52.0,08/06/2020,53,33
206,44.0,15/06/2020,53,33
207,76.0,22/06/2020,48,24
208,48.0,29/06/2020,53,27
209,32.0,06/07/2020,75,23
210,64.0,13/07/2020,61,22
211,72.0,20/07/2020,67,14
212,76.0,27/07/2020,66,12
