,incidence,date,gt,tk
0,1.0,07/12/2015,51,0
1,3.0,14/12/2015,49,2
2,0.0,21/12/2015,51,0
3,6.0,28/12/2015,53,1
4,3.0,04/01/2016,54,1
5,24.0,11/01/2016,50,2
6,12.0,18/01/2016,58,1
7,4.0,25/01/2016,57,5
8,0.0,01/02/2016,59,1
9,8.0,08/02/2016,76,1
10,8.0,15/02/2016,100,4
11,4.0,22/02/2016,87,12
12,8.0,29/02/2016,70,8
13,4.0,07/03/2016,60,2
14,0.0,14/03/2016,51,4
15,4.0,21/03/2016,50,4
16,12.0,28/03/2016,51,3
17,4.0,04/04/2016,45,3
18,4.0,11/04/2016,44,1
19,4.0,18/04/2016,45,2
20,8.0,25/04/2016,42,0
21,4.0,02/05/2016,41,1
22,4.0,09/05/2016,41,1
23,0.0,16/05/2016,35,2
24,2.0,23/05/2016,35,1
25,0.0,30/05/2016,41,0
26,2.0,12/09/2016,40,1
27,4.0,19/09/2016,38,0
28,0.0,26/09/2016,37,0
29,12.0,03/10/2016,41,0
30,12.0,10/10/2016,38,0
31,12.0,17/10/2016,36,1
32,9.0,24/10/2016,40,1
33,16.0,31/10/2016,38,2
34,24.0,07/11/2016,45,0
35,8.0,14/11/2016,45,1
36,16.0,21/11/2016,43,0
37,8.0,28/11/2016,40,0
38,4.0,05/12/2016,39,0
39,8.0,12/12/2016,44,4
40,20.0,19/12/2016,43,2
41,0.0,26/12/2016,44,0
42,16.0,02/01/2017,43,1
43,8.0,09/01/2017,40,3
44,12.0,16/01/2017,39,0
45,12.0,23/01/2017,43,1
46,4.0,30/01/2017,37,1
47,8.0,06/02/2017,40,0
48,4.0,13/02/2017,42,1
49,20.0,20/02/2017,45,0
50,32.0,27/02/2017,50,0
51,0.0,06/03/2017,44,3
52,9.0,13/03/2017,47,0
53,6.0,20/03/2017,40,1
54,2.0,27/03/2017,44,1
55,2.0,03/04/2017,41,1
56,9.0,10/04/2017,42,0
57,12.0,17/04/2017,38,2
58,8.0,24/04/2017,42,0
59,8.0,01/05/2017,43,2
60,28.0,08/05/2017,41,0
61,76.0,15/05/2017,41,0
62,44.0,22/05/2017,39,0
63,40.0,29/05/2017,41,1
64,61.0,05/06/2017,45,0
65,3.0,12/06/2017,41,0
66,12.0,19/06/2017,41,0
67,27.0,26/06/2017,39,0
68,12.0,03/07/2017,37,0
69,12.0,10/07/2017,41,1
70,30.0,17/07/2017,45,0
71,15.0,24/07/2017,44,0
72,15.0,31/07/2017,43,1
73,20.0,07/08/2017,38,0
74,4.0,14/08/2017,41,0
75,4.0,21/08/2017,38,1
76,8.0,28/08/2017,43,0
77,8.0,04/09/2017,41,0
78,4.0,11/09/2017,41,0
79,0.0,18/09/2017,39,1
80,0.0,25/09/2017,40,0
81,12.0,02/10/2017,42,0
82,12.0,09/10/2017,39,1
83,12.0,16/10/2017,42,0
84,45.0,23/10/2017,41,0
85,6.0,30/10/2017,42,0
86,26.0,06/11/2017,41,0
87,8.0,13/11/2017,42,0
88,2.0,20/11/2017,41,0
89,4.0,04/12/2017,43,0
90,4.0,11/12/2017,45,3
91,6.0,18/12/2017,51,0
92,4.0,25/12/2017,45,1
93,16.0,01/01/2018,44,2
94,8.0,08/01/2018,47,0
95,12.0,15/01/2018,48,0
96,16.0,22/01/2018,48,0
97,12.0,29/01/2018,50,1
98,4.0,05/02/2018,39,1
99,8.0,12/02/2018,49,1
100,24.0,19/02/2018,49,1
101,12.0,26/02/2018,53,0
102,16.0,05/03/2018,62,3
103,28.0,12/03/2018,59,0
104,20.0,19/03/2018,55,1
105,16.0,26/03/2018,44,1
106,4.0,02/04/2018,41,0
107,12.0,09/04/2018,44,3
108,18.0,16/04/2018,45,5
109,21.0,23/04/2018,40,0
110,27.0,30/04/2018,42,0
111,12.0,07/05/2018,45,1
112,16.0,14/05/2018,37,0
113,52.0,21/05/2018,40,2
114,32.0,28/05/2018,43,2
115,20.0,04/06/2018,44,2
116,16.0,11/06/2018,42,2
117,12.0,18/06/2018,44,2
118,28.0,25/06/2018,49,2
119,24.0,02/07/2018,40,0
120,4.0,09/07/2018,40,0
121,12.0,16/07/2018,38,2
122,16.0,23/07/2018,38,0
123,4.0,30/07/2018,39,0
124,0.0,06/08/2018,39,1
125,4.0,13/08/2018,40,0
126,12.0,20/08/2018,41,0
127,8.0,27/08/2018,39,0
128,4.0,03/09/2018,38,1
129,8.0,10/09/2018,43,0
130,8.0,17/09/2018,44,0
131,16.0,24/09/2018,36,0
132,20.0,01/10/2018,38,0
133,18.0,08/10/2018,42,0
134,18.0,15/10/2018,38,0
135,12.0,22/10/2018,37,1
136,27.0,29/10/2018,33,0
137,52.0,05/11/2018,36,1
138,8.0,12/11/2018,33,0
139,20.0,19/11/2018,33,1
140,16.0,26/11/2018,32,0
141,20.0,03/12/2018,32,1
142,32.0,10/12/2018,33,0
143,16.0,17/12/2018,39,0
144,12.0,24/12/2018,36,0
145,12.0,31/12/2018,40,0
146,24.0,07/01/2019,42,0
147,24.0,14/01/2019,41,2
148,8.0,21/01/2019,38,3
149,24.0,28/01/2019,39,0
150,28.0,04/02/2019,37,0
151,32.0,11/02/2019,44,2
152,36.0,18/02/2019,54,1
153,84.0,25/02/2019,56,1
154,16.0,04/03/2019,66,0
155,60.0,11/03/2019,63,0
156,69.0,18/03/2019,55,0
157,16.0,25/03/2019,46,0
158,21.0,01/04/2019,44,3
159,9.0,22/07/2019,45,5
160,12.0,29/07/2019,45,1
161,18.0,05/08/2019,47,0
162,20.0,12/08/2019,45,2
163,24.0,19/08/2019,44,0
164,12.0,26/08/2019,45,0
165,36.0,02/09/2019,40,0
166,24.0,09/09/2019,48,0
167,28.0,16/09/2019,46,3
168,17.0,23/09/2019,44,1
169,12.0,30/09/2019,43,0
170,48.0,07/10/2019,43,0
171,36.0,14/10/2019,44,2
172,44.0,21/10/2019,42,0
