,incidence,date,gt,tk
0,93.0,07/12/2015,33,0
1,103.0,14/12/2015,0,0
2,136.0,21/12/2015,39,0
3,186.0,28/12/2015,0,1
4,279.0,04/01/2016,0,1
5,468.0,11/01/2016,0,0
6,384.0,18/01/2016,0,0
7,424.0,25/01/2016,0,0
8,488.0,01/02/2016,0,0
9,420.0,08/02/2016,32,0
10,332.0,15/02/2016,0,0
11,460.0,22/02/2016,0,0
12,460.0,29/02/2016,0,0
13,512.0,07/03/2016,0,0
14,580.0,14/03/2016,0,2
15,420.0,21/03/2016,0,4
16,320.0,28/03/2016,0,8
17,420.0,04/04/2016,0,3
18,480.0,11/04/2016,35,1
19,460.0,18/04/2016,53,1
20,480.0,25/04/2016,30,3
21,492.0,02/05/2016,29,1
22,504.0,09/05/2016,0,5
23,408.0,16/05/2016,41,3
24,258.0,23/05/2016,0,1
25,97.0,30/05/2016,38,3
26,137.0,12/09/2016,40,1
27,252.0,19/09/2016,0,2
28,393.0,26/09/2016,0,0
29,396.0,03/10/2016,0,2
30,480.0,10/10/2016,0,0
31,612.0,17/10/2016,0,3
32,531.0,24/10/2016,43,2
33,564.0,31/10/2016,44,3
34,544.0,07/11/2016,0,2
35,628.0,14/11/2016,0,1
36,708.0,21/11/2016,41,2
37,584.0,28/11/2016,0,2
38,560.0,05/12/2016,39,0
39,528.0,12/12/2016,48,2
40,468.0,19/12/2016,0,4
41,352.0,26/12/2016,0,2
42,528.0,02/01/2017,44,2
43,484.0,09/01/2017,37,1
44,532.0,16/01/2017,0,5
45,456.0,23/01/2017,45,2
46,616.0,30/01/2017,33,5
47,448.0,06/02/2017,0,10
48,472.0,13/02/2017,40,5
49,488.0,20/02/2017,42,0
50,568.0,27/02/2017,0,4
51,608.0,06/03/2017,40,1
52,396.0,13/03/2017,0,5
53,244.0,20/03/2017,33,9
54,304.0,27/03/2017,0,8
55,278.0,03/04/2017,32,3
56,279.0,10/04/2017,41,2
57,464.0,17/04/2017,43,3
58,480.0,24/04/2017,65,8
59,420.0,01/05/2017,0,6
60,524.0,08/05/2017,66,10
61,620.0,15/05/2017,51,6
62,448.0,22/05/2017,42,4
63,392.0,29/05/2017,0,6
64,459.0,05/06/2017,0,2
65,276.0,12/06/2017,0,5
66,300.0,19/06/2017,0,5
67,336.0,26/06/2017,39,5
68,279.0,03/07/2017,0,9
69,332.0,10/07/2017,49,10
70,725.0,17/07/2017,0,16
71,640.0,24/07/2017,54,12
72,690.0,31/07/2017,0,4
73,765.0,07/08/2017,36,17
74,588.0,14/08/2017,0,6
75,556.0,21/08/2017,0,6
76,424.0,28/08/2017,0,4
77,564.0,04/09/2017,39,9
78,568.0,11/09/2017,46,2
79,620.0,18/09/2017,0,4
80,664.0,25/09/2017,0,3
81,560.0,02/10/2017,0,4
82,612.0,09/10/2017,0,2
83,432.0,16/10/2017,0,4
84,396.0,23/10/2017,0,6
85,369.0,30/10/2017,0,8
86,282.0,06/11/2017,0,6
87,302.0,13/11/2017,0,2
88,142.0,20/11/2017,0,8
89,136.0,04/12/2017,0,4
90,288.0,11/12/2017,0,4
91,417.0,18/12/2017,0,2
92,332.0,25/12/2017,0,6
93,500.0,01/01/2018,0,4
94,520.0,08/01/2018,56,1
95,512.0,15/01/2018,0,4
96,592.0,22/01/2018,37,12
97,472.0,29/01/2018,0,6
98,580.0,05/02/2018,40,2
