,incidence,date,gt,tk
0,0.0,07/12/2015,75,0
1,0.0,14/12/2015,60,0
2,0.0,21/12/2015,48,0
3,0.0,28/12/2015,64,0
4,0.0,04/01/2016,56,0
5,0.0,11/01/2016,55,0
6,0.0,18/01/2016,62,0
7,0.0,25/01/2016,69,0
8,0.0,01/02/2016,63,0
9,0.0,08/02/2016,44,0
10,0.0,15/02/2016,66,0
11,0.0,22/02/2016,37,0
12,0.0,29/02/2016,52,0
13,0.0,07/03/2016,40,0
14,0.0,14/03/2016,54,0
15,0.0,21/03/2016,46,0
16,0.0,28/03/2016,49,0
17,0.0,04/04/2016,48,0
18,0.0,11/04/2016,53,0
19,0.0,18/04/2016,48,0
20,0.0,25/04/2016,51,0
21,0.0,02/05/2016,39,0
22,0.0,09/05/2016,39,0
23,0.0,16/05/2016,42,2
24,0.0,23/05/2016,40,0
25,0.0,30/05/2016,48,0
26,0.0,12/09/2016,31,0
27,0.0,19/09/2016,54,0
28,0.0,26/09/2016,50,0
29,0.0,03/10/2016,53,1
30,0.0,10/10/2016,33,2
31,0.0,17/10/2016,37,1
32,0.0,24/10/2016,50,1
33,0.0,31/10/2016,55,0
34,0.0,07/11/2016,58,0
35,0.0,14/11/2016,39,0
36,0.0,21/11/2016,39,1
37,0.0,28/11/2016,38,0
38,0.0,05/12/2016,50,1
39,0.0,12/12/2016,57,0
40,0.0,19/12/2016,0,0
41,0.0,26/12/2016,48,0
42,0.0,02/01/2017,40,0
43,0.0,09/01/2017,47,1
44,0.0,16/01/2017,34,0
45,0.0,23/01/2017,59,0
46,0.0,30/01/2017,57,0
47,0.0,06/02/2017,44,1
48,0.0,13/02/2017,31,0
49,0.0,20/02/2017,43,4
50,0.0,27/02/2017,49,1
51,0.0,06/03/2017,35,2
52,0.0,13/03/2017,56,0
53,0.0,20/03/2017,45,0
54,0.0,27/03/2017,34,1
55,0.0,03/04/2017,38,2
56,0.0,10/04/2017,47,1
57,0.0,17/04/2017,30,0
58,0.0,24/04/2017,41,0
59,0.0,01/05/2017,47,1
