,incidence,date,gt,tk
0,101.0,07/12/2015,53,0
1,124.0,14/12/2015,68,0
2,170.0,21/12/2015,64,0
3,159.0,28/12/2015,58,0
4,303.0,04/01/2016,59,0
5,472.0,11/01/2016,63,0
6,532.0,18/01/2016,69,0
7,464.0,25/01/2016,66,0
8,532.0,01/02/2016,68,0
9,452.0,08/02/2016,49,0
10,492.0,15/02/2016,37,0
11,528.0,22/02/2016,33,0
12,508.0,29/02/2016,34,1
13,460.0,07/03/2016,42,0
14,524.0,14/03/2016,39,0
15,408.0,21/03/2016,44,0
16,348.0,28/03/2016,46,1
17,524.0,04/04/2016,43,0
18,552.0,11/04/2016,46,0
19,616.0,18/04/2016,54,0
20,508.0,25/04/2016,56,0
21,452.0,02/05/2016,51,0
22,536.0,09/05/2016,43,0
23,363.0,16/05/2016,55,0
24,230.0,23/05/2016,56,0
25,97.0,30/05/2016,54,0
26,135.0,12/09/2016,55,0
27,316.0,19/09/2016,54,1
28,477.0,26/09/2016,58,1
29,628.0,03/10/2016,57,0
30,592.0,10/10/2016,57,0
31,592.0,17/10/2016,67,0
32,526.0,24/10/2016,57,2
33,556.0,31/10/2016,59,0
34,544.0,07/11/2016,53,0
35,612.0,14/11/2016,57,0
36,632.0,21/11/2016,57,1
37,644.0,28/11/2016,52,1
38,500.0,05/12/2016,53,0
39,452.0,12/12/2016,54,2
40,408.0,19/12/2016,58,0
41,220.0,26/12/2016,61,0
42,424.0,02/01/2017,53,0
43,468.0,09/01/2017,53,0
44,616.0,16/01/2017,59,1
45,608.0,23/01/2017,56,2
46,648.0,30/01/2017,52,0
47,568.0,06/02/2017,57,0
48,452.0,13/02/2017,61,2
49,492.0,20/02/2017,53,0
50,536.0,27/02/2017,51,0
51,572.0,06/03/2017,52,1
52,426.0,13/03/2017,56,1
53,262.0,20/03/2017,54,2
54,286.0,27/03/2017,54,3
55,340.0,03/04/2017,55,0
56,345.0,10/04/2017,66,2
57,472.0,17/04/2017,56,1
58,664.0,24/04/2017,66,1
59,480.0,01/05/2017,64,2
60,644.0,08/05/2017,60,3
61,612.0,15/05/2017,75,2
62,576.0,22/05/2017,72,0
63,492.0,29/05/2017,68,4
64,586.0,05/06/2017,58,9
65,354.0,12/06/2017,62,8
66,312.0,19/06/2017,80,11
67,402.0,26/06/2017,76,1
68,417.0,03/07/2017,71,4
69,324.0,10/07/2017,73,3
70,680.0,17/07/2017,64,2
71,745.0,24/07/2017,83,5
72,750.0,31/07/2017,72,2
73,695.0,07/08/2017,74,0
74,668.0,14/08/2017,78,2
75,592.0,21/08/2017,66,1
76,464.0,28/08/2017,61,1
77,688.0,04/09/2017,70,2
78,692.0,11/09/2017,66,3
79,688.0,18/09/2017,75,4
80,656.0,25/09/2017,75,4
81,692.0,02/10/2017,69,1
82,764.0,09/10/2017,59,3
83,480.0,16/10/2017,60,1
84,438.0,23/10/2017,58,0
85,399.0,30/10/2017,68,1
86,378.0,06/11/2017,54,3
87,342.0,13/11/2017,75,2
88,164.0,20/11/2017,75,1
89,154.0,04/12/2017,59,0
90,302.0,11/12/2017,72,1
91,429.0,18/12/2017,75,0
92,296.0,25/12/2017,68,3
93,396.0,01/01/2018,63,0
94,676.0,08/01/2018,69,0
95,632.0,15/01/2018,63,4
96,676.0,22/01/2018,66,2
97,676.0,29/01/2018,66,0
98,664.0,05/02/2018,55,0
99,624.0,12/02/2018,60,1
100,704.0,19/02/2018,56,3
101,616.0,26/02/2018,54,3
102,660.0,05/03/2018,47,0
103,660.0,12/03/2018,48,0
104,812.0,19/03/2018,63,2
105,548.0,26/03/2018,63,1
106,552.0,02/04/2018,57,2
107,584.0,09/04/2018,78,7
108,495.0,16/04/2018,69,6
109,588.0,23/04/2018,64,2
110,594.0,30/04/2018,73,12
111,339.0,07/05/2018,64,5
112,732.0,14/05/2018,72,4
113,800.0,21/05/2018,64,3
114,584.0,28/05/2018,75,5
115,748.0,04/06/2018,79,5
116,664.0,11/06/2018,67,6
117,512.0,18/06/2018,65,2
118,644.0,25/06/2018,60,1
119,572.0,02/07/2018,72,3
120,696.0,09/07/2018,73,9
121,676.0,16/07/2018,76,2
122,568.0,23/07/2018,77,3
123,592.0,30/07/2018,85,7
124,564.0,06/08/2018,67,7
125,624.0,13/08/2018,59,7
126,628.0,20/08/2018,71,2
127,552.0,27/08/2018,83,4
128,728.0,03/09/2018,75,6
129,728.0,10/09/2018,66,5
130,656.0,17/09/2018,67,5
131,756.0,24/09/2018,75,4
132,728.0,01/10/2018,76,8
133,585.0,08/10/2018,68,10
134,531.0,15/10/2018,76,10
135,450.0,22/10/2018,66,14
136,513.0,29/10/2018,86,10
137,832.0,05/11/2018,72,10
138,768.0,12/11/2018,80,9
139,772.0,19/11/2018,72,6
140,768.0,26/11/2018,69,4
141,864.0,03/12/2018,69,3
142,812.0,10/12/2018,71,5
143,708.0,17/12/2018,70,9
144,408.0,24/12/2018,75,4
145,592.0,31/12/2018,73,2
146,996.0,07/01/2019,73,5
147,980.0,14/01/2019,72,10
148,916.0,21/01/2019,77,11
149,804.0,28/01/2019,68,9
150,1028.0,04/02/2019,66,5
151,808.0,11/02/2019,73,4
152,852.0,18/02/2019,68,14
153,912.0,25/02/2019,60,17
154,988.0,04/03/2019,57,18
155,996.0,11/03/2019,55,8
156,738.0,18/03/2019,77,8
157,452.0,25/03/2019,72,5
158,265.0,01/04/2019,79,6
159,237.0,22/07/2019,75,10
160,456.0,29/07/2019,81,10
161,702.0,05/08/2019,83,4
162,848.0,12/08/2019,95,18
163,1024.0,19/08/2019,85,15
164,716.0,26/08/2019,89,10
165,1124.0,02/09/2019,84,3
166,1387.0,09/09/2019,83,9
167,1596.0,16/09/2019,83,8
168,1991.0,23/09/2019,85,9
169,2276.0,30/09/2019,88,10
170,2308.0,07/10/2019,86,7
171,2184.0,14/10/2019,91,2
172,2228.0,21/10/2019,89,8
173,1500.0,28/10/2019,78,4
174,1050.0,04/11/2019,94,9
175,1047.0,11/11/2019,90,13
176,1131.0,18/11/2019,84,9
177,1212.0,25/11/2019,75,17
178,1244.0,02/12/2019,89,4
179,1024.0,09/12/2019,100,7
180,1216.0,16/12/2019,84,5
181,780.0,23/12/2019,80,6
182,1216.0,30/12/2019,79,12
183,1644.0,06/01/2020,85,10
184,1756.0,13/01/2020,80,11
185,1800.0,20/01/2020,89,10
186,1848.0,27/01/2020,86,12
187,1952.0,03/02/2020,79,19
188,1972.0,10/02/2020,83,16
189,1832.0,17/02/2020,88,14
190,2392.0,24/02/2020,66,16
191,2380.0,02/03/2020,82,15
192,1940.0,09/03/2020,88,15
193,1328.0,16/03/2020,84,13
194,924.0,23/03/2020,84,20
195,956.0,30/03/2020,83,14
196,1072.0,06/04/2020,90,20
197,1196.0,13/04/2020,78,20
198,1380.0,20/04/2020,83,17
199,1656.0,27/04/2020,82,19
200,1560.0,04/05/2020,84,21
201,1684.0,11/05/2020,84,25
202,1816.0,18/05/2020,68,24
203,1544.0,25/05/2020,76,29
204,2256.0,01/06/2020,81,18
205,2080.0,08/06/2020,85,12
206,2224.0,15/06/2020,78,8
207,2140.0,22/06/2020,67,15
208,2188.0,29/06/2020,77,15
209,2440.0,06/07/2020,87,20
