,incidence,date,gt,tk
0,16.0,07/12/2015,79,0
1,15.0,14/12/2015,64,0
2,24.0,21/12/2015,58,0
3,15.0,28/12/2015,58,0
4,48.0,04/01/2016,53,0
5,60.0,11/01/2016,59,0
6,28.0,18/01/2016,50,0
7,84.0,25/01/2016,52,0
8,64.0,01/02/2016,55,0
9,76.0,08/02/2016,54,0
10,44.0,15/02/2016,81,0
11,72.0,22/02/2016,64,0
12,36.0,29/02/2016,60,0
13,48.0,07/03/2016,52,0
14,60.0,14/03/2016,59,0
15,28.0,21/03/2016,43,0
16,44.0,28/03/2016,41,0
17,48.0,04/04/2016,36,0
18,84.0,11/04/2016,31,0
19,88.0,18/04/2016,28,0
20,28.0,25/04/2016,27,0
21,52.0,02/05/2016,28,0
22,56.0,09/05/2016,31,0
23,63.0,16/05/2016,27,0
24,12.0,23/05/2016,23,0
25,9.0,30/05/2016,25,0
26,10.0,12/09/2016,23,1
27,16.0,19/09/2016,25,1
28,45.0,26/09/2016,22,0
29,40.0,03/10/2016,24,0
30,36.0,10/10/2016,23,0
31,68.0,17/10/2016,24,1
32,75.0,24/10/2016,22,0
33,44.0,31/10/2016,23,0
34,80.0,07/11/2016,26,0
35,60.0,14/11/2016,26,1
36,44.0,21/11/2016,31,0
37,88.0,28/11/2016,39,0
38,68.0,05/12/2016,35,3
39,56.0,12/12/2016,33,0
40,56.0,19/12/2016,34,0
41,40.0,26/12/2016,34,0
42,68.0,02/01/2017,36,0
43,80.0,09/01/2017,34,0
44,72.0,16/01/2017,35,0
45,56.0,23/01/2017,36,2
46,52.0,30/01/2017,31,0
47,56.0,06/02/2017,31,0
48,72.0,13/02/2017,36,0
49,60.0,20/02/2017,34,1
50,60.0,27/02/2017,34,1
51,84.0,06/03/2017,39,1
52,57.0,13/03/2017,45,1
53,32.0,20/03/2017,41,0
54,34.0,27/03/2017,38,1
55,28.0,03/04/2017,35,0
56,24.0,10/04/2017,36,0
57,48.0,17/04/2017,32,0
58,64.0,24/04/2017,36,1
59,68.0,01/05/2017,30,0
60,64.0,08/05/2017,29,1
61,44.0,15/05/2017,27,1
62,76.0,22/05/2017,29,0
63,60.0,29/05/2017,30,0
64,54.0,05/06/2017,28,0
65,30.0,12/06/2017,30,0
66,15.0,19/06/2017,28,0
67,51.0,26/06/2017,26,0
68,30.0,03/07/2017,29,1
69,36.0,10/07/2017,26,1
70,120.0,17/07/2017,27,1
71,85.0,24/07/2017,27,0
72,55.0,31/07/2017,26,2
73,55.0,07/08/2017,24,1
74,52.0,14/08/2017,26,0
75,44.0,21/08/2017,27,0
76,68.0,28/08/2017,27,0
77,56.0,04/09/2017,25,2
78,68.0,11/09/2017,30,2
79,92.0,18/09/2017,25,1
80,88.0,25/09/2017,20,1
81,76.0,02/10/2017,23,2
82,88.0,09/10/2017,24,0
83,72.0,16/10/2017,25,0
84,63.0,23/10/2017,25,0
85,51.0,30/10/2017,25,1
86,14.0,06/11/2017,27,0
87,44.0,13/11/2017,28,0
88,21.0,20/11/2017,34,0
89,22.0,04/12/2017,31,0
90,46.0,11/12/2017,33,1
91,54.0,18/12/2017,41,1
92,32.0,25/12/2017,45,0
93,92.0,01/01/2018,45,1
94,68.0,08/01/2018,44,2
95,116.0,15/01/2018,45,4
96,80.0,22/01/2018,43,0
97,112.0,29/01/2018,45,0
98,56.0,05/02/2018,61,1
99,56.0,12/02/2018,47,1
100,92.0,19/02/2018,49,2
101,80.0,26/02/2018,46,1
102,104.0,05/03/2018,45,2
103,104.0,12/03/2018,48,3
104,108.0,19/03/2018,53,1
105,64.0,26/03/2018,54,3
106,100.0,02/04/2018,42,2
107,80.0,09/04/2018,42,0
108,42.0,16/04/2018,44,2
109,72.0,23/04/2018,42,4
110,57.0,30/04/2018,38,2
111,54.0,07/05/2018,44,0
112,72.0,14/05/2018,35,0
113,48.0,21/05/2018,36,2
114,52.0,28/05/2018,41,3
115,44.0,04/06/2018,42,3
116,40.0,11/06/2018,42,7
117,60.0,18/06/2018,40,5
118,48.0,25/06/2018,42,3
119,76.0,02/07/2018,38,0
120,72.0,09/07/2018,37,0
121,52.0,16/07/2018,33,3
122,60.0,23/07/2018,31,1
123,64.0,30/07/2018,31,1
124,64.0,06/08/2018,32,3
125,84.0,13/08/2018,28,0
126,68.0,20/08/2018,36,2
127,32.0,27/08/2018,31,4
128,80.0,03/09/2018,33,2
129,88.0,10/09/2018,32,0
130,96.0,17/09/2018,33,1
131,84.0,24/09/2018,25,6
132,72.0,01/10/2018,28,5
133,63.0,08/10/2018,30,1
134,78.0,15/10/2018,25,3
135,75.0,22/10/2018,26,3
136,45.0,29/10/2018,25,5
137,88.0,05/11/2018,49,4
138,80.0,12/11/2018,35,1
139,84.0,19/11/2018,28,3
140,84.0,26/11/2018,32,3
141,100.0,03/12/2018,34,3
142,160.0,10/12/2018,38,1
143,104.0,17/12/2018,43,1
144,52.0,24/12/2018,39,3
145,80.0,31/12/2018,44,5
146,144.0,07/01/2019,46,2
147,164.0,14/01/2019,48,1
148,140.0,21/01/2019,47,3
149,108.0,28/01/2019,54,3
150,140.0,04/02/2019,52,6
151,176.0,11/02/2019,52,1
152,128.0,18/02/2019,61,3
153,144.0,25/02/2019,78,1
154,124.0,04/03/2019,100,2
155,104.0,11/03/2019,100,5
156,102.0,18/03/2019,94,0
157,58.0,25/03/2019,85,3
158,31.0,01/04/2019,62,8
159,20.0,22/07/2019,57,5
160,56.0,29/07/2019,56,7
161,132.0,05/08/2019,51,6
162,108.0,12/08/2019,48,4
163,108.0,19/08/2019,48,5
164,84.0,26/08/2019,44,5
165,132.0,02/09/2019,46,6
166,96.0,09/09/2019,46,2
167,96.0,16/09/2019,49,3
168,103.0,23/09/2019,46,3
169,112.0,30/09/2019,40,1
170,148.0,07/10/2019,45,4
171,116.0,14/10/2019,43,4
172,136.0,21/10/2019,42,4
173,116.0,28/10/2019,37,3
174,93.0,04/11/2019,35,3
175,57.0,11/11/2019,40,4
176,90.0,18/11/2019,36,5
177,96.0,25/11/2019,32,8
178,92.0,02/12/2019,34,2
179,68.0,09/12/2019,26,8
180,104.0,16/12/2019,29,1
181,80.0,23/12/2019,30,2
182,140.0,30/12/2019,28,4
183,92.0,06/01/2020,26,2
184,112.0,13/01/2020,27,4
185,108.0,20/01/2020,25,2
186,156.0,27/01/2020,26,2
187,108.0,03/02/2020,24,3
188,120.0,10/02/2020,21,2
189,96.0,17/02/2020,24,4
190,160.0,24/02/2020,24,2
191,152.0,02/03/2020,24,7
192,88.0,09/03/2020,26,5
193,104.0,16/03/2020,28,5
194,84.0,23/03/2020,30,4
195,108.0,30/03/2020,32,3
196,68.0,06/04/2020,36,7
197,72.0,13/04/2020,35,10
198,60.0,20/04/2020,38,3
199,152.0,27/04/2020,40,2
200,100.0,04/05/2020,39,5
201,68.0,11/05/2020,44,3
202,108.0,18/05/2020,42,4
203,104.0,25/05/2020,42,2
204,68.0,01/06/2020,54,4
205,200.0,08/06/2020,59,7
206,112.0,15/06/2020,55,3
207,152.0,22/06/2020,55,1
208,136.0,29/06/2020,60,4
209,132.0,06/07/2020,61,4
210,140.0,13/07/2020,52,11
211,120.0,20/07/2020,54,8
212,156.0,27/07/2020,51,4
