,incidence,date,gt,tk
0,0.0,07/12/2015,27,0
1,0.0,14/12/2015,23,2
2,0.0,21/12/2015,28,1
3,0.0,28/12/2015,30,0
4,0.0,04/01/2016,27,0
5,0.0,11/01/2016,25,0
6,0.0,18/01/2016,38,1
7,0.0,25/01/2016,32,0
8,0.0,01/02/2016,51,0
9,0.0,08/02/2016,79,0
10,0.0,15/02/2016,100,0
11,0.0,22/02/2016,72,0
12,0.0,29/02/2016,58,2
13,0.0,07/03/2016,50,2
14,0.0,14/03/2016,28,0
15,0.0,21/03/2016,21,1
16,0.0,28/03/2016,19,2
17,0.0,04/04/2016,17,2
18,0.0,11/04/2016,15,1
19,0.0,18/04/2016,14,1
20,0.0,25/04/2016,11,0
21,0.0,02/05/2016,11,1
22,0.0,09/05/2016,11,0
23,0.0,16/05/2016,10,1
24,0.0,23/05/2016,10,1
25,0.0,30/05/2016,10,2
26,0.0,12/09/2016,12,2
27,0.0,19/09/2016,10,1
28,0.0,26/09/2016,11,0
29,0.0,03/10/2016,10,0
30,0.0,10/10/2016,9,0
31,0.0,17/10/2016,9,1
32,0.0,24/10/2016,11,3
33,0.0,31/10/2016,11,0
34,0.0,07/11/2016,11,0
35,0.0,14/11/2016,13,1
36,0.0,21/11/2016,15,0
37,0.0,28/11/2016,19,0
38,0.0,05/12/2016,20,6
39,0.0,12/12/2016,21,5
40,0.0,19/12/2016,21,4
41,0.0,26/12/2016,22,2
42,0.0,02/01/2017,21,1
43,0.0,09/01/2017,18,0
44,0.0,16/01/2017,19,0
45,0.0,23/01/2017,18,2
46,0.0,30/01/2017,16,1
47,0.0,06/02/2017,16,0
48,0.0,13/02/2017,14,0
49,0.0,20/02/2017,16,1
50,0.0,27/02/2017,17,1
51,0.0,06/03/2017,20,1
52,0.0,13/03/2017,22,0
53,0.0,20/03/2017,23,2
54,0.0,27/03/2017,21,0
55,0.0,03/04/2017,19,3
56,0.0,10/04/2017,28,2
57,0.0,17/04/2017,17,0
58,0.0,24/04/2017,16,1
59,0.0,01/05/2017,14,4
60,0.0,08/05/2017,13,0
61,0.0,15/05/2017,12,0
62,0.0,22/05/2017,11,2
63,0.0,29/05/2017,12,0
64,0.0,05/06/2017,11,1
65,0.0,12/06/2017,11,2
66,0.0,19/06/2017,11,1
67,0.0,26/06/2017,11,0
68,0.0,03/07/2017,12,0
69,0.0,10/07/2017,10,2
70,0.0,17/07/2017,11,0
71,0.0,24/07/2017,11,1
72,0.0,31/07/2017,11,0
73,0.0,07/08/2017,10,2
74,0.0,14/08/2017,10,0
75,0.0,21/08/2017,11,1
76,0.0,28/08/2017,12,1
77,0.0,04/09/2017,11,1
78,0.0,11/09/2017,12,1
79,0.0,18/09/2017,13,5
80,0.0,25/09/2017,13,2
81,0.0,02/10/2017,14,3
82,0.0,09/10/2017,13,5
83,0.0,16/10/2017,13,1
84,0.0,23/10/2017,14,0
85,0.0,30/10/2017,14,4
86,0.0,06/11/2017,15,1
87,0.0,13/11/2017,17,2
88,0.0,20/11/2017,17,4
89,0.0,04/12/2017,18,0
90,0.0,11/12/2017,21,1
91,0.0,18/12/2017,24,2
92,0.0,25/12/2017,25,7
93,0.0,01/01/2018,25,1
94,0.0,08/01/2018,21,4
95,0.0,15/01/2018,24,3
96,0.0,22/01/2018,23,5
97,0.0,29/01/2018,21,5
98,0.0,05/02/2018,24,4
99,0.0,12/02/2018,24,1
100,0.0,19/02/2018,23,3
101,0.0,26/02/2018,22,3
102,0.0,05/03/2018,22,2
103,0.0,12/03/2018,21,6
104,0.0,19/03/2018,23,8
105,0.0,26/03/2018,20,6
106,0.0,02/04/2018,18,4
107,0.0,09/04/2018,17,4
108,0.0,16/04/2018,17,4
109,0.0,23/04/2018,16,3
110,0.0,30/04/2018,16,3
111,0.0,07/05/2018,15,1
112,0.0,14/05/2018,15,3
113,0.0,21/05/2018,16,2
114,0.0,28/05/2018,17,4
115,0.0,04/06/2018,17,1
116,0.0,11/06/2018,17,8
117,0.0,18/06/2018,17,7
118,0.0,25/06/2018,16,3
119,0.0,02/07/2018,16,4
120,0.0,09/07/2018,14,6
121,0.0,16/07/2018,14,9
122,0.0,23/07/2018,14,6
123,0.0,30/07/2018,14,4
124,0.0,06/08/2018,14,2
125,0.0,13/08/2018,13,2
126,0.0,20/08/2018,14,3
127,0.0,27/08/2018,13,1
128,0.0,03/09/2018,13,1
129,0.0,10/09/2018,13,4
130,0.0,17/09/2018,13,2
131,0.0,24/09/2018,13,7
132,0.0,01/10/2018,13,2
133,0.0,08/10/2018,13,2
134,0.0,15/10/2018,12,5
135,0.0,22/10/2018,11,10
136,0.0,29/10/2018,12,11
137,0.0,05/11/2018,11,7
138,0.0,12/11/2018,14,4
139,0.0,19/11/2018,13,2
140,0.0,26/11/2018,14,2
141,0.0,03/12/2018,16,4
142,0.0,10/12/2018,18,1
143,0.0,17/12/2018,21,5
144,0.0,24/12/2018,21,10
145,0.0,31/12/2018,20,7
146,0.0,07/01/2019,21,4
147,0.0,14/01/2019,20,2
148,0.0,21/01/2019,21,7
149,0.0,28/01/2019,22,6
150,0.0,04/02/2019,23,1
151,0.0,11/02/2019,30,10
152,0.0,18/02/2019,33,6
153,0.0,25/02/2019,39,3
154,0.0,04/03/2019,46,9
155,0.0,11/03/2019,39,5
156,0.0,18/03/2019,36,7
157,0.0,25/03/2019,26,5
158,0.0,01/04/2019,23,8
159,0.0,22/07/2019,22,8
160,0.0,29/07/2019,22,2
161,0.0,05/08/2019,21,4
162,0.0,12/08/2019,20,0
163,0.0,19/08/2019,21,7
164,0.0,26/08/2019,20,6
165,0.0,02/09/2019,21,13
166,0.0,09/09/2019,20,6
167,0.0,16/09/2019,20,4
168,0.0,23/09/2019,19,3
169,0.0,30/09/2019,17,3
170,0.0,07/10/2019,17,3
171,0.0,14/10/2019,18,2
172,0.0,21/10/2019,16,1
173,0.0,28/10/2019,15,5
174,0.0,04/11/2019,14,3
175,0.0,11/11/2019,15,8
176,0.0,18/11/2019,16,6
177,0.0,25/11/2019,14,3
178,0.0,02/12/2019,14,2
179,0.0,09/12/2019,14,7
180,0.0,16/12/2019,13,4
181,0.0,23/12/2019,12,5
182,0.0,30/12/2019,12,4
183,0.0,06/01/2020,12,1
184,0.0,13/01/2020,11,6
185,0.0,20/01/2020,12,3
186,0.0,27/01/2020,12,3
187,0.0,03/02/2020,13,5
188,0.0,10/02/2020,12,4
189,0.0,17/02/2020,12,3
190,0.0,24/02/2020,12,2
191,0.0,02/03/2020,12,2
192,0.0,09/03/2020,14,2
193,0.0,16/03/2020,14,3
194,0.0,23/03/2020,18,8
195,0.0,30/03/2020,19,3
196,0.0,06/04/2020,20,7
197,0.0,13/04/2020,19,9
198,0.0,20/04/2020,20,4
199,0.0,27/04/2020,20,8
200,0.0,04/05/2020,23,14
201,0.0,11/05/2020,22,9
202,0.0,18/05/2020,34,20
203,0.0,25/05/2020,45,19
204,0.0,01/06/2020,36,18
205,0.0,08/06/2020,31,13
206,0.0,15/06/2020,30,10
207,0.0,22/06/2020,31,8
208,0.0,29/06/2020,31,11
209,0.0,06/07/2020,31,11
210,0.0,13/07/2020,28,16
211,0.0,20/07/2020,30,23
212,0.0,27/07/2020,28,5
