,incidence,date,gt,tk
0,4656.0,07/12/2015,31,0
1,4861.0,14/12/2015,70,1
2,7764.0,21/12/2015,0,0
3,10482.0,28/12/2015,26,0
4,13968.0,04/01/2016,0,0
5,18624.0,11/01/2016,0,0
6,19664.0,18/01/2016,0,2
7,22692.0,25/01/2016,0,0
8,22312.0,01/02/2016,42,0
9,21056.0,08/02/2016,52,0
10,19252.0,15/02/2016,100,0
11,20644.0,22/02/2016,91,1
12,21408.0,29/02/2016,27,3
13,22536.0,07/03/2016,0,2
14,23028.0,14/03/2016,0,0
15,19500.0,21/03/2016,0,0
16,17848.0,28/03/2016,0,3
17,17732.0,04/04/2016,0,2
18,16280.0,11/04/2016,0,2
19,14924.0,18/04/2016,0,0
20,15376.0,25/04/2016,0,2
21,14348.0,02/05/2016,29,3
22,17300.0,09/05/2016,0,0
23,11793.0,16/05/2016,0,1
24,7164.0,23/05/2016,0,1
25,2636.0,30/05/2016,0,1
26,2966.0,12/09/2016,0,0
27,6674.0,19/09/2016,0,0
28,11736.0,26/09/2016,0,0
29,17920.0,03/10/2016,0,0
30,17416.0,10/10/2016,0,0
31,18804.0,17/10/2016,0,0
32,17900.0,24/10/2016,27,2
33,19608.0,31/10/2016,0,1
34,21036.0,07/11/2016,0,0
35,21636.0,14/11/2016,0,1
36,23664.0,21/11/2016,0,0
37,23616.0,28/11/2016,0,1
38,23024.0,05/12/2016,0,2
39,21400.0,12/12/2016,0,1
40,26224.0,19/12/2016,34,0
41,21128.0,26/12/2016,0,0
42,27444.0,02/01/2017,0,0
43,24596.0,09/01/2017,0,0
44,23716.0,16/01/2017,0,1
45,24660.0,23/01/2017,0,0
46,25752.0,30/01/2017,0,0
47,20592.0,06/02/2017,0,1
48,17392.0,13/02/2017,0,1
49,19828.0,20/02/2017,0,4
50,17932.0,27/02/2017,0,2
51,18072.0,06/03/2017,0,1
52,13896.0,13/03/2017,0,1
53,8586.0,20/03/2017,0,0
54,9184.0,27/03/2017,0,0
55,9738.0,03/04/2017,0,1
56,11064.0,10/04/2017,0,1
57,14384.0,17/04/2017,0,0
58,16744.0,24/04/2017,0,2
59,13091.0,01/05/2017,0,2
60,15602.0,08/05/2017,0,1
61,15277.0,15/05/2017,0,0
62,15068.0,22/05/2017,0,2
63,10804.0,29/05/2017,0,0
64,12951.0,05/06/2017,0,0
65,8598.0,12/06/2017,0,3
66,8817.0,19/06/2017,0,1
67,8586.0,26/06/2017,0,0
68,9471.0,03/07/2017,0,3
69,7748.0,10/07/2017,0,2
70,15775.0,17/07/2017,0,1
71,15040.0,24/07/2017,0,0
72,15435.0,31/07/2017,0,0
73,14730.0,07/08/2017,0,1
74,11740.0,14/08/2017,0,3
75,11332.0,21/08/2017,0,4
76,9496.0,28/08/2017,0,3
77,12168.0,04/09/2017,0,0
78,13853.0,11/09/2017,52,0
79,17732.0,18/09/2017,0,0
80,19956.0,25/09/2017,27,0
81,20356.0,02/10/2017,0,1
82,20504.0,09/10/2017,0,0
83,14907.0,16/10/2017,0,1
84,13143.0,23/10/2017,0,1
85,13218.0,30/10/2017,0,1
86,10478.0,06/11/2017,0,2
87,11354.0,13/11/2017,0,0
88,6192.0,20/11/2017,0,0
89,6147.0,04/12/2017,27,0
90,13436.0,11/12/2017,0,3
91,23826.0,18/12/2017,96,4
92,23968.0,25/12/2017,35,2
93,31272.0,01/01/2018,0,2
94,31824.0,08/01/2018,0,3
95,31020.0,15/01/2018,36,0
96,30784.0,22/01/2018,27,1
97,28128.0,29/01/2018,0,2
98,27924.0,05/02/2018,0,2
99,25768.0,12/02/2018,0,0
100,26060.0,19/02/2018,0,1
101,23228.0,26/02/2018,0,1
102,25688.0,05/03/2018,0,0
103,25168.0,12/03/2018,0,0
104,23408.0,19/03/2018,0,0
