,incidence,date,gt,tk
0,26.0,07/12/2015,52,0
1,20.0,14/12/2015,44,0
2,38.0,21/12/2015,54,0
3,45.0,28/12/2015,51,0
4,78.0,04/01/2016,58,0
5,116.0,11/01/2016,36,0
6,108.0,18/01/2016,46,0
7,104.0,25/01/2016,67,0
8,152.0,01/02/2016,30,0
9,120.0,08/02/2016,42,0
10,92.0,15/02/2016,28,0
11,68.0,22/02/2016,43,0
12,100.0,29/02/2016,53,0
13,112.0,07/03/2016,53,0
14,84.0,14/03/2016,65,0
15,64.0,21/03/2016,55,0
16,64.0,28/03/2016,47,0
17,100.0,04/04/2016,59,0
18,96.0,11/04/2016,55,0
19,92.0,18/04/2016,60,0
20,56.0,25/04/2016,40,0
21,108.0,02/05/2016,80,0
22,60.0,09/05/2016,28,0
23,60.0,16/05/2016,46,0
24,38.0,23/05/2016,69,0
25,18.0,30/05/2016,48,1
26,27.0,12/09/2016,63,0
27,46.0,19/09/2016,38,0
28,54.0,26/09/2016,36,3
29,92.0,03/10/2016,39,0
30,120.0,10/10/2016,42,0
31,64.0,17/10/2016,64,1
32,92.0,24/10/2016,72,0
33,80.0,31/10/2016,73,0
34,132.0,07/11/2016,57,0
35,148.0,14/11/2016,39,0
36,84.0,21/11/2016,40,1
37,88.0,28/11/2016,41,0
38,100.0,05/12/2016,27,0
39,72.0,12/12/2016,29,0
40,104.0,19/12/2016,54,0
41,64.0,26/12/2016,57,0
42,108.0,02/01/2017,44,0
43,80.0,09/01/2017,40,0
44,120.0,16/01/2017,48,0
45,116.0,23/01/2017,35,0
46,136.0,30/01/2017,35,0
47,112.0,06/02/2017,38,0
48,64.0,13/02/2017,42,0
49,64.0,20/02/2017,29,2
50,120.0,27/02/2017,38,0
51,108.0,06/03/2017,36,1
52,90.0,13/03/2017,38,6
53,28.0,20/03/2017,52,2
54,44.0,27/03/2017,53,0
55,52.0,03/04/2017,56,0
56,57.0,10/04/2017,60,1
57,48.0,17/04/2017,70,0
58,92.0,24/04/2017,56,0
59,100.0,01/05/2017,46,0
60,72.0,08/05/2017,66,0
61,88.0,15/05/2017,32,0
62,92.0,22/05/2017,37,1
63,48.0,29/05/2017,39,0
64,91.0,05/06/2017,46,1
65,57.0,12/06/2017,66,0
66,51.0,19/06/2017,54,0
67,30.0,26/06/2017,50,1
68,30.0,03/07/2017,49,0
69,48.0,10/07/2017,31,0
70,90.0,17/07/2017,51,2
71,75.0,24/07/2017,44,1
72,165.0,31/07/2017,32,1
73,105.0,07/08/2017,62,3
74,84.0,14/08/2017,99,5
75,44.0,21/08/2017,47,1
76,48.0,28/08/2017,53,1
77,48.0,04/09/2017,43,0
78,84.0,11/09/2017,45,0
79,120.0,18/09/2017,55,0
80,156.0,25/09/2017,49,0
81,132.0,02/10/2017,64,0
82,132.0,09/10/2017,61,0
83,72.0,16/10/2017,27,0
84,57.0,23/10/2017,52,0
85,105.0,30/10/2017,58,0
86,50.0,06/11/2017,59,1
87,76.0,13/11/2017,76,1
88,32.0,20/11/2017,69,1
89,25.0,04/12/2017,79,0
90,62.0,11/12/2017,52,1
91,84.0,18/12/2017,41,3
92,48.0,25/12/2017,45,1
93,124.0,01/01/2018,48,1
94,124.0,08/01/2018,58,0
95,108.0,15/01/2018,61,0
96,140.0,22/01/2018,52,0
97,160.0,29/01/2018,38,2
98,148.0,05/02/2018,42,0
99,80.0,12/02/2018,42,0
100,120.0,19/02/2018,28,0
101,172.0,26/02/2018,33,0
102,292.0,05/03/2018,36,1
103,92.0,12/03/2018,39,0
104,92.0,19/03/2018,54,2
105,80.0,26/03/2018,43,1
