,incidence,date,gt,tk
0,362.0,07/12/2015,73,0
1,347.0,14/12/2015,57,0
2,450.0,21/12/2015,63,0
3,732.0,28/12/2015,60,0
4,1086.0,04/01/2016,65,0
5,1392.0,11/01/2016,59,0
6,1360.0,18/01/2016,60,0
7,1496.0,25/01/2016,60,0
8,1720.0,01/02/2016,60,2
9,1500.0,08/02/2016,61,0
10,1376.0,15/02/2016,62,0
11,1436.0,22/02/2016,63,0
12,1624.0,29/02/2016,64,0
13,1512.0,07/03/2016,53,0
14,1504.0,14/03/2016,48,0
15,1384.0,21/03/2016,37,0
16,1368.0,28/03/2016,34,0
17,1460.0,04/04/2016,34,0
18,1316.0,11/04/2016,35,0
19,1016.0,18/04/2016,32,0
20,1124.0,25/04/2016,29,0
21,964.0,02/05/2016,32,0
22,1096.0,09/05/2016,36,0
23,714.0,16/05/2016,30,0
24,458.0,23/05/2016,23,0
25,167.0,30/05/2016,29,0
26,199.0,12/09/2016,29,0
27,352.0,19/09/2016,27,0
28,759.0,26/09/2016,31,0
29,1052.0,03/10/2016,30,0
30,1112.0,10/10/2016,29,0
31,1304.0,17/10/2016,23,0
32,1279.0,24/10/2016,29,0
33,1292.0,31/10/2016,31,0
34,1424.0,07/11/2016,36,0
35,1348.0,14/11/2016,38,0
36,1400.0,21/11/2016,44,3
37,1468.0,28/11/2016,41,0
38,1572.0,05/12/2016,44,0
39,1384.0,12/12/2016,42,0
40,1768.0,19/12/2016,40,0
41,1492.0,26/12/2016,36,0
42,2244.0,02/01/2017,40,1
43,2028.0,09/01/2017,36,0
44,1632.0,16/01/2017,38,0
45,1732.0,23/01/2017,38,0
46,1884.0,30/01/2017,34,0
47,1644.0,06/02/2017,37,0
48,1364.0,13/02/2017,38,0
49,1640.0,20/02/2017,40,1
50,1556.0,27/02/2017,39,0
51,1484.0,06/03/2017,44,1
52,933.0,13/03/2017,42,0
53,608.0,20/03/2017,41,0
54,688.0,27/03/2017,40,0
55,676.0,03/04/2017,40,1
56,843.0,10/04/2017,38,0
57,1128.0,17/04/2017,35,1
58,1380.0,24/04/2017,41,0
59,928.0,01/05/2017,36,0
60,1040.0,08/05/2017,36,0
61,1032.0,15/05/2017,37,0
62,964.0,22/05/2017,37,0
63,704.0,29/05/2017,42,0
64,816.0,05/06/2017,39,0
65,381.0,12/06/2017,40,2
66,312.0,19/06/2017,41,0
67,531.0,26/06/2017,36,1
68,555.0,03/07/2017,35,0
69,516.0,10/07/2017,37,0
70,940.0,17/07/2017,37,0
71,950.0,24/07/2017,40,0
72,1140.0,31/07/2017,40,0
73,1060.0,07/08/2017,37,0
74,912.0,14/08/2017,37,0
75,836.0,21/08/2017,38,0
76,564.0,28/08/2017,41,0
