,incidence,date,gt,tk
0,605.0,07/12/2015,63,0
1,697.0,14/12/2015,61,0
2,1116.0,21/12/2015,64,0
3,1332.0,28/12/2015,63,0
4,1815.0,04/01/2016,68,0
5,2748.0,11/01/2016,65,0
6,2616.0,18/01/2016,64,0
7,2740.0,25/01/2016,61,0
8,2804.0,01/02/2016,62,0
9,2364.0,08/02/2016,62,0
10,2636.0,15/02/2016,49,0
11,2808.0,22/02/2016,50,0
12,2692.0,29/02/2016,62,0
13,2872.0,07/03/2016,56,0
14,2764.0,14/03/2016,66,0
15,2252.0,21/03/2016,64,0
16,2452.0,28/03/2016,63,0
17,2872.0,04/04/2016,60,0
18,2844.0,11/04/2016,55,0
19,3036.0,18/04/2016,64,0
20,2864.0,25/04/2016,65,1
21,2688.0,02/05/2016,59,0
22,3244.0,09/05/2016,56,0
23,2352.0,16/05/2016,58,0
24,1466.0,23/05/2016,66,0
25,623.0,30/05/2016,63,0
26,982.0,12/09/2016,60,0
27,1878.0,19/09/2016,58,0
28,2721.0,26/09/2016,62,0
29,3704.0,03/10/2016,54,1
30,3240.0,10/10/2016,61,0
31,3224.0,17/10/2016,62,0
32,3024.0,24/10/2016,61,0
33,3212.0,31/10/2016,56,0
34,3272.0,07/11/2016,62,0
35,3120.0,14/11/2016,62,0
36,3260.0,21/11/2016,65,0
37,3056.0,28/11/2016,55,0
38,2908.0,05/12/2016,59,0
39,2632.0,12/12/2016,58,0
40,2968.0,19/12/2016,58,0
41,2028.0,26/12/2016,55,0
42,2672.0,02/01/2017,56,0
43,2800.0,09/01/2017,53,0
44,3428.0,16/01/2017,61,0
45,3228.0,23/01/2017,66,0
46,3368.0,30/01/2017,58,0
47,2548.0,06/02/2017,58,1
48,2596.0,13/02/2017,61,0
49,3120.0,20/02/2017,57,0
50,2892.0,27/02/2017,61,0
51,3148.0,06/03/2017,59,0
52,2313.0,13/03/2017,67,0
53,1486.0,20/03/2017,64,2
54,1650.0,27/03/2017,61,0
55,1670.0,03/04/2017,58,0
56,2049.0,10/04/2017,65,0
57,2844.0,17/04/2017,66,0
58,3508.0,24/04/2017,68,0
59,2756.0,01/05/2017,61,3
60,3360.0,08/05/2017,65,1
61,3280.0,15/05/2017,72,0
62,3560.0,22/05/2017,71,0
63,2912.0,29/05/2017,68,0
64,3424.0,05/06/2017,68,0
65,2163.0,12/06/2017,72,0
66,3174.0,19/06/2017,65,0
67,2766.0,26/06/2017,71,0
68,3096.0,03/07/2017,73,1
69,2496.0,10/07/2017,59,1
70,5125.0,17/07/2017,60,3
