,incidence,date,gt,tk
0,16.0,07/12/2015,0,0
1,23.0,14/12/2015,0,0
2,22.0,21/12/2015,66,0
3,27.0,28/12/2015,48,0
4,48.0,04/01/2016,0,0
5,80.0,11/01/2016,44,0
6,68.0,18/01/2016,46,0
7,124.0,25/01/2016,75,0
8,104.0,01/02/2016,69,0
9,172.0,08/02/2016,49,0
10,148.0,15/02/2016,49,0
11,112.0,22/02/2016,46,0
12,204.0,29/02/2016,37,0
13,252.0,07/03/2016,0,0
14,296.0,14/03/2016,41,0
15,256.0,21/03/2016,46,0
16,172.0,28/03/2016,0,0
17,84.0,04/04/2016,0,0
18,76.0,11/04/2016,0,0
19,92.0,18/04/2016,51,0
20,144.0,25/04/2016,54,0
21,104.0,02/05/2016,39,0
22,148.0,09/05/2016,0,0
23,87.0,16/05/2016,39,0
24,38.0,23/05/2016,0,0
25,6.0,30/05/2016,0,0
26,10.0,12/09/2016,37,0
27,24.0,19/09/2016,76,0
28,42.0,26/09/2016,0,0
29,60.0,03/10/2016,53,0
30,60.0,10/10/2016,0,0
31,44.0,17/10/2016,42,0
32,34.0,24/10/2016,53,0
33,68.0,31/10/2016,45,0
34,80.0,07/11/2016,47,0
35,88.0,14/11/2016,50,0
36,120.0,21/11/2016,41,0
37,108.0,28/11/2016,0,0
38,104.0,05/12/2016,0,0
39,108.0,12/12/2016,0,0
40,84.0,19/12/2016,0,0
41,52.0,26/12/2016,59,0
42,88.0,02/01/2017,0,0
43,64.0,09/01/2017,45,0
44,112.0,16/01/2017,0,0
45,132.0,23/01/2017,39,0
46,112.0,30/01/2017,55,0
47,136.0,06/02/2017,45,0
48,120.0,13/02/2017,49,0
49,196.0,20/02/2017,0,1
50,152.0,27/02/2017,0,0
51,168.0,06/03/2017,54,0
52,156.0,13/03/2017,53,0
53,110.0,20/03/2017,0,0
54,132.0,27/03/2017,54,0
55,94.0,03/04/2017,40,0
56,111.0,10/04/2017,48,0
57,60.0,17/04/2017,43,1
58,124.0,24/04/2017,60,0
59,136.0,01/05/2017,41,0
60,128.0,08/05/2017,54,0
61,168.0,15/05/2017,0,0
62,124.0,22/05/2017,53,0
63,88.0,29/05/2017,53,0
64,87.0,05/06/2017,0,0
65,48.0,12/06/2017,0,0
66,78.0,19/06/2017,0,0
67,48.0,26/06/2017,0,0
68,84.0,03/07/2017,0,1
69,80.0,10/07/2017,0,1
70,125.0,17/07/2017,50,0
71,105.0,24/07/2017,0,0
72,80.0,31/07/2017,45,0
73,55.0,07/08/2017,0,0
74,32.0,14/08/2017,0,0
75,60.0,21/08/2017,0,0
76,44.0,28/08/2017,0,1
77,44.0,04/09/2017,54,1
78,48.0,11/09/2017,52,0
79,56.0,18/09/2017,0,0
80,48.0,25/09/2017,50,0
81,60.0,02/10/2017,0,0
82,164.0,09/10/2017,0,0
83,108.0,16/10/2017,0,0
84,99.0,23/10/2017,46,0
85,36.0,30/10/2017,61,0
86,74.0,06/11/2017,0,0
87,60.0,13/11/2017,55,0
88,32.0,20/11/2017,53,0
89,39.0,04/12/2017,52,0
90,92.0,11/12/2017,59,0
91,162.0,18/12/2017,0,0
92,80.0,25/12/2017,90,0
93,112.0,01/01/2018,0,0
94,180.0,08/01/2018,71,0
95,212.0,15/01/2018,0,0
96,252.0,22/01/2018,0,0
97,256.0,29/01/2018,79,0
98,300.0,05/02/2018,56,0
99,304.0,12/02/2018,54,0
100,272.0,19/02/2018,92,0
101,268.0,26/02/2018,58,1
102,336.0,05/03/2018,74,0
103,504.0,12/03/2018,0,0
104,552.0,19/03/2018,53,0
105,340.0,26/03/2018,89,0
106,264.0,02/04/2018,0,0
107,288.0,09/04/2018,0,0
108,177.0,16/04/2018,58,0
109,270.0,23/04/2018,49,0
110,186.0,30/04/2018,59,0
111,147.0,07/05/2018,41,0
112,220.0,14/05/2018,51,1
113,212.0,21/05/2018,58,0
114,108.0,28/05/2018,73,0
115,136.0,04/06/2018,78,0
116,156.0,11/06/2018,75,0
117,76.0,18/06/2018,72,1
118,120.0,25/06/2018,45,0
119,112.0,02/07/2018,60,0
120,108.0,09/07/2018,78,0
121,104.0,16/07/2018,41,0
122,80.0,23/07/2018,46,0
123,76.0,30/07/2018,48,0
124,68.0,06/08/2018,62,0
125,72.0,13/08/2018,0,1
126,52.0,20/08/2018,0,1
127,48.0,27/08/2018,0,1
128,56.0,03/09/2018,0,2
129,64.0,10/09/2018,51,0
130,80.0,17/09/2018,0,0
131,84.0,24/09/2018,0,0
132,80.0,01/10/2018,63,0
133,66.0,08/10/2018,0,0
134,75.0,15/10/2018,0,0
135,60.0,22/10/2018,0,0
136,57.0,29/10/2018,46,0
137,112.0,05/11/2018,50,0
138,172.0,12/11/2018,99,0
139,116.0,19/11/2018,0,0
140,116.0,26/11/2018,68,0
141,120.0,03/12/2018,0,1
142,144.0,10/12/2018,0,0
143,144.0,17/12/2018,60,0
144,100.0,24/12/2018,45,0
145,124.0,31/12/2018,52,0
146,108.0,07/01/2019,43,0
147,140.0,14/01/2019,50,0
148,184.0,21/01/2019,51,0
149,204.0,28/01/2019,62,0
150,196.0,04/02/2019,66,1
151,212.0,11/02/2019,61,18
152,196.0,18/02/2019,47,53
153,144.0,25/02/2019,79,17
154,184.0,04/03/2019,84,5
155,196.0,11/03/2019,72,4
156,153.0,18/03/2019,0,5
157,124.0,25/03/2019,51,7
158,57.0,01/04/2019,55,3
159,23.0,22/07/2019,58,1
160,50.0,29/07/2019,64,6
161,54.0,05/08/2019,49,3
162,72.0,12/08/2019,44,0
163,64.0,19/08/2019,58,4
164,72.0,26/08/2019,73,0
165,96.0,02/09/2019,48,1
166,80.0,09/09/2019,79,0
167,84.0,16/09/2019,90,0
168,108.0,23/09/2019,0,1
169,144.0,30/09/2019,0,1
170,104.0,07/10/2019,46,1
171,188.0,14/10/2019,49,1
172,144.0,21/10/2019,65,2
173,104.0,28/10/2019,59,0
174,114.0,04/11/2019,53,0
175,132.0,11/11/2019,0,1
176,126.0,18/11/2019,66,1
177,132.0,25/11/2019,0,2
178,184.0,02/12/2019,57,2
179,188.0,09/12/2019,45,0
180,160.0,16/12/2019,54,0
181,176.0,23/12/2019,55,0
182,116.0,30/12/2019,59,1
183,168.0,06/01/2020,0,0
184,152.0,13/01/2020,45,1
185,272.0,20/01/2020,0,0
186,316.0,27/01/2020,0,2
187,240.0,03/02/2020,0,2
188,304.0,10/02/2020,0,1
189,244.0,17/02/2020,0,0
190,232.0,24/02/2020,0,0
191,292.0,02/03/2020,0,0
192,340.0,09/03/2020,0,0
193,196.0,16/03/2020,53,1
194,76.0,23/03/2020,49,3
195,60.0,30/03/2020,48,0
196,24.0,06/04/2020,68,1
197,28.0,13/04/2020,0,0
198,12.0,20/04/2020,0,0
199,32.0,27/04/2020,45,0
200,24.0,04/05/2020,0,0
201,4.0,11/05/2020,63,2
202,20.0,18/05/2020,0,0
203,8.0,25/05/2020,0,2
204,16.0,01/06/2020,100,1
205,16.0,08/06/2020,50,3
206,4.0,15/06/2020,78,3
207,20.0,22/06/2020,0,0
208,24.0,29/06/2020,75,3
209,28.0,06/07/2020,58,3
210,20.0,13/07/2020,47,2
211,32.0,20/07/2020,0,0
212,48.0,27/07/2020,68,0
