,incidence,date,gt,tk
0,272.0,07/12/2015,18,0
1,320.0,14/12/2015,16,0
2,486.0,21/12/2015,19,0
3,603.0,28/12/2015,21,0
4,816.0,04/01/2016,20,0
5,1360.0,11/01/2016,19,0
6,1284.0,18/01/2016,19,0
7,1380.0,25/01/2016,26,0
8,1416.0,01/02/2016,37,0
9,1160.0,08/02/2016,74,0
10,1312.0,15/02/2016,100,0
11,1220.0,22/02/2016,92,0
12,1380.0,29/02/2016,67,0
13,1196.0,07/03/2016,62,0
14,1244.0,14/03/2016,46,0
15,1184.0,21/03/2016,37,0
16,988.0,28/03/2016,34,0
17,1080.0,04/04/2016,32,0
18,1260.0,11/04/2016,28,0
19,1080.0,18/04/2016,25,0
20,1140.0,25/04/2016,25,0
21,1064.0,02/05/2016,24,0
22,1208.0,09/05/2016,25,0
23,978.0,16/05/2016,27,0
24,504.0,23/05/2016,24,0
25,183.0,30/05/2016,23,0
26,295.0,12/09/2016,25,0
27,642.0,19/09/2016,25,0
28,996.0,26/09/2016,22,0
29,1152.0,03/10/2016,22,0
30,1188.0,10/10/2016,22,0
31,1472.0,17/10/2016,19,0
32,1185.0,24/10/2016,20,0
33,1460.0,31/10/2016,22,0
34,1364.0,07/11/2016,23,0
35,1440.0,14/11/2016,24,0
36,1408.0,21/11/2016,22,0
37,1424.0,28/11/2016,24,0
38,1312.0,05/12/2016,25,0
39,1268.0,12/12/2016,29,0
40,1416.0,19/12/2016,28,0
41,1072.0,26/12/2016,31,0
42,1652.0,02/01/2017,27,0
43,1468.0,09/01/2017,25,0
44,1568.0,16/01/2017,28,0
45,1476.0,23/01/2017,26,0
46,1600.0,30/01/2017,23,0
47,1316.0,06/02/2017,22,0
48,1164.0,13/02/2017,24,0
49,1360.0,20/02/2017,27,0
50,1376.0,27/02/2017,30,0
51,1236.0,06/03/2017,32,0
52,987.0,13/03/2017,29,0
53,606.0,20/03/2017,32,0
54,672.0,27/03/2017,30,0
55,738.0,03/04/2017,27,0
56,693.0,10/04/2017,29,0
57,1020.0,17/04/2017,23,0
58,1304.0,24/04/2017,29,0
59,1036.0,01/05/2017,23,0
60,1168.0,08/05/2017,22,0
61,1128.0,15/05/2017,23,0
62,1088.0,22/05/2017,24,0
63,820.0,29/05/2017,25,0
64,1105.0,05/06/2017,22,0
65,627.0,12/06/2017,23,0
66,606.0,19/06/2017,23,0
67,705.0,26/06/2017,23,0
68,771.0,03/07/2017,23,0
69,684.0,10/07/2017,24,0
70,1325.0,17/07/2017,22,0
71,1295.0,24/07/2017,24,0
72,1395.0,31/07/2017,23,0
73,1180.0,07/08/2017,19,0
74,1164.0,14/08/2017,23,0
75,1012.0,21/08/2017,22,0
76,848.0,28/08/2017,23,0
77,1136.0,04/09/2017,23,0
78,1108.0,11/09/2017,26,0
79,1192.0,18/09/2017,25,0
80,1316.0,25/09/2017,21,0
81,1236.0,02/10/2017,25,0
82,1380.0,09/10/2017,24,0
83,1008.0,16/10/2017,27,0
84,930.0,23/10/2017,25,0
85,951.0,30/10/2017,24,0
86,750.0,06/11/2017,26,0
87,644.0,13/11/2017,25,0
88,375.0,20/11/2017,24,0
89,375.0,04/12/2017,22,0
90,692.0,11/12/2017,20,0
91,1062.0,18/12/2017,24,0
92,1172.0,25/12/2017,23,0
93,1472.0,01/01/2018,24,0
94,1760.0,08/01/2018,22,0
95,1628.0,15/01/2018,23,0
96,1744.0,22/01/2018,24,0
97,1616.0,29/01/2018,21,0
98,1716.0,05/02/2018,21,0
99,1508.0,12/02/2018,22,0
100,1612.0,19/02/2018,23,0
101,1440.0,26/02/2018,25,0
102,1692.0,05/03/2018,25,0
103,1668.0,12/03/2018,30,0
104,1568.0,19/03/2018,29,0
105,1212.0,26/03/2018,24,0
106,1136.0,02/04/2018,23,0
107,1404.0,09/04/2018,22,0
108,957.0,16/04/2018,21,0
109,1029.0,23/04/2018,22,0
110,1014.0,30/04/2018,22,0
111,669.0,07/05/2018,21,0
112,1284.0,14/05/2018,20,0
113,1300.0,21/05/2018,22,0
114,1040.0,28/05/2018,23,0
115,1088.0,04/06/2018,22,0
116,1196.0,11/06/2018,21,0
117,1000.0,18/06/2018,24,0
118,1168.0,25/06/2018,24,0
119,1156.0,02/07/2018,20,0
120,1024.0,09/07/2018,22,0
121,964.0,16/07/2018,20,0
122,1076.0,23/07/2018,19,0
123,1064.0,30/07/2018,20,0
124,996.0,06/08/2018,18,0
125,1184.0,13/08/2018,18,0
126,1064.0,20/08/2018,21,0
127,916.0,27/08/2018,18,0
128,1208.0,03/09/2018,21,0
129,1416.0,10/09/2018,21,0
130,1504.0,17/09/2018,20,0
131,1492.0,24/09/2018,19,0
132,1484.0,01/10/2018,18,0
133,1185.0,08/10/2018,19,0
134,1140.0,15/10/2018,17,0
135,978.0,22/10/2018,18,0
136,1026.0,29/10/2018,21,0
137,1564.0,05/11/2018,19,0
138,1528.0,12/11/2018,19,0
139,1512.0,19/11/2018,19,0
140,1652.0,26/11/2018,19,0
141,1548.0,03/12/2018,20,0
142,1596.0,10/12/2018,19,0
143,1400.0,17/12/2018,20,0
144,1000.0,24/12/2018,21,0
145,1700.0,31/12/2018,21,0
146,2284.0,07/01/2019,22,0
147,1916.0,14/01/2019,20,0
148,2000.0,21/01/2019,23,0
149,1892.0,28/01/2019,20,0
150,2016.0,04/02/2019,18,0
151,1836.0,11/02/2019,19,0
152,1556.0,18/02/2019,18,0
153,1856.0,25/02/2019,19,0
154,2100.0,04/03/2019,24,0
155,1780.0,11/03/2019,22,0
156,1401.0,18/03/2019,24,0
157,798.0,25/03/2019,22,0
158,448.0,01/04/2019,22,0
159,349.0,22/07/2019,21,0
160,706.0,29/07/2019,21,0
161,948.0,05/08/2019,20,0
162,1508.0,12/08/2019,21,0
163,1400.0,19/08/2019,18,0
164,1192.0,26/08/2019,18,0
165,1432.0,02/09/2019,20,0
166,4337.0,09/09/2019,23,0
167,7800.0,16/09/2019,24,0
168,11580.0,23/09/2019,21,0
169,15608.0,30/09/2019,20,0
170,16760.0,07/10/2019,21,0
171,18044.0,14/10/2019,22,0
172,18108.0,21/10/2019,21,0
173,13012.0,28/10/2019,21,0
174,9990.0,04/11/2019,23,0
175,9933.0,11/11/2019,22,0
176,10746.0,18/11/2019,18,0
177,11148.0,25/11/2019,18,0
178,14040.0,02/12/2019,20,0
179,12008.0,09/12/2019,27,0
180,14192.0,16/12/2019,22,0
181,10112.0,23/12/2019,18,0
182,15232.0,30/12/2019,19,0
183,16420.0,06/01/2020,20,0
184,13928.0,13/01/2020,21,0
185,14340.0,20/01/2020,21,0
186,16232.0,27/01/2020,21,0
187,16776.0,03/02/2020,21,0
188,16536.0,10/02/2020,20,0
189,16296.0,17/02/2020,18,0
190,18972.0,24/02/2020,21,0
191,19484.0,02/03/2020,20,0
192,20152.0,09/03/2020,20,0
193,16104.0,16/03/2020,19,0
194,13448.0,23/03/2020,23,0
195,11464.0,30/03/2020,21,0
196,9884.0,06/04/2020,18,0
197,9528.0,13/04/2020,19,0
198,9540.0,20/04/2020,22,0
199,10696.0,27/04/2020,21,0
200,8832.0,04/05/2020,20,0
201,9396.0,11/05/2020,21,0
202,9312.0,18/05/2020,21,0
203,6956.0,25/05/2020,19,0
204,8944.0,01/06/2020,20,0
205,9568.0,08/06/2020,23,0
206,9120.0,15/06/2020,21,0
207,8564.0,22/06/2020,21,0
