,incidence,date,gt,tk
0,482.0,07/12/2015,57,0
1,524.0,14/12/2015,40,0
2,662.0,21/12/2015,41,0
3,945.0,28/12/2015,59,0
4,1446.0,04/01/2016,59,0
5,2168.0,11/01/2016,59,0
6,2268.0,18/01/2016,52,0
7,2244.0,25/01/2016,43,0
8,2112.0,01/02/2016,64,0
9,2216.0,08/02/2016,55,0
10,2104.0,15/02/2016,41,0
11,2164.0,22/02/2016,62,0
12,2404.0,29/02/2016,57,0
13,2092.0,07/03/2016,67,0
14,2376.0,14/03/2016,64,0
15,1952.0,21/03/2016,67,0
16,1996.0,28/03/2016,63,0
17,2292.0,04/04/2016,51,0
18,2540.0,11/04/2016,52,0
19,2424.0,18/04/2016,62,0
20,2224.0,25/04/2016,49,0
21,1976.0,02/05/2016,60,0
22,2740.0,09/05/2016,62,0
23,1911.0,16/05/2016,60,0
24,1158.0,23/05/2016,61,0
25,442.0,30/05/2016,62,0
26,653.0,12/09/2016,49,0
27,1340.0,19/09/2016,58,0
28,1986.0,26/09/2016,53,0
29,2832.0,03/10/2016,65,0
30,2444.0,10/10/2016,92,0
31,2408.0,17/10/2016,59,0
32,2317.0,24/10/2016,57,0
33,2412.0,31/10/2016,58,0
34,2496.0,07/11/2016,53,0
35,2244.0,14/11/2016,62,0
36,2324.0,21/11/2016,59,0
37,2244.0,28/11/2016,50,0
38,2056.0,05/12/2016,43,0
39,1888.0,12/12/2016,62,0
40,1952.0,19/12/2016,50,0
41,1224.0,26/12/2016,64,0
42,1992.0,02/01/2017,38,0
43,2364.0,09/01/2017,56,0
44,2696.0,16/01/2017,58,0
45,2528.0,23/01/2017,49,0
46,2536.0,30/01/2017,67,0
47,1908.0,06/02/2017,46,0
48,1932.0,13/02/2017,70,0
49,2380.0,20/02/2017,72,0
50,2484.0,27/02/2017,50,0
51,2568.0,06/03/2017,63,0
52,1896.0,13/03/2017,61,0
53,1160.0,20/03/2017,58,0
54,1206.0,27/03/2017,70,0
55,1368.0,03/04/2017,63,0
56,1638.0,10/04/2017,62,0
57,2212.0,17/04/2017,65,0
58,2940.0,24/04/2017,65,0
59,2208.0,01/05/2017,75,0
60,2620.0,08/05/2017,69,0
61,2516.0,15/05/2017,60,0
62,3108.0,22/05/2017,68,0
63,2268.0,29/05/2017,51,0
64,2519.0,05/06/2017,80,0
65,1326.0,12/06/2017,74,0
66,1854.0,19/06/2017,65,0
67,1881.0,26/06/2017,67,0
68,1839.0,03/07/2017,70,0
69,1408.0,10/07/2017,65,0
70,3365.0,17/07/2017,65,0
71,3095.0,24/07/2017,48,0
72,3065.0,31/07/2017,56,0
73,3090.0,07/08/2017,62,0
74,2640.0,14/08/2017,81,0
75,2552.0,21/08/2017,52,0
76,2208.0,28/08/2017,90,0
77,2388.0,04/09/2017,44,0
78,2524.0,11/09/2017,56,0
79,2524.0,18/09/2017,60,0
80,2564.0,25/09/2017,77,0
81,2544.0,02/10/2017,77,0
82,2768.0,09/10/2017,55,0
83,2139.0,16/10/2017,67,0
84,1827.0,23/10/2017,50,0
85,1776.0,30/10/2017,65,0
86,1288.0,06/11/2017,58,0
87,1324.0,13/11/2017,50,0
88,629.0,20/11/2017,67,0
89,660.0,04/12/2017,41,0
90,1134.0,11/12/2017,49,0
91,1716.0,18/12/2017,64,0
92,1308.0,25/12/2017,56,0
93,1984.0,01/01/2018,54,0
94,2596.0,08/01/2018,63,0
95,2760.0,15/01/2018,53,0
96,2752.0,22/01/2018,56,0
97,2740.0,29/01/2018,69,0
98,2776.0,05/02/2018,55,0
99,2672.0,12/02/2018,47,0
