,incidence,date,gt,tk
0,63.0,07/12/2015,60,0
1,66.0,14/12/2015,62,0
2,98.0,21/12/2015,63,1
3,90.0,28/12/2015,68,0
4,189.0,04/01/2016,61,0
5,344.0,11/01/2016,59,0
6,224.0,18/01/2016,71,0
7,300.0,25/01/2016,64,1
8,228.0,01/02/2016,62,1
9,236.0,08/02/2016,61,0
10,304.0,15/02/2016,40,0
11,304.0,22/02/2016,39,0
12,264.0,29/02/2016,44,0
13,320.0,07/03/2016,56,1
14,292.0,14/03/2016,53,2
15,184.0,21/03/2016,59,0
16,220.0,28/03/2016,61,0
17,232.0,04/04/2016,65,0
18,276.0,11/04/2016,60,1
19,304.0,18/04/2016,68,0
20,344.0,25/04/2016,64,0
21,252.0,02/05/2016,57,1
22,300.0,09/05/2016,61,0
23,195.0,16/05/2016,60,0
24,194.0,23/05/2016,59,1
25,51.0,30/05/2016,50,2
26,77.0,12/09/2016,55,0
27,170.0,19/09/2016,57,0
28,234.0,26/09/2016,61,0
29,368.0,03/10/2016,58,4
30,308.0,10/10/2016,59,0
31,320.0,17/10/2016,56,0
32,316.0,24/10/2016,54,2
33,400.0,31/10/2016,62,1
34,360.0,07/11/2016,53,0
35,320.0,14/11/2016,58,2
36,348.0,21/11/2016,53,0
37,284.0,28/11/2016,54,0
38,348.0,05/12/2016,57,1
39,260.0,12/12/2016,63,2
40,272.0,19/12/2016,53,1
41,144.0,26/12/2016,56,1
42,292.0,02/01/2017,55,1
43,344.0,09/01/2017,47,0
44,332.0,16/01/2017,59,0
45,324.0,23/01/2017,55,0
46,304.0,30/01/2017,55,1
47,232.0,06/02/2017,56,4
48,276.0,13/02/2017,60,3
49,372.0,20/02/2017,53,0
50,324.0,27/02/2017,46,0
51,268.0,06/03/2017,51,0
52,261.0,13/03/2017,54,0
53,156.0,20/03/2017,64,1
54,170.0,27/03/2017,54,4
55,152.0,03/04/2017,51,5
56,144.0,10/04/2017,59,3
57,260.0,17/04/2017,54,1
58,336.0,24/04/2017,62,2
59,252.0,01/05/2017,57,0
60,348.0,08/05/2017,67,3
61,344.0,15/05/2017,58,1
62,280.0,22/05/2017,67,3
63,184.0,29/05/2017,74,2
64,226.0,05/06/2017,66,3
65,171.0,12/06/2017,61,1
66,174.0,19/06/2017,72,2
67,225.0,26/06/2017,66,0
68,210.0,03/07/2017,63,3
69,180.0,10/07/2017,69,3
70,198.0,17/07/2017,68,2
71,132.0,24/07/2017,70,4
72,60.0,31/07/2017,57,4
73,0.0,07/08/2017,62,1
74,0.0,14/08/2017,63,2
75,0.0,21/08/2017,58,1
76,0.0,28/08/2017,76,3
77,0.0,04/09/2017,58,2
78,0.0,11/09/2017,50,2
79,0.0,18/09/2017,58,4
80,0.0,25/09/2017,62,6
81,0.0,02/10/2017,53,3
82,0.0,09/10/2017,59,1
83,0.0,16/10/2017,56,11
84,0.0,23/10/2017,61,6
85,0.0,30/10/2017,58,1
86,0.0,06/11/2017,58,0
87,0.0,13/11/2017,55,2
88,0.0,20/11/2017,54,1
89,0.0,04/12/2017,54,3
90,0.0,11/12/2017,52,5
91,0.0,18/12/2017,50,3
92,0.0,25/12/2017,65,3
93,0.0,01/01/2018,60,2
94,0.0,08/01/2018,56,2
95,0.0,15/01/2018,61,2
96,0.0,22/01/2018,66,4
97,0.0,29/01/2018,56,1
98,0.0,05/02/2018,50,2
99,0.0,12/02/2018,55,5
100,0.0,19/02/2018,53,3
101,0.0,26/02/2018,51,4
102,0.0,05/03/2018,42,0
103,0.0,12/03/2018,51,4
104,0.0,19/03/2018,61,4
105,0.0,26/03/2018,69,7
106,0.0,02/04/2018,64,3
107,0.0,09/04/2018,68,3
108,0.0,16/04/2018,60,6
109,0.0,23/04/2018,72,7
110,0.0,30/04/2018,68,10
111,0.0,07/05/2018,62,6
112,0.0,14/05/2018,65,6
113,0.0,21/05/2018,100,5
114,0.0,28/05/2018,69,8
115,0.0,04/06/2018,67,14
116,0.0,11/06/2018,73,12
117,0.0,18/06/2018,68,5
118,0.0,25/06/2018,69,5
119,0.0,02/07/2018,66,4
120,0.0,09/07/2018,76,10
121,0.0,16/07/2018,76,13
122,0.0,23/07/2018,78,6
123,0.0,30/07/2018,73,13
124,0.0,06/08/2018,60,17
125,0.0,13/08/2018,60,16
126,0.0,20/08/2018,67,21
127,0.0,27/08/2018,61,11
128,0.0,03/09/2018,67,10
129,0.0,10/09/2018,66,9
130,0.0,17/09/2018,63,11
131,0.0,24/09/2018,64,18
132,0.0,01/10/2018,57,15
133,0.0,08/10/2018,60,15
134,0.0,15/10/2018,56,11
135,0.0,22/10/2018,57,18
136,0.0,29/10/2018,64,16
137,0.0,05/11/2018,56,12
138,0.0,12/11/2018,60,13
139,0.0,19/11/2018,56,15
140,0.0,26/11/2018,58,13
141,0.0,03/12/2018,58,19
142,0.0,10/12/2018,63,24
143,0.0,17/12/2018,66,18
144,0.0,24/12/2018,61,13
145,0.0,31/12/2018,64,25
146,0.0,07/01/2019,64,17
147,0.0,14/01/2019,63,16
148,0.0,21/01/2019,64,26
149,0.0,28/01/2019,63,58
150,0.0,04/02/2019,63,24
151,0.0,11/02/2019,62,10
152,0.0,18/02/2019,66,19
153,0.0,25/02/2019,54,13
154,0.0,04/03/2019,52,10
155,0.0,11/03/2019,50,11
156,0.0,18/03/2019,64,23
157,0.0,25/03/2019,59,19
158,0.0,01/04/2019,64,29
159,0.0,22/07/2019,68,26
160,0.0,29/07/2019,70,28
161,0.0,05/08/2019,75,28
162,0.0,12/08/2019,73,29
163,0.0,19/08/2019,69,21
164,0.0,26/08/2019,76,26
165,0.0,02/09/2019,69,33
166,0.0,09/09/2019,79,36
167,0.0,16/09/2019,70,22
168,0.0,23/09/2019,73,22
169,0.0,30/09/2019,66,20
170,0.0,07/10/2019,68,23
171,0.0,14/10/2019,83,22
172,0.0,21/10/2019,85,53
173,0.0,28/10/2019,68,40
174,0.0,04/11/2019,80,12
175,0.0,11/11/2019,78,27
176,0.0,18/11/2019,83,21
177,0.0,25/11/2019,69,22
178,0.0,02/12/2019,65,23
179,0.0,09/12/2019,66,33
180,0.0,16/12/2019,64,39
181,0.0,23/12/2019,67,36
182,0.0,30/12/2019,65,63
183,0.0,06/01/2020,62,45
184,0.0,13/01/2020,66,38
185,0.0,20/01/2020,64,55
186,0.0,27/01/2020,66,36
187,0.0,03/02/2020,71,28
188,0.0,10/02/2020,66,30
