,incidence,date,gt,tk
0,0.0,07/12/2015,60,0
1,0.0,14/12/2015,62,0
2,0.0,21/12/2015,63,0
3,0.0,28/12/2015,68,0
4,0.0,04/01/2016,61,0
5,0.0,11/01/2016,59,0
6,0.0,18/01/2016,71,0
7,0.0,25/01/2016,64,0
8,0.0,01/02/2016,62,0
9,0.0,08/02/2016,61,0
10,0.0,15/02/2016,40,0
11,0.0,22/02/2016,39,0
12,0.0,29/02/2016,44,3
13,0.0,07/03/2016,56,0
14,0.0,14/03/2016,53,1
15,0.0,21/03/2016,59,0
16,0.0,28/03/2016,61,2
17,0.0,04/04/2016,65,0
18,0.0,11/04/2016,60,0
19,0.0,18/04/2016,68,0
20,0.0,25/04/2016,64,0
21,0.0,02/05/2016,57,0
22,0.0,09/05/2016,61,0
23,0.0,16/05/2016,60,0
24,0.0,23/05/2016,59,0
25,0.0,30/05/2016,50,1
26,0.0,12/09/2016,55,0
27,0.0,19/09/2016,57,1
28,0.0,26/09/2016,61,0
29,0.0,03/10/2016,58,0
30,0.0,10/10/2016,59,0
31,0.0,17/10/2016,56,0
32,0.0,24/10/2016,54,0
33,0.0,31/10/2016,62,0
34,0.0,07/11/2016,53,0
35,0.0,14/11/2016,58,0
36,0.0,21/11/2016,53,0
37,0.0,28/11/2016,54,1
38,0.0,05/12/2016,57,0
39,0.0,12/12/2016,63,0
40,0.0,19/12/2016,53,1
41,0.0,26/12/2016,56,1
42,0.0,02/01/2017,55,3
43,0.0,09/01/2017,47,0
44,0.0,16/01/2017,59,1
45,0.0,23/01/2017,55,0
46,0.0,30/01/2017,55,0
47,0.0,06/02/2017,56,0
48,0.0,13/02/2017,60,0
49,0.0,20/02/2017,53,0
50,0.0,27/02/2017,46,0
51,0.0,06/03/2017,51,0
52,0.0,13/03/2017,54,0
53,0.0,20/03/2017,64,0
54,0.0,27/03/2017,54,1
55,0.0,03/04/2017,51,3
56,0.0,10/04/2017,59,1
57,0.0,17/04/2017,54,0
58,0.0,24/04/2017,62,1
59,0.0,01/05/2017,57,1
60,0.0,08/05/2017,67,0
61,0.0,15/05/2017,58,0
62,0.0,22/05/2017,67,0
63,0.0,29/05/2017,74,1
64,0.0,05/06/2017,66,2
65,0.0,12/06/2017,61,0
66,0.0,19/06/2017,72,1
67,0.0,26/06/2017,66,0
68,0.0,03/07/2017,63,1
69,0.0,10/07/2017,69,1
70,132.0,17/07/2017,68,2
71,198.0,24/07/2017,70,1
72,240.0,31/07/2017,57,1
73,340.0,07/08/2017,62,1
74,268.0,14/08/2017,63,1
75,292.0,21/08/2017,58,1
76,264.0,28/08/2017,76,0
77,264.0,04/09/2017,58,0
78,376.0,11/09/2017,50,0
79,360.0,18/09/2017,58,2
80,340.0,25/09/2017,62,0
81,320.0,02/10/2017,53,0
82,272.0,09/10/2017,59,1
83,261.0,16/10/2017,56,0
84,219.0,23/10/2017,61,0
85,225.0,30/10/2017,58,1
86,166.0,06/11/2017,58,0
87,162.0,13/11/2017,55,3
88,69.0,20/11/2017,54,1
89,80.0,04/12/2017,54,2
90,120.0,11/12/2017,52,1
91,213.0,18/12/2017,50,2
92,144.0,25/12/2017,65,2
93,264.0,01/01/2018,60,1
94,296.0,08/01/2018,56,0
95,336.0,15/01/2018,61,0
96,360.0,22/01/2018,66,1
97,320.0,29/01/2018,56,0
98,300.0,05/02/2018,50,0
99,292.0,12/02/2018,55,2
100,320.0,19/02/2018,53,2
101,308.0,26/02/2018,51,1
102,312.0,05/03/2018,42,0
103,360.0,12/03/2018,51,0
104,308.0,19/03/2018,61,1
105,268.0,26/03/2018,69,2
106,292.0,02/04/2018,64,1
107,396.0,09/04/2018,68,1
108,186.0,16/04/2018,60,5
109,264.0,23/04/2018,72,5
110,258.0,30/04/2018,68,5
111,138.0,07/05/2018,62,3
112,324.0,14/05/2018,65,5
113,332.0,21/05/2018,100,2
114,312.0,28/05/2018,69,7
115,324.0,04/06/2018,67,7
116,316.0,11/06/2018,73,8
117,240.0,18/06/2018,68,8
118,292.0,25/06/2018,69,6
119,284.0,02/07/2018,66,5
120,348.0,09/07/2018,76,5
121,300.0,16/07/2018,76,2
122,216.0,23/07/2018,78,9
123,268.0,30/07/2018,73,6
124,356.0,06/08/2018,60,3
125,340.0,13/08/2018,60,1
126,300.0,20/08/2018,67,4
127,312.0,27/08/2018,61,5
128,344.0,03/09/2018,67,1
129,364.0,10/09/2018,66,4
130,380.0,17/09/2018,63,0
131,400.0,24/09/2018,64,3
132,348.0,01/10/2018,57,8
133,327.0,08/10/2018,60,6
134,258.0,15/10/2018,56,8
135,291.0,22/10/2018,57,5
136,252.0,29/10/2018,64,4
137,396.0,05/11/2018,56,6
138,408.0,12/11/2018,60,4
139,328.0,19/11/2018,56,4
140,436.0,26/11/2018,58,6
141,364.0,03/12/2018,58,4
142,440.0,10/12/2018,63,4
143,376.0,17/12/2018,66,7
144,192.0,24/12/2018,61,8
145,308.0,31/12/2018,64,8
146,544.0,07/01/2019,64,6
147,448.0,14/01/2019,63,5
148,492.0,21/01/2019,64,13
149,348.0,28/01/2019,63,20
150,416.0,04/02/2019,63,10
151,432.0,11/02/2019,62,3
152,432.0,18/02/2019,66,7
153,452.0,25/02/2019,54,6
154,544.0,04/03/2019,52,3
155,404.0,11/03/2019,50,6
156,342.0,18/03/2019,64,10
157,202.0,25/03/2019,59,9
158,110.0,01/04/2019,64,13
159,106.0,22/07/2019,68,8
160,210.0,29/07/2019,70,14
161,357.0,05/08/2019,75,10
162,516.0,12/08/2019,73,6
163,496.0,19/08/2019,69,6
164,372.0,26/08/2019,76,8
165,500.0,02/09/2019,69,14
166,567.0,09/09/2019,79,20
167,612.0,16/09/2019,70,7
168,763.0,23/09/2019,73,5
169,788.0,30/09/2019,66,4
170,920.0,07/10/2019,68,4
171,748.0,14/10/2019,83,8
172,732.0,21/10/2019,85,7
173,560.0,28/10/2019,68,3
174,399.0,04/11/2019,80,6
175,492.0,11/11/2019,78,4
176,429.0,18/11/2019,83,5
177,402.0,25/11/2019,69,5
178,524.0,02/12/2019,65,1
179,452.0,09/12/2019,66,10
180,548.0,16/12/2019,64,12
181,336.0,23/12/2019,67,12
182,516.0,30/12/2019,65,12
183,556.0,06/01/2020,62,5
184,700.0,13/01/2020,66,7
185,716.0,20/01/2020,64,6
186,900.0,27/01/2020,66,9
187,1112.0,03/02/2020,71,12
188,1052.0,10/02/2020,66,12
189,1192.0,17/02/2020,72,8
190,1348.0,24/02/2020,64,9
191,1408.0,02/03/2020,64,8
192,1268.0,09/03/2020,73,15
193,772.0,16/03/2020,67,12
194,696.0,23/03/2020,64,18
195,584.0,30/03/2020,73,35
196,628.0,06/04/2020,68,38
197,596.0,13/04/2020,61,50
198,872.0,20/04/2020,69,75
199,980.0,27/04/2020,69,47
200,832.0,04/05/2020,72,20
201,1120.0,11/05/2020,69,25
202,1188.0,18/05/2020,75,27
203,980.0,25/05/2020,63,35
204,1388.0,01/06/2020,67,27
205,1404.0,08/06/2020,67,19
206,1324.0,15/06/2020,61,4
207,1420.0,22/06/2020,60,3
208,1500.0,29/06/2020,64,4
209,1420.0,06/07/2020,68,13
210,1488.0,13/07/2020,69,16
211,1520.0,20/07/2020,67,15
212,1540.0,27/07/2020,70,11
