,incidence,date,gt,tk
0,579.0,07/12/2015,54,1
1,671.0,14/12/2015,50,1
2,1136.0,21/12/2015,50,1
3,1197.0,28/12/2015,61,1
4,1737.0,04/01/2016,58,0
5,2568.0,11/01/2016,58,2
6,2528.0,18/01/2016,58,4
7,3248.0,25/01/2016,59,0
8,3208.0,01/02/2016,60,3
9,2960.0,08/02/2016,64,2
10,2836.0,15/02/2016,67,5
11,3172.0,22/02/2016,53,3
12,3524.0,29/02/2016,39,2
13,3628.0,07/03/2016,31,2
14,3496.0,14/03/2016,26,1
15,2872.0,21/03/2016,24,18
16,2648.0,28/03/2016,22,9
17,2648.0,04/04/2016,19,3
18,2720.0,11/04/2016,20,2
19,2508.0,18/04/2016,20,5
20,2512.0,25/04/2016,20,3
21,2532.0,02/05/2016,21,1
22,2860.0,09/05/2016,20,2
23,2220.0,16/05/2016,20,1
24,1396.0,23/05/2016,20,4
25,482.0,30/05/2016,21,6
26,553.0,12/09/2016,21,3
27,1052.0,19/09/2016,23,6
28,1641.0,26/09/2016,24,4
29,2532.0,03/10/2016,24,4
30,2200.0,10/10/2016,25,5
31,2420.0,17/10/2016,23,6
32,2035.0,24/10/2016,28,4
33,2324.0,31/10/2016,29,2
34,2732.0,07/11/2016,35,1
35,2620.0,14/11/2016,42,9
36,2912.0,21/11/2016,51,11
37,2824.0,28/11/2016,40,7
38,2676.0,05/12/2016,34,8
39,2380.0,12/12/2016,32,5
40,2788.0,19/12/2016,31,4
41,1980.0,26/12/2016,30,3
42,2472.0,02/01/2017,27,2
43,2704.0,09/01/2017,27,10
44,2792.0,16/01/2017,29,11
45,3220.0,23/01/2017,30,2
46,3444.0,30/01/2017,28,5
47,2940.0,06/02/2017,29,18
48,2344.0,13/02/2017,30,5
49,3012.0,20/02/2017,30,5
50,2956.0,27/02/2017,33,5
51,3328.0,06/03/2017,31,7
52,2685.0,13/03/2017,29,9
53,1626.0,20/03/2017,24,2
54,1710.0,27/03/2017,24,1
55,1644.0,03/04/2017,23,3
56,1818.0,10/04/2017,24,5
57,2540.0,17/04/2017,24,8
58,2992.0,24/04/2017,24,6
59,2392.0,01/05/2017,25,4
60,2648.0,08/05/2017,23,4
61,2812.0,15/05/2017,25,4
62,2984.0,22/05/2017,30,3
63,1952.0,29/05/2017,32,8
64,2502.0,05/06/2017,33,8
65,1497.0,12/06/2017,29,5
66,1449.0,19/06/2017,27,3
67,1749.0,26/06/2017,27,2
68,2088.0,03/07/2017,31,4
69,1692.0,10/07/2017,38,3
70,3480.0,17/07/2017,37,11
71,3125.0,24/07/2017,42,8
72,2940.0,31/07/2017,47,4
73,2910.0,07/08/2017,40,7
74,2180.0,14/08/2017,38,7
75,1880.0,21/08/2017,37,7
76,1632.0,28/08/2017,42,4
77,1912.0,04/09/2017,42,8
78,2284.0,11/09/2017,42,4
79,2664.0,18/09/2017,44,1
80,2716.0,25/09/2017,40,2
