id,username,date,text,reply,link,word,country,profile,retweet,likes,reproduction
1,@ianchild88,2021-12-24,"They say never work with kids…

…but every single one who appeared on 
@BBCCambs
 with 
@Davedoes_
 to speak to Father Christmas was fantastic. 

Questions ranged from: ‘do reindeers have nut allergies?’ to ‘how red is Rudolph’s nose?’

Plus this one: ",2,,allergi-,England,https://twitter.com/ianchild88,,,
2,@drnickmakwana,2021-12-21,First Festive week allergy clinic.  It’s beginning to look a lot like Christmas . ,2,https://x.com/drnickmakwana/status/1473309545703346184/photo/1,allergi-,England,https://twitter.com/drnickmakwana,,,
3,@naungnaung1079,2021-12-23,"people in our house got allergy from the real Christmas tree and we have to put out artificial tree  

#SCIENTIST #FormulaOfLove
@JYPETWICE
 #TWICE #트와이스",2,https://x.com/naungnaung1079/status/1474122893474897926/photo/1,allergi-,England,https://twitter.com/naungnaung1079,,,
4,@Glintofsilver_,2021-12-29,I have asthma and allergies okay!,2,,allergi-,England,https://twitter.com/Glintofsilver_,,,
5,@molliecoooper,2021-12-10,Feeing the festive spirit at Wythenshawe this morning. I’ve come for an allergy challenge and so far I’ve seen 8 Christmas jumpers and a man whistling Christmas Songs,2,,allergi-,England,https://twitter.com/molliecoooper,,,
11,@Graelwyn,2021-12-30,Woke with a wheeze but assumed it was just allergies a bit worse with vat hair and dust. Checked temperature before going out to pick up amazon locker parcels and 38.3. I'll keep an eye as other than vaccines my temp never hits that.,2,,allergi-,England,https://twitter.com/Graelwyn,,,
12,@Samsoprano30,2021-12-23,http://news.sky.com/story/life-changing-peanut-allergy-treatment-to-be-given-to-children-in-uk-12502510…,2,,allergi-,England,https://twitter.com/Samsoprano30,,,
13,@kingdomzebedee,2021-12-23,Vaccine won’t save me from my coconut allergy https://x.com/SaiyanRas/stat/SaiyanRas/status/1473627967662219264…,2,,allergi-,England,https://twitter.com/kingdomzebedee,,,
14,@lorraine_tinker,2021-12-23,"http://news.sky.com/story/life-changing-peanut-allergy-treatment-to-be-given-to-children-in-uk-12502510… 
@datt_colette
 @CNSSinead",2,,allergi-,England,https://twitter.com/lorraine_tinker,,,
24,@SBdeFere,2021-12-19,"No. But there is a super strong case for the government to overcome its allergy to truth and reposition the vaccine as an essential component of protection, rather than the one and only answer.",2,,allergi-,England,https://twitter.com/SBdeFere,,,
25,@RogerSt47838947,2021-12-28,"https://headlines.peta.org/breeding-monkey-misery/…

#animalmanifesto #endspeciesism 
Who the f..k gave us the right to exploit non human creatures for testing products that are mostly not needed in the first place. All mammals have allergies to different substances.",2,,allergi-,England,https://twitter.com/RogerSt47838947,,,
26,@camelsbestmate,2021-12-18,He has a sixth sense to go over to people who either have an allergy or just don't like cats. ,2,,allergi-,England,https://twitter.com/camelsbestmate,,,
39,@MorrissetteSue,2021-12-12,And what do you do about booster if you have PEG allergy? Been told I can’t have Pfizer or Moderna,2,,allergi-,England,https://twitter.com/MorrissetteSue,,,
40,@AimeeRFeltham,2021-12-14,"It’s not an alarming rise in allergies, it’s a rise in awareness and correct diagnoses. Babies are more likely to misdiagnosed as lactose intolerance when it is actually CMPA because our healthcare system just doesn’t train people in infant feeding, breastfeeding or formula.",2,,allergi-,England,https://twitter.com/AimeeRFeltham,,,
41,@S0UNDK1LLAH66,2021-12-29,"Appease the ERG.
Don't piss off the public.
Go on ya hols with peace of mind.
Sounds like an old Pantene / Wash & Go ad.
Not a bag of dandruff with a work allergy.
I think that abomination...er..administration are more bothered by their own downtime than actual lives.",2,,allergi-,England,https://twitter.com/S0UNDK1LLAH66,,,
