id,username,date,text,reply,link,word,country,profile,retweet,likes,reproduction
1,@VikkiSlade72,2021-12-27,And presumably it will help tens of thousands of young people who can be badly affected by hay fever (esp during exam season) & other airborne viruses which can spread in school ld every winter!,2,,hayfever,England,https://twitter.com/VikkiSlade72,,,
2,@Marks_Jon,2021-12-23,"Oh yes indeed - hay fever in December! He’s been the fella, the go to man for almost all my adult life.",2,,hayfever,England,https://twitter.com/Marks_Jon,,,
3,@DavidWilding271,2021-12-23,"Ooft! Feel better soon! I get hay fever driver conjunctivitis through the tree pollen season, so whilst not the same, I can sympathise!",2,,hayfever,England,https://twitter.com/DavidWilding271,,,
4,@zooooeee_x,2021-12-22,Didn't know it was hay fever season ,2,,hayfever,England,https://twitter.com/zooooeee_x,,,
5,@overspoke,2021-12-16,"It's started... Time to do the Christmas Movie favourites. I don't know what's happened, it must be hayfever, my eyes are watering  #craigsdailyadventure #christmas #classicmovies @ Oldham, United Kingdom",2,,hayfever,England,https://twitter.com/overspoke,,,
6,@deiinhastings,2021-12-14,Why pray do I seem to have hay fever in December? (And no it’s not COVID - it got so bad last week that the ZOE app asked me to do a PCR - negative)What unholy tree pollen is being spewed out and straight up my nose and in my eyes??,2,,hayfever,England,https://twitter.com/deiinhastings,,,
7,@CrouchHillN4,2021-12-10,Damn Hayfever in December! ,2,,hayfever,England,https://twitter.com/CrouchHillN4,,,
8,@atjedwards,2021-12-07,"It’s omicron, omicron not omnicron which was a rubbish movie but sounds like a hay fever medication",2,https://x.com/atjedwards/status/1468282978027679746/photo/1,hayfever,England,https://twitter.com/atjedwards,,,
9,@PORTZD2,2021-12-28,Bloody hay fever again,2,,hayfever,England,https://twitter.com/PORTZD2,,,
18,@Karenhu56806368,2021-12-04,"I have hayfever, don't buy me flowers.. an away day would be nice though ",2,https://x.com/OfficialPLT/status/1466867339639640072/photo/1,hayfever,England,https://twitter.com/Karenhu56806368,,,
29,@snation85,2021-12-02,Kenalog injection for allergies is literally the best thing ever!! No longer sneezing and wheezing because of the annoying dog and hopefully hayfever next year will be the same ,2,,hayfever,England,https://twitter.com/snation85,,,
30,@wantwit61,2021-12-01,"That's not a straw man, that's HAY FEVER!",2,,hayfever,England,https://twitter.com/wantwit61,,,
43,@xcurlytwigx,2021-11-23,"@teef2
   Am I choking to death with hayfever  I could barely breathe",2,,hayfever,England,https://twitter.com/xcurlytwigx,,,
44,@PORTZD2,2021-11-22,Fantastic viewing and bloody hay fever struck again seeing Cyrilles goal v Utd,2,,hayfever,England,https://twitter.com/PORTZD2,,,
79,@Clairefifi,2021-11-17,Is anyone else suffering from #hayfever? I seem to get it every #autumn and it's extremely annoying! Wondering if it's due to #fungalspores.,1,,hayfever,England,https://twitter.com/Clairefifi,,,
80,@Type1Tony,2021-11-15,Madeleine’s got those for her hay fever. Proper industrial strength ain’t they? ,1,https://x.com/Type1Tony/status/1460368825766055939/photo/1,hayfever,England,https://twitter.com/Type1Tony,,,
